Id	SuitId	Order	Type	Title	Text	Condition
120121	1201	1	2	Story I	When Speer was still human, she was an architect of Cosmos Industries who designed many buildings in the Golden Age.	811003
120122	1201	2	2	Story II	Now, Speer works with the Archaeological Team of WGAA to seek and preserve the heritage sites on Earth.	811006
130121	1301	1	2	Story I	When Modell was still human, she was known for being a defensive master of warfare. As long as she stands, not a single enemy can break through her line of defense.	811003
130122	1301	2	2	Story II	Now, Modell devotes herself to protecting Constructs, landing powerful counterattacks on all enemies approaching her.	811006
130421	1304	1	2	Story I	When Hermann was still human, she was an outstanding scout who could accurately grasp every detail on the battlefield.	811003
130422	1304	2	2	Story II	Long-ranged battles are Hermann's strong suit. She is of great help to the Constructs in long-ranged battles.	811006
140121	1401	1	2	Story I	Archimedes was an opponent of mechanical technology. She devoted herself to studying mathematical models, which contributed greatly to the mathematical development in the Golden Age. Her accurate calculation has helped the Constructs weather the storms on different battlefields.	811003
140122	1401	2	2	Story II	Now, living in a form she despises the most, she has lost all her will for work.	811006
140421	1404	1	2	Story I	In the Golden Age, Edison was a prominent scientist whose inventions brought great value to Cosmos Industries. Her presence alone lit up hope for humanity.	811003
140422	1404	2	2	Story II	In addition to advanced technologies, Edison is fond of restoring machines from the old times. Recently, she is hopelessly mesmerized by a device called the phonograph.	811006
140721	1407	1	2	Story I	Alice was a well-known magician in the Golden Age. Her card tricks and rabbit staff were her iconic features in the show. The audience is always reminded of their own child-life and their happy summer days.	811003
140722	1407	2	2	Story II	Alice is now striving to come up with new magic show ideas and pranks to play on the commandant.	811006
141021	1410	1	2	Story I	When Cunningham was still human, she had exceptional sailing skills and profound experience in naval battles, which have been of great help to Constructs in naval operations.	811003
141022	1410	2	2	Story II	Cunningham is now in a spin over the affairs in New Murmansk.	811006
141321	1413	1	2	Story	Fairytales—imaginative, fantastic, ephemeral. Yet, still rooted within one's struggles in reality.	811001
150121	1501	1	2	Story I	When Erwin was small, she longed to be an engineer. She was, however, forced to serve in the army due to family reasons. Her talents were unrestricted by her poor health, though her luck was notoriously bad. On the battlefield, her sophisticated tactics have helped turned the tide of innumerable battles.	811003
150122	1501	2	2	Story II	Now, Erwin supervises the commandant's practices in her spare time, though she will soft-heartedly and reluctantly end the practice earlier when the commandant begs her.	811006
150221	1502	1	2	Story I	When Aife was still human, she was Cottie's sniper. Always alert and trigger happy, she greets strangers with bullets instead of hellos. Her outstanding sniping techniques are of great help to Constructs on battlefields.	811003
150222	1502	2	2	Story II	Even when seeing friends, Aife has an irresistible urge to pull the trigger. This gave her a habit of forcibly holding down her firing arm even when meeting familiar faces. Though, she soon realized that without a physical form, she can no longer shoot others.	811006
150321	1503	1	2	Story I	In the middle of the Post-Pandemic Age when Ike still had his body, he belonged to a clandestine organization full of body modders. Despising full-body modification like Construct technology, they only enhanced certain parts of their bodies. Ike was one of their elites, though he might have had plans different from the others. His fighting skills though, were undoubtedly top-notch.	811003
150322	1503	2	2	Story II	Even though Ike has lost his body, he seems to be quite indifferent about it. It is worth noting that Ike and President Hassen appear to be a pair of old friends.	811006
150421	1504	1	2	Story I	When Voltaire was still human, she was a literary giant whose philosophy has enlightened many litterateurs in the Golden Age. Her works depicted the embryonic form of the World Government and provided the grounds for its formation. She could pinpoint the enemy's theoretical weaknesses in battles and guide Constructs to land effective attacks.	811003
150422	1504	2	2	Story II	It seems that Voltaire and Shakespeare do not get along. The reason behind this is unknown, even to the commandant.	811006
150521	1505	1	2	Story I	When Gloria was still human, she was an artillery officer as well as a devoted antisaccharinist. She is good at breaking the guard of enemies, which is of great help to Constructs.	811003
150522	1505	2	2	Story II	Gloria boasts a high shooting accuracy. Karenina could not agree more with her motto of "MORE DAKKA!"	811006
150621	1506	1	2	Story I	When Richelieu was still human, she was one of the cardinals in the early Golden Age. Foreseeing that religion would lose its appeal, she proposed creating bionic robots for religious services, yet it was met with the opposition of the church. Only when her predictions proved true did the churches hastily activate the batch of mechanical members created by Richelieu. It is worth noting that Richelieu's medical techniques were unmatched among all the churches.	811003
