Id	Order	Author	Name	Icon	Pic	LockPic	Type	TagGroupId	TagIds[0]	TagIds[1]	TagIds[2]	StandbyAction	Actions[0]	Actions[1]	NpcId[0]	NpcId[1]	NpcId[2]	NpcId[3]	StageIds[0]	StageIds[1]	StageIds[2]	StageIds[3]
1001	1		Repairer	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010031.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010031.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9903					90030							
1002	2		Ground Monitor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd030011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd030011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902	9904					92090							
1003	3		Protector	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010081.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010081.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9905					92120							
1004	4	Zi Wei	Pilgrim	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd030061.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd030061.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902	9904					92110							
1005	5	Zi Wei	Aerial Monitor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010041.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010041.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9904					92100							
1006	6	Zi Wei	Tamer	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BraveMd020021.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BraveMd020021.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9905					92130							
1007	7		Missionary	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010141.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010141.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902	9904					92170							
1008	8	Zi Wei	Executor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010121.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010121.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9905	9910				92180							
1009	9	Yan	Black Spider	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010131.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010131.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901						92200							
1010	10	Zi Wei	Gardener	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ArmorMd010091.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ArmorMd010091.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9904					92210							
1011	11	Zi Wei	Jitterbomb	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010101.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010101.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9909						92140							
