Id	NpcId[0]	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]
90030	91030	91031	92030				
92090	91090	90090					
92120	91120	90120					
92110	91111	91110	90110				
92100	91100	90100					
92130	91130	90130					
92170	91170	90170					
92180	91180	90180					
92200	91200	90200					
92210	91210	90210					
92460	91460	90460					
92140	91140	90140					
92150	91150	90150					
92160	91160	90160					
92190	91190	90190					
92480	91480	90480					
92490	91490	90490					
92470	91470	90470					
92600	91600	90600					
92620	91620	90620					
92610	91610	90610					
92250	91250	90250					
92260	91260	90260					
92330	91330	90330					
92350	91350	90350					
92360	91360	90360					
92370	91370	90370					
92390	91390	90390					
92400	91400	90400					
92410	91410	90410					
97620	97610	97120	97110	92440	91440	90440	
92340	91340	90340					
92380	91381	91380	90380				
92420	91420	90420					
92450	91450	90450					
92630	91630	90630					
81100	811000	811200					
81110	811100	811300					
81300	813000	81310					
81400	81401	814000	814010				
81420	82100	814200	821000				
81410	814100						
81200	81430	812000	814300	92430	91430	90430	
81500	815000						
81700	817000						
81800	818000						
81900	819000						
82150	821500						
87010	870100						
81600	816000						
83200	87310	87330	87311				
87410	87430						
83400	870620						
83100	83110	83111	831000	831100			
90670	91670	92670					
90660	91660	92660	92661				
90640	91640	92640					
90650	91650	92650					
90680	91680	92680					
90500	90501	90502	90505	90506	90507		
83500	835000						
83520	835200	83521					
83600	836000	83601	83602				
90690	91690	92690					
