Id	GroupId	Order	Type	Title	Text	Condition	UnLockTime
1000112	10001	2	1	Age	28		
1000113	10001	3	1	PD: 	■■■■		
1000114	10001	4	1	Blood Type	AB		
1000121	10001	1	2	Story I	The person in charge of the WGAA and a member of the Babylonia Council. He is responsible for managing the arts development in Babylonia.		
1000122	10001	2	2	Story II	Allen is a friendly, easy-going gentleman, yet due to his [Data Erased] background, many people cannot help but show their reverence when they are talking to him.		
1000123	10001	3	2	Story III	Allen is obsessed with all forms of art. Even an artwork that was regarded as heterodox in the Golden Age is still a valuable piece of treasure in his eyes.		
1000212	10002	2	1	Age	34		
1000213	10002	3	1	PD: 	■■■■		
1000214	10002	4	1	Blood Type	O		
1000221	10002	1	2	Story I	Born an aristocrat, Aston is an influential figure in the aristocratic circles on Asslam and Jamilah's right-hand man.		
1000222	10002	2	2	Story II	Aston's family has been serving the royal family for generations. He has taken over his father's duties since the third leader of Akdilek ascended to power.		
1000223	10002	3	2	Story III	Aston has already acknowledged Jamilah for her unlimited potential when she was still a child.		
1000312	10003	2	1	Age	19		
1000313	10003	3	1	PD: 	■■■■		
1000314	10003	4	1	Blood Type	■■■■		
1000321	10003	1	2	Story I	The person in charge of the Science Council and a member of the Babylonia Council. He is responsible for handling the scientific and technical affairs in Babylonia.		
1000322	10003	2	2	Story II	Asimov has completely thrown himself into scientific research and already made several huge achievements at a young age, yet his lack of social skills makes him a despicable man for many people.		
1000323	10003	3	2	Story III	To Asimov, scientific development is always his top priority when making a decision, even if the decision makes him look somewhat ruthless. Having said that, he does not pay his image any mind, for it has nothing to do with science.		
1000412	10004	2	1	Age	■■■■		
1000413	10004	3	1	PD: 	■■■■		
1000414	10004	4	1	Blood Type	■■■■		
1000421	10004	1	2	Story I	A member of the Oasis Squad stationed in Kuzath Snow Plains. After Oasis Squad's instructor, ■■, sacrificed his life, Bruce was ordered to temporarily take over the leadership, leading the squad for a rescue mission in Kuzath Snow Plains.		
1000422	10004	2	2	Story II	Watanabe's closest friend. Bruce's dream was to join the Ground Forces, so that he could save people from dying on the frontlines.		
1000423	10004	3	2	Story III	Bruce and Watanabe were the top two trainee soldiers in their squad. The reason why Watanabe achieved this great performance was that he often got extra lessons for his misbehaviors.		
1000424	10004	4	2	Story IV	Bruce's harmonica and Watanabe's guitar show was a real hit in the Oasis Squad.		
1000512	10005	2	1	Age	■■■■		
1000513	10005	3	1	PD: 	■■■■		
1000514	10005	4	1	Blood Type	■■■■		
1000521	10005	1	2	Story	The leader of the Support Force, yet her power is comparable with that of the Task Force soldiers.		
1000612	10006	2	1	Age	■■■■		
1000613	10006	3	1	PD: 	■■■■		
1000614	10006	4	1	Blood Type	■■■■		
1000621	10006	1	2	Story	Born on the Nighter, he has become one of the bodyguards on Asslam for various reasons.		
1000712	10007	2	1	Age	■■■■		
1000713	10007	3	1	PD: 	■■■■		
1000714	10007	4	1	Blood Type	■■■■		
