Id	Order	Name	BigIcon	Path	Description	WorldDesc	IsFree	ConvertItemId	ConvertItemCount
11000001	1	Stamp 1	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png	Chat Stamp	One of the default stamps	1	1	10000
11000002	2	Stamp 2	Assets/Product/Texture/Image/IconExpression/IconExpressA2.png	Assets/Product/Texture/Image/IconExpression/IconExpressA2.png	Chat Stamp	One of the default stamps	1	1	10000
11000003	3	Stamp 3	Assets/Product/Texture/Image/IconExpression/IconExpressA3.png	Assets/Product/Texture/Image/IconExpression/IconExpressA3.png	Chat Stamp	One of the default stamps	1	1	10000
11000004	4	Stamp 4	Assets/Product/Texture/Image/IconExpression/IconExpressA4.png	Assets/Product/Texture/Image/IconExpression/IconExpressA4.png	Chat Stamp	One of the default stamps	1	1	10000
11000005	5	Stamp 5	Assets/Product/Texture/Image/IconExpression/IconExpressA5.png	Assets/Product/Texture/Image/IconExpression/IconExpressA5.png	Chat Stamp	One of the default stamps	1	1	10000
11000006	6	Stamp 6	Assets/Product/Texture/Image/IconExpression/IconExpressA6.png	Assets/Product/Texture/Image/IconExpression/IconExpressA6.png	Chat Stamp	One of the default stamps	1	1	10000
11000007	7	Stamp - My Song	Assets/Product/Texture/Image/IconExpression/IconExpressA7.png	Assets/Product/Texture/Image/IconExpression/IconExpressA7.png	Chat Stamp	Please, hear my song — Bianca: Veritas		1	10000
11000008	8	Stamp - Dinner's Ready	Assets/Product/Texture/Image/IconExpression/IconExpressA8.png	Assets/Product/Texture/Image/IconExpression/IconExpressA8.png	Chat Stamp	Dinner's ready, guys — Chrome: Arclight		1	10000
11000009	9	Stamp - Good Shot	Assets/Product/Texture/Image/IconExpression/IconExpressA9.png	Assets/Product/Texture/Image/IconExpression/IconExpressA9.png	Chat Stamp	No one can escape my shots. —Lee: Palefire		1	10000
11000010	10	Stamp - Hmph	Assets/Product/Texture/Image/IconExpression/IconExpressA10.png	Assets/Product/Texture/Image/IconExpression/IconExpressA10.png	Chat Stamp	Hmph—Lee: Palefire		1	10000
11000016	16	Stamp - Love Love	Assets/Product/Texture/Image/IconExpression/IconExpressA16.png	Assets/Product/Texture/Image/IconExpression/IconExpressA16.png	Chat Stamp	Love Love — Lucia: Plume		1	10000
11000017	17	Stamp - So many Cogs	Assets/Product/Texture/Image/IconExpression/IconExpressA17.png	Assets/Product/Texture/Image/IconExpression/IconExpressA17.png	Chat Stamp	So many Cogs — Kamui		1	10000
