Id	Type	Model	Name	NameFrist	NameLast	HeadRoundIcon	HeadIcon	ExpFondleWidgetHeight	ExpDetailWidgetHeight	PutOnWidgetHight	DailogWidgetHight	DailogTouchHight	EffectWidgetHight	TouchWidgetHight	LoveType	LikeType	LikeCharIds[1]	LikeCharIds[2]	LikeCharIds[3]	LikeCharIds[4]	HateCharIds[1]	HateCharIds[2]	HateCharIds[3]	HateCharIds[4]
1011002	1	Assets/Product/Role/Room/Prefab/QR2LiangMd010011.prefab	Lee: Palefire	Lee 	Palefire	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1021001	1031001			1061002			
1021001	2	Assets/Product/Role/Room/Prefab/QR1LuxiyaMd010011.prefab	Lucia: Lotus	Lucia	Lotus	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031001	1011003	1061003		1071002			
1031001	2	Assets/Product/Role/Room/Prefab/QR1LifuMd010011.prefab	Liv: Eclipse	Liv	Eclipse	Assets/Product/Texture/Image/Role/RoleHeadLifu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1011002	1021001	1081002					
1041002	2	Assets/Product/Role/Room/Prefab/QR2BiankaMd010011.prefab	Bianca: Zero	Bianca	Zero	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3Q.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuoQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1021001	1031002						
1051001	2	Assets/Product/Role/Room/Prefab/QR2YongyechaoMd010011.prefab	Nanami: Storm	Nanami	Storm	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3Q.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1	1021001	1031001	1041002		1081002			
1061002	1	Assets/Product/Role/Room/Prefab/QR2ShenweiMd010011.prefab	Kamui: Bastion	Kamui	Bastion	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1031001	1021001	1081002					
1071002	2	Assets/Product/Role/Room/Prefab/QR2KalieninaMd010011.prefab	Karenina: Blast	Karenina	Blast	Assets/Product/Texture/Image/Role/RoleHeadKalie3Q.png	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1071003	1041002			1081002			
1081002	1	Assets/Product/Role/Room/Prefab/QR2DubianMd010011.prefab	Watanabe: Nightblade	Watanabe	Nightblade	Assets/Product/Texture/Image/Role/RoleHeadDubian3Q.png	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1061002	1031001	1011003					
1021002	2	Assets/Product/Role/Room/Prefab/QR2LuxiyaMd010011.prefab	Lucia: Dawn	Lucia	Dawn	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	3	1031002	1011003	1061003					
1031002	2	Assets/Product/Role/Room/Prefab/QR2LifuMd010011.prefab	Liv: Lux	Liv	Lux	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1021002	1061002						
1061003	1	Assets/Product/Role/Room/Prefab/QR3ShenweiMd010011.prefab	Kamui: Tenebrion	Kamui	Tenebrion	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031002	1021001	1011003		1011002			
1031003	2	Assets/Product/Role/Room/Prefab/QR3LifuMd010011.prefab	Liv: Luminance	Liv	Luminance	Assets/Product/Texture/Image/Role/RoleHeadLifu3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1021002	1011003						
