Id	FurnitureId	ExtraAttrId	AdditionId	Quality	Name
8000001	8407005	100001	104		Computer Desk
8000002	8508003	100003	104		Computer Chair
8010001	8407001	100001	104		Coffee Counter
8010002	8612001	100004	104		Landscape
8010003	8404001	100001	104		Dark Leather Sofa
8010004	8612002	100004	104		Wall Lamp
8010005	8612003	100004	104		Patio Window
8010006	8612004	100004	104		Menu Board
8010007	8407002	100001	104		Round Table
8010008	8511001	100002	104		Potted Plant
8010009	8406001	100001	104		Storage Rack
8010010	8407003	100001	104		Long Table
8010011	8508001	100003	104		Tall Chair
8010012	8511002	100002	104		Coffee Table
8010013	8407004	100001	104		Table Set
8010014	8101003	100001	104		Cafe Floor
8010015	8301003	100001	104		Cafe Ceiling
8010016	8201003	100001	104		Cafe Wall
8020001	8406006	100001	104		Locker
8020002	8612009	100004	104		Fluorescent Light
8020003	8407006	100001	104		Office Desk
8020004	8612010	100004	104		Blinds
8020005	8511006	100002	104		Box of Parts
8020006	8511007	100001	104		Vending Machine
8020007	8612012	100004	104		Control Terminal
8020008	8406007	100001	104		Messy Storage Rack
8020009	8508004	100003	104		Toilet
8020010	8405003	100001	104		Worktable
8020011	8508005	100003	104		Bar Stool
8020012	8407007	100001	104		Bar Counter
8020013	8404003	100001	104		Cloth Sofa
8020014	8404004	100001	104		Sofa Set
8020015	8612013	100004	104		Poster α
8020016	8612014	100004	104		Poster β
8020017	8612015	100004	104		Poster γ
8020018	8612016	100004	104		Neon Logo
8020019	8612017	100004	104		Rack
8020020	8101005	100001	104		Punk Floor
8020021	8301005	100001	104		Punk Ceiling
8020022	8201005	100001	104		Punk Logo Wall
8020023	8406006	100001	114		Locker
8020024	8612009	100004	114		Fluorescent Light
8020025	8407006	100001	114		Office Desk
8020026	8612010	100004	114		Blinds
8020027	8511006	100002	114		Box of Parts
8020028	8511007	100002	114		Vending Machine
8020029	8612012	100004	114		Control Terminal
8020030	8406007	100001	114		Messy Storage Rack
8020031	8508004	100003	114		Toilet
8020032	8405003	100001	114		Worktable
8020033	8508005	100003	114		Bar Stool
8020034	8407007	100001	114		Bar Counter
8020035	8404003	100001	114		Cloth Sofa
8020036	8404004	100001	114		Sofa Set
8020037	8612013	100004	114		Poster α
8020038	8612014	100004	114		Poster β
8020039	8612015	100004	114		Poster γ
8020040	8612016	100004	114		Neon Logo
8020041	8612017	100004	114		Rack
8020042	8101005	100001	114		Punk Floor
8020043	8301005	100001	114		Punk Ceiling
8020044	8201005	100001	114		Punk Logo Wall
8020045	8511023	100002	114		Cyber Egg
8030001	8612018	100004	220		Paper Window
8030002	8508006	100003	220		Cushion Chair
8030003	8511008	100002	220		Potted Bamboo
8030004	8612019	100004	220		Sakura Fan
8030005	8612020	100004	220		Hanging Painting
8030006	8406008	100001	220		Japanese Shelf
8030007	8511009	100002	220		Futon
8030008	8511010	100002	220		Sakura Screen
8030009	8511011	100002	220		Katana Stand
8030010	8407008	100001	220		Kotatsu
8030011	8407009	100001	220		Drinking Table
8030012	8511012	100002	220		Wooden Tub
8030013	8612021	100004	220		Japanese Lantern
8030014	8101006	100001	220		Japanese Floor
8030015	8301006	100001	220		Beam Ceiling
8030016	8201006	100001	220		Sakura Wall
8990001	8511013	100002	320		bilibili TV
8990002	8511014	100001	320		OPPOreno2
8990003	8511015	100002	320		taptap Console
8990004	8511016	100001	320		vivoNEX
8990005	8511017	100002	320		Quick Pop
8990006	8511018	100002	320		Huawei 5G Covered
8990007	8511019	100002	320		4399 Game Cartridge
8990008	8511020	100002	320		Black Shark Gaming Console
8990009	8511021	100004	320		Mi Sign
8990010	8511022	100002	320		MyApp Claw Machine
8990011	8511023	100002	114		Cyber Egg
8990012	8511024	100004	320		9game TV
8990013	8404006	100001	320		bilibili Sofa
8990014	8511029	100002	320		2233 Home Theater
8990015	8511030	100002	320		bilibili Floor Lamp
8990016	8508009	100003	320		bilibili Cushion
8990017	8407011	100001	320		bilibili Table
8990018	8511031	100002	320		Kuroro
8990019	8511032	100002	320		Nubia Game Box
8990020	8511033	100002	320		Categorized Disposal Cans
8990021	8404007	100001	320		Triple Toilet
8990022	8511034	100002	320		Recharge Station
8990023	8511035	100002	320		Camera
8990024	8511036	100002	320		Motorcycle
8040001	8511025	100002	114		Retro Floor Lamp
8040002	8405004	100001	114		Double Bed
8040003	8612022	100004	114		Mistletoe Wreath
8040004	8511026	100002	114		Christmas Gift Pile
8040005	8510006	100003	114		Nightstand
8040006	8406009	100001	114		European Closet
8040007	8612023	100004	114		Wall Chandelier
8040008	8612024	100004	114		Wall Clock
8040009	8511027	100002	114		Fireplace
8040010	8612025	100004	114		Lattice Window With Curtain
8040011	8511028	100002	114		Christmas Tree
8040012	8404005	100001	114		European Sofa
8040013	8612026	100004	114		Dawn (Oil on Canvas)
8040014	8406010	100001	114		European Bookshelf
8040015	8407010	100001	114		Christmas Table
8040016	8508007	100003	114		European Chair
8040017	8508008	100003	114		Cushion Stool
8040018	8101007	100001	114		Tile Floor
8040019	8201007	100001	114		Christmas Wall
8040020	8301007	100001	114		Chandelier Beam
8050002	8612027	100004	114		Lantern Pole
8050003	8407012	100001	114		Chinese Tea Table
8050004	8508010	100003	114		Chinese Armchair
8050005	8405005	100001	114		Chinese Desk
8050006	8508011	100003	114		Chinese Bench
8050007	8406011	100001	114		Chinese Chest of Drawers
8050008	8510007	100003	114		Chinese Cupboard
8050009	8511037	100002	114		Earthenware Jar
8050010	8511038	100002	114		Chinese Plant Stand
8050011	8612028	100004	114		Spring Couplet
8050012	8612029	100004	114		Teahouse's Flag
8050013	8612030	100004	114		Teahouse's Window Pane
8050014	8407013	100001	114		Teahouse's Counter
8050015	8511039	100002	114		Chinese Floor Lamp
8050016	8511040	100002	114		Chinese Screen
8050017	8404008	100001	114		Chinese Bed
8050018	8101008	100001	114		Teahouse's Door
8050019	8201008	100001	114		Hanging Lantern
8050020	8301008	100001	114		Chinese Carpet
8140101	8040101	100002	320		Kuroro Thunder Gate
8140102	8040102	100002	320		Kuroro Totem
8140103	8040103	100002	320		Kuroro Opera House
8140104	8040104	100002	320		Kuroro Temple
8140105	8040105	100002	320		Kuroro Needle
8140106	8040106	100002	320		Great Kuroro Sphinx
8140107	8040107	100002	320		Big Kuroro
8140108	8040108	100002	320		Kuroro City Ruins
8140109	8040109	100004	320		Celica with a Pearl Earring
8140110	8040110	100004	320		Mona Celica
