Id	AttribId[1]	AttribId[2]	AttribDes1[1]	AttribDes1[2]	AttribDes2[1]	AttribDes2[2]	ItemId[1]	ItemCount[1]	ItemId[2]	ItemCount[2]	ItemId[3]	ItemCount[3]	ItemId[4]	ItemCount[4]	ItemId[5]	ItemCount[5]
3016001	40160014	40160015	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70011	6	70012	1
3016002	40160024	40160025	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70021	6	70022	1
3016003	40160034	40160035	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70031	6	70032	1
3016004	40160044	40160045	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70041	6	70042	1
3016005	40160054	40160055	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70051	6	70052	1
3016006	40160064	40160065	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70061	6	70062	1
3016007	40160074	40160075	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70071	6	70072	1
3016008	40160084	40160085	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70081	6	70082	1
3016009	40160094	40160095	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70091	6	70092	1
3016010	40160104	40160105	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70101	6	70102	1
3016011	40160114	40160115	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70111	6	70112	1
3016012	40160124	40160125	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70121	6	70122	1
3026001	40260014	40260015	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70011	6	70012	1
3026002	40260024	40260025	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70021	6	70022	1
3026003	40260034	40260035	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70031	6	70032	1
3026004	40260044	40260045	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70041	6	70042	1
3026005	40260054	40260055	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70051	6	70052	1
3026006	40260064	40260065	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70061	6	70062	1
3026007	40260074	40260075	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70071	6	70072	1
