Id	IconPath	BigIconPath	Name	Description	SkillEffect[1]	SkillEffect[2]	SkillEffect[3]	SkillEffect[4]	SkillEffect[5]	SkillEffect[6]	SkillDescription[1]	SkillDescription[2]	SkillDescription[3]	SkillDescription[4]	SkillDescription[5]	SkillDescription[6]
0	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png		N/A	N/A												
1101	Assets/Product/Texture/Image/IconToolsSp/EYuesefuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYiefuliemofuI01002.png	Joseph	White Board								ATK +5				
1201	Assets/Product/Texture/Image/IconToolsSp/ESipeierI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ESipeierI01002.png	Speer	ATK Boost		120102		120104				ATK +10		HP +50		
1301	Assets/Product/Texture/Image/IconToolsSp/EModeerI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EModeerI01002.png	Modell	Close Range Boost		130102		130104				DMG dealt increases by 3% when attacking enemies within 2m.		DMG taken reduced by 3% when attacked by enemies within 2m.		
1304	Assets/Product/Texture/Image/IconToolsSp/EHeermanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHeermanI01002.png	Hermann	Long Range Boost		130402		130404				DMG dealt increases by 3% when attacking enemies farther than 3m.		DMG taken reduced by 3% when attacked by enemies farther than 3m.		
1401	Assets/Product/Texture/Image/IconToolsSp/EAjimideI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAjimideI01002.png	Archimedes	Basic Attack Boost		140102		140104				Basic Attack DMG increases by 5%.		In every 10s, the next Basic Attack increases Basic Attack DMG by 10% for 4s.		
1404	Assets/Product/Texture/Image/IconToolsSp/EAidishengI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAidishengI01002.png	Edison	Skill Attack Boost		140402		140404				Signal Orb skill DMG increases by 5%.		After a 3-Ping, DMG dealt increases by 5% for 5s.		
1407	Assets/Product/Texture/Image/IconToolsSp/EAliceI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAliceI01002.png	Alice	Support Boost		140702		140704				Healing effect increases by 5%.		Healing a target also increases its Physical DMG and Elemental DMG by 4% for 4s.		
1410	Assets/Product/Texture/Image/IconToolsSp/EKanninganI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKanninganI01002.png	Cunningham	Defense Boost		141002		141004				Physical and Elemental DMG increase by 5% when attacking enemies with Super Armor.		If being attacked multiple times within 5s, gain a shield that reduces the next DMG taken by 30%. 5s cooldown.		
1413	Assets/Product/Texture/Image/IconToolsSp/EAdaifuYYI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuYYI01002.png	Anderia	Summon Boost		141302						When attacking, has a 20% chance to call an artillery strike, each shell dealing 40% Physical DMG to the target. 15s cooldown.				
1501	Assets/Product/Texture/Image/IconToolsSp/ELongmeierI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELongmeierI01002.png	Erwin	Basic Attack Boost		150102		150104				Basic Attack DMG increases by 10%.		Basic Attack DMG increases by 15% without being attacked. 12s cooldown starts when taking a hit.		
1502	Assets/Product/Texture/Image/IconToolsSp/EAifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAifuI01002.png	Aife	Skill Boost		150202		150204				For each orb pinged, all DMG increases by 2% for 3s. Can be stacked up to 5 times.		Enters Matrix upon a 3-Ping. 60s cooldown.		
1503	Assets/Product/Texture/Image/IconToolsSp/EAikeI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAikeI01002.png	Ike	Energy Attack Boost		150302		150304				All DMG increases by 2% and Elemental DMG increases by 4%.		When dealing Elemental DMG, you have a 15% chance to inflict Burn, Electrocute, Frost, and Corruption depending on the element. Lasts 5 seconds and has an 8 second cooldown on the same unit.		
1504	Assets/Product/Texture/Image/IconToolsSp/EFuertaiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFuertaiI01002.png	Voltaire	Weaken Enemy I		150402		150404				Attacks reduce the target's DEF by 10% for 5s. 12s cooldown.		When taking damage, the Physical DEF of the attacked enemy reduced by 15% for 7s. Can be stacked up to 2 times.		
1505	Assets/Product/Texture/Image/IconToolsSp/EGeluodaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGeluodaI01002.png	Gloria	Weaken Enemy II		150502		150504				Attacks reduce the target's all Elemental Resistance by 6% for 5s. 12s cooldown.		When taking damage, reduces the Elemental Resistance of enemies within 5m by 6% for 7s. Resets every time it is triggered.		
