Id	BornMagic[1]	BornMagic[2]	BornMagic[3]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	Ability	Icon	Name	Description
101	510901						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	Incandescence	Weapon's final ATK is increased by 15% at the start of battle. No duration limit.
102	511001						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	Dead Point Countdown	Gain 1 additional Signal Orb at the start of battle, and 3 identical Signal Orbs every 45s.
103	509201						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	Matrix Lightning	After EX Dodge, Movement Speed is greatly increased and all enemies' Extra DMG Reduction is decreased by 10% in Matrix.
201	510901						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	Incandescence	Weapon's final ATK is increased by 15% at the start of battle. No duration limit.
202	511001						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	Dead Point Countdown	Gain 1 additional Signal Orb at the start of battle, and 3 identical Signal Orbs every 45s.
203	509201						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	Matrix Lightning	After EX Dodge, Movement Speed is greatly increased and all enemies' Extra DMG Reduction is decreased by 10% in Matrix.
301	512005						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	Matrix Outburst	All DMG increases by 15% when in Matrix.
302	512007						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	Overload Signal	An Entrance Skill grants 1 additional Signal Orb. Extra DMG Bonus of Signal Orb Skills increases by 10% for 8s.
303	512012						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	Limit Break	All ATK increases by 10%.
401	512005						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	Matrix Outburst	All DMG increases by 15% when in Matrix.
402	512007						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	Overload Signal	An Entrance Skill grants 1 additional Signal Orb. Extra DMG Bonus of Signal Orb Skills increases by 10% for 8s.
403	512012						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	Limit Break	All ATK increases by 10%.
2013001							0			
2014001	501001						0		Resonance Vibration	Physical DMG increased by 15% when combo is greater than 50.
2015001	501101						0		Saturated Loading	Pinging all 3 types of Signal Orbs within 5s increases Extra DMG Bonus by 15% for 5s. Duration resets every time it is triggered.
2015002	501201						0		Dodge Echo	ATK is increased by 30% for 4s after an EX Dodge.
2016001	501301	501303					0		Predator's Maxim	Extra DMG Bonus increases by 20% when attacking enemies in a burning area.
2016002	501306						0		Cycle of Stars	Increases Skill - Space Lord's Extra DMG Bonus by 10%. Physical DMG is increased by 15% for 5s after a 3-Ping. Duration resets every time it is triggered.
2016003	501315						0		Measurement Theory	When picking up an Energy Ball, increases Extra DMG Bonus by 3% for 5s. Can be stacked up to 5 times. For every 5 Energy Balls picked up, gains an additional random Signal Orb and 10 Energy. 10s cooldown.
2022001							0			
2023001							0			
2024001	502001						0		Unbranded Slash	Extra DMG Bonus of Red Orb skills increases by 15%.
