Id	Type	Priority	PrefixRoot	Root
100020	OnFrame	3	2	107
100026	OnFrame	3	2	723
100033	OnFrame	3	930	932
100046	OnBeforeDamage	3	938	948
100051	OnBeforeDamage	3	991	996
100052	OnFrame	3	1022	1023
100053	OnSkill	3	1022	1062
100054	OnFrame	3	1069	1152
100055	OnSkill	3	1022	1183
100056	OnBeHit	3	1022	1221
100057	OnNpcWillDie	3	1022	1225
100058	OnSwitchNpc	3	1022	1228
100062	OnFrame	3	1259	1261
100063	OnBeHit	3	1022	1268
100074	OnSkill	3	1272	1274
100086	OnBeforeDamage	3	1022	1288
100089	OnFrame	3	1290	1295
199900	OnFrame	3	1022	1320
100201	OnSkill	3	1022	1339
100202	OnSwitchNpc	3	1022	1353
100203	OnFrame	3	1356	0
100219	OnFrame	3	1386	1389
100243	OnBeforeDamage	3	931	1404
100251	OnBeHit	3	1022	1427
100268	OnFrame	3	1432	1436
100290	OnBeforeDamage	3	1022	1439
100292	OnBeforeDamage	3	1022	1441
101853	OnBeHit	3	1022	1443
101864	OnFrame	3	1445	1454
101880	OnFrame	3	1469	0
101887	OnBeforeDamage	3	1022	1500
101889	OnBeforeDamage	3	1022	1511
101891	OnFrame	3	1022	1521
100941	OnSkill	3	1022	1531
100960	OnSwitchNpc	3	931	1543
100980	OnFrame	3	1551	0
100987	OnAfterDamage	3	1022	1595
100990	OnAfterDamage	3	1022	1599
100992	OnSkill	3	1022	1602
100406	OnFrame	3	1604	1605
100423	OnFrame	3	1615	1616
100424	OnFrame	3	1641	1642
100425	OnFrame	3	1641	1664
100433	OnBeforeDamage	3	1692	1694
100440	OnSkill	3	1718	1719
100446	OnBeforeDamage	3	931	1746
100450	OnFrame	3	1749	1754
100462	OnFrame	3	1865	1868
100463	OnSwitchNpc	3	931	1870
100489	OnFrame	3	1875	0
100490	OnBeforeDamage	3	931	1883
100492	OnFrame	3	931	1885
100494	OnBeforeDamage	3	931	1887
101641	OnBeforeDamage	3	931	1889
101660	OnSwitchNpc	3	931	1911
101661	OnFrame	3	1916	1919
101667	OnSkill	3	1022	1921
101669	OnFrame	3	1927	1929
101670	OnFrame	3	1941	1943
101680	OnFrame	3	1955	0
101690	OnFrame	3	1022	1982
101692	OnBeforeDamage	3	1022	1989
101694	OnFrame	3	1022	2002
101726	OnFrame	3	2006	2014
101727	OnFrame	3	1022	2088
101728	OnFrame	3	2104	2105
101741	OnFrame	3	2108	2117
101744	OnBeHit	3	1022	2177
101748	OnAfterDamage	3	2179	2180
101752	OnFrame	3	2104	2224
101758	OnNpcWillDie	3	2104	2226
101759	OnFrame	3	2104	2224
101769	OnSkill	3	2104	2227
101773	OnFrame	3	2244	0
101784	OnFrame	3	1022	2307
101786	OnBeforeDamage	3	1022	2312
101788	OnBeforeDamage	3	1022	2315
101790	OnSwitchNpc	3	931	2317
102339	OnFrame	3	931	2322
102340	OnAfterDamage	3	2358	2360
102348	OnSkill	3	2400	2403
102350	OnFrame	3	2411	2417
102360	OnFrame	3	2434	2437
102362	OnSwitchNpc	3	931	2439
102371	OnBeforeDamage	3	2104	2444
102380	OnFrame	3	2446	0
102382	OnBeforeDamage	3	931	2454
102384	OnBeforeDamage	3	931	2456
102386	OnSkill	3	931	2461
