Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
123206			0	0			1	0	1232060			123206000					1
123207			0	0			1	0	1232070			123207000					1
123208			0	0			1	0	1232080			123208000					1
123209			0	0			1	0	1232090			123209000					1
123222			0	0			1	0	1232220			123222000					1
123223			0	0.15			1	0	1232230|8	1132230	10|15	123223000					1
123261			0	0.5			1	0	1232610				FxR4LuxiyaSanreqi	Root			1
123262			0	0			1	0	1232620	1232610							1
123263			0	1			1	0	1232630			123263000					1
123264			0	1			1	0	1232640			123264000					1
123265			0	0			1	0	1232650	1232230|1232630|1232640							1
123270			0	-1			1	0	1232700	1232700		123270000					1
123271			0	-1			1	0	1232710	1232710							1
123272			0	-1			1	0	1232720	1232720		123272000					1
123273			0	-1			1	0	1232730	1232730		123273000					1
123275			0	-1			1	0	1232750	1232750		123275000					1
123280			0	-1			1	0	1232800|3			123280000					
123281			0	0			1	0	1232810	1232800							
123282			0	-1			1	0	1232820	1232820							1
123283			0	-1			1	0	1232830	1232830			FxR4LuxiyaWuqiB	WeaponCase2			1
123284			0	0			1	0	1232840	1232830							1
