Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
750501			0	-1			1	0	7505010			750501000					
750502			0	-1			1	0	7505020			750502000					
750503			0	-1			1	0	7505030			750503000					
750504			0	-1			1	0	7505040			750504000					
750505			0	-1			1	0	7505050			750505000					
750506			0	-1			1	0	7505060								
750507			0	-1			1	0	7505070								
750508			0	-1			1	0	7505080			750508000					
750509			0	5			1	0	7505090			750509000					
750510			0	5			1	0	7505100			750510000					
750511			0	-1			1	0	7505110			750511000					
750512			0	-1			1	0	7505120			750512000					
750513			0	5			1	0	7505130			750513000					
750515			0	-1			1	0	7505150			750515000					
750516			0	-1			1	0	7505160			750516000					
750517			0	-1			1	0	7505170			750517000					
750518			0	1			1	0	7505180								
750519			0	1			1	0	7505190								
750520			0	1			1	0	7505200								
750521			0	-1			1	0	7505210				FxLianjiHuifu	RootCase			
750522			0	-1			1	0	7505220				FxLianjiXueruo	RootCase			
750523			0	-1			1	0	7505230				FxLianjiJiaCheng	RootCase			
750524			0	3			1	0	7505240			750524000					
750525			0	-1			1	0	7505250			750525000					
750526			0	-1			1	0	7505260			750526000					
750527			0	-1			1	0	7505270			750527000					
