Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
99710096				-1								99710097					1
99710098				-1								99710099					1
99710094				-1								99710095					1
99710092				-1								99710093					1
90500096				-1								90500097					1
90500098			2.6	-1								90500099					1
90500094			2.6	-1								90500095					1
90500092			2.6	-1								90500093					1
99740096				-1								99740097					1
99740098				-1								99740099					1
99740094				-1								99740095					1
99740092				-1								99740093					1
90470096				-1								90470097					1
90470098				-1								90470099					1
90470094				-1								90470095					1
90470092				-1								90470093					1
90480096				-1								90480097					1
90480098				-1								90480099					1
90480094				-1								90480095					1
90480092				-1								90480093					1
90490096				-1								90490097					1
90490098				-1								90490099					1
90490094				-1								90490095					1
90490092				-1								90490093					1
90600096			1.15	-1								90600097					1
90600098			1.15	-1								90600099					1
90600094			1.15	-1								90600095					1
90600092			1.15	-1								90600093					1
90610096			1.15	-1								90610097					1
90610098			1.15	-1								90610099					1
90610094			1.15	-1								90610095					1
90610092			1.15	-1								90610093					1
90620096			1.15	-1								90620097					1
90620098			1.15	-1								90620099					1
90620094			1.15	-1								90620095					1
90620092			1.15	-1								90620093					1
90630096				-1								90630097					1
90630098				-1								90630099					1
90630094				-1								90630095					1
90630092				-1								90630093					1
90640096			1.15	-1								90640097					1
90640098			1.15	-1								90640099					1
90640094			1.15	-1								90640095					1
90640092			1.15	-1								90640093					1
90650096			1.15	-1								90650097					1
90650098			1.15	-1								90650099					1
90650094			1.15	-1								90650095					1
90650092			1.15	-1								90650093					1
90670096			2.15	-1								90670097					1
90670098			2.15	-1								90670099					1
90670094			2.15	-1								90670095					1
90670092			2.15	-1								90670093					1
90680096			2.15	-1								90680097					1
90680098			2.15	-1								90680099					1
90680094			2.15	-1								90680095					1
90680092			2.15	-1								90680093					1
83600096			2.6	-1								83600097					1
83600098			2.6	-1								83600099					1
83600094			2.6	-1								83600095					1
83600092			2.6	-1								83600093					1
90710096			1.65	-1								90710097					1
90710098			1.65	-1								90710099					1
90710094			1.65	-1								90710095					1
90710092			1.65	-1								90710093					1
90720096			1.35	-1								90720097					1
90720098			1.35	-1								90720099					1
90720094			1.35	-1								90720095					1
90720092			1.35	-1								90720093					1
90730096			0.8	-1								90730097					1
90730098			0.8	-1								90730099					1
90730094			0.8	-1								90730095					1
90730092			0.8	-1								90730093					1
