Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
907015			0	-1			-1	0	9070150			907015000					
907017			0	10			-1	0	9070170			907017000					
907020			0	-1			-1	0	9070200			907020000					
907021			0	-1			-1	0	9070210			907021000					
907022			0	-1			-1	0	9070220			907022000					
907023			0.05	0.3			-1	0	9070230			907023000					
907024			0	-1			1	0	9070240				FxMe1ZhizunMd000001Fangyubuff				
907025			0	-1			1	0	9070250				FxMe1ZhizunMd000001Gongjibuff				
907026			0.05	0.3			-1	0	9070260			907026000					
907027			0.05	0.3			-1	0	9070270			907027000					
907028			0.07	-1			-1	0	9070280			907028000					
907029			0.05	0.3			-1	0	9070290			907029000					
907030			0	0.5			-1	0	9070300			907030000					
907031			0	-1			1	0	9070310			907031000					
907032			0	-1			1	0	9070320			907032000					
907033			0	-1			1	0	9070330			907033000					
907034			0	-1			1	0	9070340			907034000					
907035			0	-1			1	0	9070350			907035000					
907036			0	-1			1	0	9070360			907036000					
907037			0.05	0.3			-1	0	9070370			907037000					
907038			0.035	0.3			-1	0	9070380			907038000					
907039			0	3			1	0	9070390			907039000					
907040			0	0.5			-1	0	9070400								
907042			0	0.3			-1	0	9070420			907042000					
907096			0	15			-1	0	9070960			907096000					
907097			1	-1			-1	0	9070970			907097000					
907098			3.5	-1			-1	0	9070980			907098000					
907099			0	-1			-1	0	9070990			907099000					
