Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
9981				-1								99810					
9082				-1								90820					
9983				-1								99830					
9984				-1								99840					
8340				-1								83400					
8341				-1								83410					
8342				-1								83420					
8343				-1								83430					
8345				-1								83450					
9066				-1								90660					
9069				-1								90690					
8370				-1								83700					
8371				-1								83710					
9074				-1								90740					
