Id	Description	ConditionId[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	EnemyBornMagic[1]	EnemyBornMagic[2]	EnemyBornMagic[3]	EnemyBornMagic[4]
700001	+1 Red Orb when you gain one		700001							
700002	+1 Blue Orb when you gain one		700002							
700003	+1 Yellow Orb when you gain one		700003							
700005	When Combo is greater than 100, Extra DMG Bonus increases by 50%.		700005							
1001	Extra DMG Bonus increases by 50%		700006							
1002	+1 Red Orb when you gain one		700001							
1003	When Combo is greater than 100, Extra DMG Bonus increases by 50%.		700005							
1004	Enemies' Extra DMG Bonus increases by 50%						700006			
1005	Enemies' Extra DMG Bonus increases by 50%						700006			
1006	Enemies' Extra DMG Bonus increases by 50%						700006			
1007	Enemies' Extra DMG Bonus increases by 50%						700006			
2001	Event - Fire DMG +50%		762001							
2002	Event - Lightning DMG +50%		762002							
2003	Event - Ice DMG +50%		762003							
2004	Event - Dark DMG +50%		762004							
2005	Event - Physical DMG +50%		762005							
2006	Event - CRIT DMG +50%		762006							
2007	Event - When Combo reaches 100, Extra DMG Bonus increases by 50%.		762007							
2008	Event - Melee attack's Extra DMG Bonus increases by 50%.		762010							
2009	Event - Ranged attack's Extra DMG Bonus increases by 50%.		762012							
2010	Event - Elemental DMG +50%		762013							
2011	Event - Basic Attack DMG increased. Basic Attack does not generate Signal Orbs anymore.		762018							
2012	Event - No dodge cost, no Matrix cooldown		762021							
2013	Event - Signal Orbs appear more often		762023							
2014	Event - No QTE cooldown		762024							
2015	Event - Start with max Rage		762025							
2016	Event - Enemies drop a random Signal Orb on death		762026							
2017	Event - Monsters may drop Rage Orbs on death		762034							
3001	Extra DMG Bonus increases by 15%		761001							
3002	Signal Orb skill DMG increases by 20%.		761011							
3003	Basic Attack DMG increases by 20%.		761021							
3004	In every 6s, recovers 10% of the HP lost of Constructs on field.		761031							
3005	Construct's Extra DMG Reduction increases by 15%		761041							
3006	Gains a random Signal Orb in every 3s.		761051							
3007	Gains a Red Orb in every 3s.		761061							
3008	Gains a Yellow Orb in every 3s.		761071							
3009	Gains a Blue Orb in every 3s.		761081							
3010	Cannon Support - Support Team will launch cannon attack		761091							
3011	Elemental Support - Support Team will launch elemental attack		761101							
3012	Shield Support - Gains Shield once in awhile		761111							
3013	Construct gains 100 Energy.		761121							
4001	Physical DMG increases by 30%		762201							
4002	Ice DMG increases by 30%		762202							
4003	Fire DMG increases by 30%		762203							
4004	Lightning DMG increases by 30%		762204							
4005	Dark DMG increases by 30%		762205							
11001	During Simulation, HP of enemies increases by 15%.						770000			
11002	During Simulation, HP of enemies increases by 30%.						770001			
11003	During Simulation, HP of enemies increases by 45%.						770002			
11011	During Simulation, ATK of enemies increases by 10%.						770003			
11012	During Simulation, ATK of enemies increases by 20%.						770004			
11013	During Simulation, ATK of enemies increases by 30%.						770005			
11031	During Simulation, Physical Resistance of enemies increases by 30%.						770021			
11032	During Simulation, Physical Resistance of enemies increases by 20%.						770055			
11033	During Simulation, Physical Resistance of enemies increases by 40%.						770056			
11034	During Simulation, Physical Resistance of enemies increases by 60%.						770057			
11041	During Simulation, the overall combat power of enemies increases by 30%.		770045				770050			
11042	During Simulation, the overall combat power of enemies increases by 60%.		770046				770051			
11043	During Simulation, the overall combat power of enemies increases by 90%.		770047				770052			
11044	During Simulation, the overall combat power of enemies increases by 120%.		770048				770053			
11045	During Simulation, the overall combat power of enemies increases by 150%.		770049				770054			
11051	During Simulation, Movement Speed of enemies increases by 25%.						770036			
11052	During Simulation, Movement Speed of enemies increases by 50%.						770037			
11053	During Simulation, Movement Speed of enemies increases by 100%.						770038			
11061	During Simulation, Extra DMG Reduction increases by 10% when an enemy has Super Armor.						772003			
11062	During Simulation, Extra DMG Reduction increases by 20% when an enemy has Super Armor.						772004			
11063	During Simulation, Extra DMG Reduction increases by 30% when an enemy has Super Armor.						772005			
11131	During Simulation, Elemental Resistance of enemies increases by 30%.						770024	770027	770030	770033
11151	Explore Unit has 40% ATK bonus under Berserk mode		770058							
11152	Explore Unit has 40% ATK bonus and takes 20% less damage under Berserk mode		770059							
11153	Explore Unit has 40% ATK bonus, takes 20% less damage, and gains 30% of max HP under Berserk mode		770060							
12001	The deployed Constructs' HP decreases by 15%		771001							
12002	The deployed Constructs' HP decreases by 30%		771002							
12003	The deployed Constructs' HP decreases by 45%		771003							
12101	For every 1m after 2.5m from the target, Extra Damage Reduction will be increased by 20%. (Up to 80%)		771086							
12111	For every 1m after 4m from the target, Extra Damage Reduction will be increased by 20%. (Up to 80%)		771097							
12051	During Simulation, Movement Speed of Constructs decreases by 25%.		771052							
12052	During Simulation, Movement Speed of Constructs decreases by 50%.		771053							
12053	During Simulation, Movement Speed of Constructs decreases by 75%.		771054							
12121	QTE cooldown increases by 3s		771111							
12122	QTE cooldown increases by 6s		771112							
12123	QTE cooldown increases by 10s		771113							
12131	During Simulation, the limit of Dodge Gauge decreases by 200.		771108							
12132	During Simulation, the limit of Dodge Gauge decreases by 400.		771109							
12133	During Simulation, the limit of Dodge Gauge decreases by 600.		771110							
12151	During Simulation, enemies are no longer affected by Matrix.						770545			
13001	In every 25s, creates a thunderstorm to call down lightning strikes at 5 random spots within 10m, dealing 2000 Lightning DMG.		772055							
13002	In every 20s, creates a thunderstorm to call down lightning strikes at 5 random spots within 10m, dealing 2000 Lightning DMG.		772056							
13003	In every 15s, creates a thunderstorm to call down lightning strikes at 5 random spots within 10m, dealing 2000 Lightning DMG.		772057							
13051	During Simulation, the healing effect for Constructs is reduced by 50%.		772000							
13052	During Simulation, the healing effect for Constructs is reduced by 50%.		772000							
13053	During Simulation, the healing effect for Constructs is reduced by 50%.		772000							
13071	During Simulation, all deployed Constructs lose 90 HP per second.		772015							
13072	During Simulation, all deployed Constructs lose 180 HP per second.		772016							
13073	During Simulation, all deployed Constructs lose 270 HP per second.		772017							
13081	During Simulation, Constructs on field take 40 Physical DMG per second. Virus concentration increases by 1 layer every 20s.		772045							
21001	The deployed Constructs' HP increases by 40%		771502							
21011	During Simulation, ATK of the deployed Constructs increases by 10%.		771503							
21101	For every 1m after 4m from the target, Construct's Extra DMG Bonus increases by 15%, up to 60%.		771585							
21111	Triggering a QTE by a 3-Ping will trigger the other two constructs' QTE. 6s cooldown.		771596							
21121	During Simulation, DMG of Constructs on field increases by 5% for 5s when triggering QTE.		771610							
21131	Upon triggering QTE, heals the construct for 15% of maximum HP.		771616							
21211	Fire DMG increases by 30%		771651							
21221	Lightning DMG increases by 30%		771650							
21231	Ice DMG increases by 30%.		762202							
21261	During Simulation, Construct's Extra DMG Reduction increases by 45%		771648							
21271	During Simulation, Construct's Extra DMG Reduction increases by 30%		771649							
22051	During Simulation, the healing effect for the deployed Constructs increases by 25%.		771631							
22061	During Simulation, Extra DMG Bonus of the deployed Constructs increases by 5%/10%/15% when Combo is greater than 40/60/80.		771632							
22071	During Simulation, the deployed Constructs automatically gain a Signal Orb every 3s.		771636							
22081	During Simulation, every time a Signal Orb is consumed, Extra Damage Bonus of the deployed Constructs increases by 2% for 3s. Can be stacked up to 10 times.		771638							
22091	During Simulation, Elemental DMG of Constructs increases by 15%.		771524	771527	771530	771533				
22101	During Simulation, Extra Damage Bonus increases by 20% when the Construct is attacking from behind.		771646							
22111	During Simulation, Elemental DMG of Tank-type Constructs increases by 50%.		771652							
22121	Tank-type Constructs' Extra DMG Bonus increases by 65%		771657							
22131	Tank-type Constructs' Extra DMG Reduction increases by 45%		771659							
22141	Elemental DMG increases by 45%		771661							
22151	Elemental DMG increases by 45%		771661							
22161	Fire DMG increases by 45%		771666							
22171	Physical DMG increases 45%.		771671							
22181	Lightning DMG increases by 45%		771672							
22191	Current Construct's Extra DMG Bonus increases by 45% for 5s upon triggering the QTE.		771611							
22201	Upon triggering QTE, heals the Construct for 20% of maximum HP		771617							
22211	The deployed Constructs' HP increases by 45%		771501							
