Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
99710096	AddBuff	99710096																													
99710097	AddMissile	997199|1																													
99710098	AddBuff	99710098																													
99710099	HideJoint	Root																													
99710094	AddBuff	99710094																													
99710095	AddNpcState	21																													
99710092	AddBuff	99710092																													
99710093	AddNpcState	22																													
90500096	AddBuff	90500096																													
90500097	AddMissile	905099|1																													
90500098	AddBuff	90500098																													
90500099	HideJoint	Root																													
90500094	AddBuff	90500094																													
90500095	AddNpcState	21																													
90500092	AddBuff	90500092																													
90500093	AddNpcState	22																													
99740096	AddBuff	99740096																													
99740097	AddMissile	997499|1																													
99740098	AddBuff	99740098																													
99740099	HideJoint	Root																													
99740094	AddBuff	99740094																													
99740095	AddNpcState	21																													
99740092	AddBuff	99740092																													
99740093	AddNpcState	22																													
90470096	AddBuff	90470096																													
90470097	AddMissile	904799|1																													
90470098	AddBuff	90470098																													
90470099	HideJoint	Root																													
90470094	AddBuff	90470094																													
90470095	AddNpcState	21																													
90470092	AddBuff	90470092																													
90470093	AddNpcState	22																													
90480096	AddBuff	90480096																													
90480097	AddMissile	904899|1																													
90480098	AddBuff	90480098																													
90480099	HideJoint	Root																													
90480094	AddBuff	90480094																													
90480095	AddNpcState	21																													
90480092	AddBuff	90480092																													
90480093	AddNpcState	22																													
90490096	AddBuff	90490096																													
90490097	AddMissile	904999|1																													
90490098	AddBuff	90490098																													
90490099	HideJoint	Root																													
90490094	AddBuff	90490094																													
90490095	AddNpcState	21																													
90490092	AddBuff	90490092																													
90490093	AddNpcState	22																													
90600096	AddBuff	90600096																													
90600097	AddMissile	906099|1																													
90600098	AddBuff	90600098																													
90600099	HideJoint	Root																													
90600094	AddBuff	90600094																													
90600095	AddNpcState	21																													
90600092	AddBuff	90600092																													
90600093	AddNpcState	22																													
90610096	AddBuff	90610096																													
90610097	AddMissile	906199|1																													
90610098	AddBuff	90610098																													
90610099	HideJoint	Root																													
90610094	AddBuff	90610094																													
90610095	AddNpcState	21																													
90610092	AddBuff	90610092																													
90610093	AddNpcState	22																													
90620096	AddBuff	90620096																													
90620097	AddMissile	906299|1																													
90620098	AddBuff	90620098																													
90620099	HideJoint	Root																													
90620094	AddBuff	90620094																													
90620095	AddNpcState	21																													
90620092	AddBuff	90620092																													
90620093	AddNpcState	22																													
90630096	AddBuff	90630096																													
90630097	AddMissile	906399|1																													
90630098	AddBuff	90630098																													
90630099	HideJoint	Root																													
90630094	AddBuff	90630094																													
90630095	AddNpcState	21																													
90630092	AddBuff	90630092																													
90630093	AddNpcState	22																													
90640096	AddBuff	90640096																													
90640097	AddMissile	906499|1																													
90640098	AddBuff	90640098																													
90640099	HideJoint	Root																													
90640094	AddBuff	90640094																													
90640095	AddNpcState	21																													
90640092	AddBuff	90640092																													
90640093	AddNpcState	22																													
90650096	AddBuff	90650096																													
90650097	AddMissile	906599|1																													
90650098	AddBuff	90650098																													
90650099	HideJoint	Root																													
90650094	AddBuff	90650094																													
90650095	AddNpcState	21																													
90650092	AddBuff	90650092																													
90650093	AddNpcState	22																													
90670096	AddBuff	90670096																													
90670097	AddMissile	906799|1																													
90670098	AddBuff	90670098																													
90670099	HideJoint	Root																													
90670094	AddBuff	90670094																													
90670095	AddNpcState	21																													
90670092	AddBuff	90670092																													
90670093	AddNpcState	22																													
90680096	AddBuff	90680096																													
90680097	AddMissile	906899|1																													
90680098	AddBuff	90680098																													
90680099	HideJoint	Root																													
90680094	AddBuff	90680094																													
90680095	AddNpcState	21																													
90680092	AddBuff	90680092																													
90680093	AddNpcState	22																													
83600096	AddBuff	83600096																													
83600097	AddMissile	836099|1																													
83600098	AddBuff	83600098																													
83600099	HideJoint	Root																													
83600094	AddBuff	83600094																													
83600095	AddNpcState	21																													
83600092	AddBuff	83600092																													
83600093	AddNpcState	22																													
90710096	AddBuff	90710096																													
90710097	AddMissile	907199|1																													
90710098	AddBuff	90710098																													
90710099	HideJoint	Root																													
90710094	AddBuff	90710094																													
90710095	AddNpcState	21																													
90710092	AddBuff	90710092																													
90710093	AddNpcState	22																													
90720096	AddBuff	90720096																													
90720097	AddMissile	907299|1																													
90720098	AddBuff	90720098																													
90720099	HideJoint	Root																													
90720094	AddBuff	90720094																													
90720095	AddNpcState	21																													
90720092	AddBuff	90720092																													
90720093	AddNpcState	22																													
90730096	AddBuff	90730096																													
90730097	AddMissile	907399|1																													
90730098	AddBuff	90730098																													
90730099	HideJoint	Root																													
90730094	AddBuff	90730094																													
90730095	AddNpcState	21																													
90730092	AddBuff	90730092																													
90730093	AddNpcState	22																													
