Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]	Level[31]	Level[32]	Level[33]	Level[34]	Level[35]
103201	Damage	2|0|3000|0|0|0|1|7000	2|0|3176|0|0|0|1|7000	2|0|3353|0|0|0|1|7000	2|0|3529|0|0|0|1|7000	2|0|3706|0|0|0|1|7000	2|0|3882|0|0|0|1|7000	2|0|4059|0|0|0|1|7000	2|0|4235|0|0|0|1|7000	2|0|4412|0|0|0|1|7000	2|0|4588|0|0|0|1|7000	2|0|4765|0|0|0|1|7000	2|0|4941|0|0|0|1|7000	2|0|5118|0|0|0|1|7000	2|0|5294|0|0|0|1|7000	2|0|5471|0|0|0|1|7000	2|0|5647|0|0|0|1|7000	2|0|5824|0|0|0|1|7000	2|0|6000|0|0|0|1|7000	2|0|6176|0|0|0|1|7000	2|0|6353|0|0|0|1|7000	2|0|6529|0|0|0|1|7000	2|0|6706|0|0|0|1|7000	2|0|6882|0|0|0|1|7000	2|0|7059|0|0|0|1|7000	2|0|7235|0|0|0|1|7000	2|0|7412|0|0|0|1|7000	2|0|7588|0|0|0|1|7000	2|0|7765|0|0|0|1|7000	2|0|7941|0|0|0|1|7000	2|0|8118|0|0|0|1|7000	2|0|8294|0|0|0|1|7000	2|0|8471|0|0|0|1|7000	2|0|8647|0|0|0|1|7000	2|0|8824|0|0|0|1|7000	2|0|9000|0|0|0|1|7000
103202	Damage	2|0|5000|0|0|0|1|7000	2|0|5294|0|0|0|1|7000	2|0|5588|0|0|0|1|7000	2|0|5882|0|0|0|1|7000	2|0|6176|0|0|0|1|7000	2|0|6471|0|0|0|1|7000	2|0|6765|0|0|0|1|7000	2|0|7059|0|0|0|1|7000	2|0|7353|0|0|0|1|7000	2|0|7647|0|0|0|1|7000	2|0|7941|0|0|0|1|7000	2|0|8235|0|0|0|1|7000	2|0|8529|0|0|0|1|7000	2|0|8824|0|0|0|1|7000	2|0|9118|0|0|0|1|7000	2|0|9412|0|0|0|1|7000	2|0|9706|0|0|0|1|7000	2|0|10000|0|0|0|1|7000	2|0|10294|0|0|0|1|7000	2|0|10588|0|0|0|1|7000	2|0|10882|0|0|0|1|7000	2|0|11176|0|0|0|1|7000	2|0|11471|0|0|0|1|7000	2|0|11765|0|0|0|1|7000	2|0|12059|0|0|0|1|7000	2|0|12353|0|0|0|1|7000	2|0|12647|0|0|0|1|7000	2|0|12941|0|0|0|1|7000	2|0|13235|0|0|0|1|7000	2|0|13529|0|0|0|1|7000	2|0|13824|0|0|0|1|7000	2|0|14118|0|0|0|1|7000	2|0|14412|0|0|0|1|7000	2|0|14706|0|0|0|1|7000	2|0|15000|0|0|0|1|7000
103203	Damage	2|0|4000|0|0|0|1|7000	2|0|4235|0|0|0|1|7000	2|0|4471|0|0|0|1|7000	2|0|4706|0|0|0|1|7000	2|0|4941|0|0|0|1|7000	2|0|5176|0|0|0|1|7000	2|0|5412|0|0|0|1|7000	2|0|5647|0|0|0|1|7000	2|0|5882|0|0|0|1|7000	2|0|6118|0|0|0|1|7000	2|0|6353|0|0|0|1|7000	2|0|6588|0|0|0|1|7000	2|0|6824|0|0|0|1|7000	2|0|7059|0|0|0|1|7000	2|0|7294|0|0|0|1|7000	2|0|7529|0|0|0|1|7000	2|0|7765|0|0|0|1|7000	2|0|8000|0|0|0|1|7000	2|0|8235|0|0|0|1|7000	2|0|8471|0|0|0|1|7000	2|0|8706|0|0|0|1|7000	2|0|8941|0|0|0|1|7000	2|0|9176|0|0|0|1|7000	2|0|9412|0|0|0|1|7000	2|0|9647|0|0|0|1|7000	2|0|9882|0|0|0|1|7000	2|0|10118|0|0|0|1|7000	2|0|10353|0|0|0|1|7000	2|0|10588|0|0|0|1|7000	2|0|10824|0|0|0|1|7000	2|0|11059|0|0|0|1|7000	2|0|11294|0|0|0|1|7000	2|0|11529|0|0|0|1|7000	2|0|11765|0|0|0|1|7000	2|0|12000|0|0|0|1|7000
103204	Damage	2|0|2500|0|0|0|1|7000	2|0|2647|0|0|0|1|7000	2|0|2794|0|0|0|1|7000	2|0|2941|0|0|0|1|7000	2|0|3088|0|0|0|1|7000	2|0|3235|0|0|0|1|7000	2|0|3382|0|0|0|1|7000	2|0|3529|0|0|0|1|7000	2|0|3676|0|0|0|1|7000	2|0|3824|0|0|0|1|7000	2|0|3971|0|0|0|1|7000	2|0|4118|0|0|0|1|7000	2|0|4265|0|0|0|1|7000	2|0|4412|0|0|0|1|7000	2|0|4559|0|0|0|1|7000	2|0|4706|0|0|0|1|7000	2|0|4853|0|0|0|1|7000	2|0|5000|0|0|0|1|7000	2|0|5147|0|0|0|1|7000	2|0|5294|0|0|0|1|7000	2|0|5441|0|0|0|1|7000	2|0|5588|0|0|0|1|7000	2|0|5735|0|0|0|1|7000	2|0|5882|0|0|0|1|7000	2|0|6029|0|0|0|1|7000	2|0|6176|0|0|0|1|7000	2|0|6324|0|0|0|1|7000	2|0|6471|0|0|0|1|7000	2|0|6618|0|0|0|1|7000	2|0|6765|0|0|0|1|7000	2|0|6912|0|0|0|1|7000	2|0|7059|0|0|0|1|7000	2|0|7206|0|0|0|1|7000	2|0|7353|0|0|0|1|7000	2|0|7500|0|0|0|1|7000
103205	Damage	2|0|5000|0|0|0|1|7000	2|0|5294|0|0|0|1|7000	2|0|5588|0|0|0|1|7000	2|0|5882|0|0|0|1|7000	2|0|6176|0|0|0|1|7000	2|0|6471|0|0|0|1|7000	2|0|6765|0|0|0|1|7000	2|0|7059|0|0|0|1|7000	2|0|7353|0|0|0|1|7000	2|0|7647|0|0|0|1|7000	2|0|7941|0|0|0|1|7000	2|0|8235|0|0|0|1|7000	2|0|8529|0|0|0|1|7000	2|0|8824|0|0|0|1|7000	2|0|9118|0|0|0|1|7000	2|0|9412|0|0|0|1|7000	2|0|9706|0|0|0|1|7000	2|0|10000|0|0|0|1|7000	2|0|10294|0|0|0|1|7000	2|0|10588|0|0|0|1|7000	2|0|10882|0|0|0|1|7000	2|0|11176|0|0|0|1|7000	2|0|11471|0|0|0|1|7000	2|0|11765|0|0|0|1|7000	2|0|12059|0|0|0|1|7000	2|0|12353|0|0|0|1|7000	2|0|12647|0|0|0|1|7000	2|0|12941|0|0|0|1|7000	2|0|13235|0|0|0|1|7000	2|0|13529|0|0|0|1|7000	2|0|13824|0|0|0|1|7000	2|0|14118|0|0|0|1|7000	2|0|14412|0|0|0|1|7000	2|0|14706|0|0|0|1|7000	2|0|15000|0|0|0|1|7000
103206	AddBuff	103206																																		
103206000	ChangeTimeScale	0|3|0|2																																		
103207	AddBuff	103207																																		
103207000	ChangeTimeScale	0|5|0|1																																		
103208	AddBuff	103208																																		
103208000	ChangeTimeScale	0|2|0|1																																		
103209	AddBuff	103209																																		
103209000	ChangeTimeScale	0|7|0|1																																		
