Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]	Level[31]	Level[32]	Level[33]	Level[34]	Level[35]
700001	AddBuff	700001																																		
700001000	AddBehavior	700001																																		
700002	AddBuff	700002																																		
700002000	AddBehavior	700002																																		
700003	AddBuff	700003																																		
700003000	AddBehavior	700003																																		
700004	AddBuff	700004																																		
700004000	ChangeAttribAdditive	6|-1|0																																		
700005	AddBuff	700005																																		
700005000	AddBehavior	700005																																		
700006	AddBuff	700006																																		
700006000	ChangeAttribAdditive	25|5000|0																																		
700007	AddBuff	700007																																		
700007000	AddBehavior	700007																																		
700008	AddAttribValue	1|1|1																																		
700009	AddBuff	700009																																		
700009000	AddBehavior	700009																																		
700010	AddBuff	700010																																		
700010000	RemoveBuff	700007|																																		
700011	AddBuff	700011																																		
700011000	AddBehavior	700011																																		
700012	AddBuff	700012																																		
700013	AddBuff	700013																																		
700013000	HideJoint	Root																																		
700014	RemoveBuff	700013|																																		
700015	AddBuff	700015																																		
700016	RemoveBuff	700015|																																		
700017	AddBuff	700017																																		
700017000	AddNpcState	22																																		
700018	RemoveBuff	700017|																																		
700019	RemoveBuff	700012|																																		
700020	AddBuff	700020																																		
700020000	HideJoint	ModelCase																																		
700021	RemoveBuff	700020|																																		
700022	AddBuff	700022																																		
700022000	AddForceThreat																																			
700023	RemoveBuff	700022|																																		
700024	AddBuff	700024																																		
700024000	ChangeAttribAdditive	32|-100000|																																		
700025	AddBuff	700025																																		
700025000	AddNpcState	30																																		
700026	AddBuff	700026																																		
700026000	AddBehavior	700026																																		
700027	AddBuff	700027																																		
700027000	AddBehavior	700027																																		
700028	AddBuff	700028																																		
700028000	AddNpcState	27																																		
700029	AddBuff	700029																																		
700030	AddBuff	700030																																		
700030000	AddNpcState	32																																		
700031	AddBuff	700031																																		
700031000	AddBehavior	700031																																		
700032	AddBuff	700032																																		
700032000	RemoveBuff	700027|																																		
700033	AddBuff	700033																																		
700033000	RemoveBuff	700028|																																		
700034	AddBuff	700034																																		
700034000	RemoveBuff	700029|																																		
700035	AddBuff	700035																																		
700035000	RemoveBuff	700030|																																		
700036	AddBuff	700036																																		
700036000	AddBehavior	700036																																		
700037	AddBuff	700037																																		
700038	AddBuff	700038																																		
700038000	AddNpcState	25																																		
700039	AddBuff	700039																																		
700040	RemoveBuff	700039|																																		
700041	AddBuff	700041																																		
700041000	AddBehavior	700041																																		
700042	RemoveBuff	700041|																																		
700043	Cure	1|3|0|200|1																																		
700044	AddBuff	700044																																		
700044000	ChangeAttribAdditive	1|9549|0																																		
700045	AddBuff	700045																																		
700046	AddBuff	700046																																		
700046000	AddBehavior	700046																																		
700047	AddBuff	700047																																		
700047000	AddBehavior	700047																																		
700048	AddBuff	700048																																		
700048000	AddTimeScaleBuff	0																																		
700049	AddBuff	700049																																		
700050	AddBuff	700050																																		
700051	AddBuff	700051																																		
700051000	AddBehavior	700051																																		
700101	Cure	1|3|0|10000|1																																		
700102	Cure	1|3|0|8000|1																																		
700103	Cure	1|3|0|6000|1																																		
700104	Cure	1|3|0|4000|1																																		
700105	Cure	1|3|0|2000|1																																		
700106	Cure	1|3|0|1000|1																																		
700107	Cure	1|3|0|500|1																																		
700108	Cure	1|3|350|0|1																																		
700109	AddAttribValue	1|0|200																																		
700191	AddAttribValue	2|-100|0																																		
700192	AddAttribValue	2|-80|0																																		
700193	AddAttribValue	2|-60|0																																		
700194	AddAttribValue	2|-40|0																																		
700195	AddAttribValue	2|-20|0																																		
700196	AddAttribValue	2|-10|0																																		
700197	AddAttribValue	2|-5|0																																		
700201	AddAttribValue	2|100|0																																		
700202	AddAttribValue	2|80|0																																		
700203	AddAttribValue	2|60|0																																		
700204	AddAttribValue	2|40|0																																		
700205	AddAttribValue	2|20|0																																		
700206	AddAttribValue	2|10|0																																		
700207	AddAttribValue	2|5|0																																		
700208	AddBuff	700208																																		
700208000	AddBehavior	700208																																		
700209	AddBuff	700209																																		
700209000	AddBehavior	700209																																		
700210	AddBuff	700210																																		
700211	AddBuff	700211																																		
700212	AddBuff	700212																																		
700213	AddBuff	700213																																		
700214	AddBuff	700214																																		
700215	AddBuff	700215																																		
700215000	AddNpcState	30																																		
700216	AddBuff	700216																																		
700216000	AddNpcState	25																																		
700217	AddBuff	700217																																		
700217000	RemoveBuff	100033|																																		
700218	AddBuff	700218																																		
700218000	RemoveBuff	700216|																																		
700219	AddBuff	700219																																		
700219000	RemoveBuff	100051|																																		
700220	AddBuff	700220																																		
700221	AddBuff	700221																																		
700221000	ChangeAttribAdditive	3||-2000																																		
700222	AddBuff	700222																																		
700222000	ChangeAttribAdditive	4||-2000																																		
700223	AddBuff	700223																																		
700223000	ChangeAttribAdditive	3||-4000																																		
700224	AddBuff	700224																																		
700224000	ChangeAttribAdditive	4||-4000																																		
700225	AddBuff	700225																																		
700225000	ChangeAttribAdditive	3||-6000																																		
