Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]	Level[31]	Level[32]	Level[33]	Level[34]	Level[35]
832000	AddBuff	832000																																		
832000000	PlayCameraTrackOnAllClients	CTMb1LuosaitaMd010001Born|0|1.5																																		
832001	ShakeCamera	7|00.2|-1|10|00.2|30																																		
832002	ChangeTimeScale	00.1|12|0|0																																		
832003	ChangeTimeScale	00.1|2|0|0																																		
832004	ChangeTimeScale	00.1|2|0|0																																		
832005	ShakeCamera	6|00.35|-00.6|13|00.2|30																																		
832006	ShakeCamera	3|00.4|-1|8|00.2|30																																		
832007	ShakeCamera	5|00.5|-1|10|00.2|30																																		
832008	AddBuff	832008																																		
832009	AddBuff	832009																																		
832010	AddBuff	832010																																		
832021	AddBuff	832021																																		
832022	AddBuff	832022																																		
832022000	AddBehavior	832022																																		
832023	AddBuff	832023																																		
832023000	PlaySound	832039|0																																		
832200	AddBuff	832200																																		
832200000	PlayCameraTrackOnAllClients	CTMb1LuosaitaMd010002Born1|0|1.5																																		
832201	AddBuff	832201																																		
832201000	HideJoint	ModelCase																																		
832202	AddBuff	832202																																		
832202000	HideJoint	Mb1LuosaitaMd010001Weapon1																																		
832203	AddBuff	832203																																		
832203000	HideJoint	Mb1LuosaitaMd010002Weapon2																																		
832204	AddBuff	832204																																		
832205	AddBuff	832205																																		
832205000	ChangeTimeScale	00.2|6|0|0																																		
832206	AddBuff	832206																																		
832206000	AddNpcState	27																																		
832207	AddBuff	832207																																		
832208	AddBuff	832208																																		
832209	AddBuff	832209																																		
832210	AddBuff	832210																																		
832210000	AddBehavior	832210																																		
832211	AddBuff	832211																																		
832211000	AddNpcState	27																																		
832212	AddBuff	832212																																		
832212000	AddBehavior	832212																																		
832213	AddBuff	832213																																		
832213000	AddBehavior	832213																																		
832214	AddBuff	832214																																		
832214000	ChangeTimeScale	0|4|0|0																																		
832223	AddBuff	832223																																		
832223000	AddBehavior	832223																																		
832231	AddBuff	832231																																		
832232	AddBuff	832232																																		
832233	AddBuff	832233																																		
832234	AddBuff	832234																																		
832235	AddBuff	832235																																		
832236	AddBuff	832236																																		
832237	AddBuff	832237																																		
832237000	PlaySound	832243|0																																		
832228	AddBuff	832228																																		
832228000	HideJoint	HitCase																																		
835000	AddBuff	835000																																		
835000000	PlayCameraTrackOnAllClients	CTMb1MelodyMd010001Born|0|1.5																																		
835001	AddBuff	835001																																		
835001000	PlaySound	835086|0																																		
835002	AddBuff	835002																																		
835002000	AddNpcState	27																																		
835003	AddBuff	835003																																		
835010	AddBuff	835010																																		
835010000	AddBehavior	835010																																		
835020	AddBuff	835020																																		
835020000	AddBehavior	835020																																		
835061	AddBuff	835061																																		
835062	AddBuff	835062																																		
835063	AddBuff	835063																																		
835064	AddBuff	835064																																		
835067	AddBuff	835067																																		
835068	AddBuff	835068																																		
835070	ShakeCamera	6|00.2|-1|10|00.2|1																																		
835071	ShakeCamera	2|00.2|-1|10|00.1|1																																		
835072	ShakeCamera	3|00.08|-1|12|00.1|1																																		
835073	ShakeCamera	4|00.4|-1|12|00.2|1																																		
835074	ShakeCamera	3|00.2|-1|12|00.1|1																																		
835075	ShakeCamera	3|00.3|-1|20|00.2|1																																		
835076	ShakeCamera	3|00.3|-1|20|00.3|1																																		
835077	ShakeCamera	5|00.6|-1|20|00.3|1																																		
835078	ShakeCamera	1|00.08|0|20|00.15|1																																		
835079	ShakeCamera	2|00.25|-1|15|00.2|1																																		
835080	ShakeCamera	2|00.3|-1|20|00.25|1																																		
835081	ChangeTimeScale	00.1|5|0|3																																		
835082	ShakeCamera	5|00.2|-1|12|00.2|1																																		
835200	AddBuff	835200																																		
835200000	PlayCameraTrackOnAllClients	CTMb1MelodyhuaxuMd10001Born|0|1.5																																		
835201	DragNpc	2|1|5|0																																		
835202	ShakeCamera	5|00.4|-1|10|00.1|1																																		
835203	ShakeCamera	5|00.4|-1|12|00.35|1																																		
835205	AddBuff	835205																																		
835205000	PlaySound	835085|0																																		
835206	AddBuff	835206																																		
835206000	SetCameraPositionOffset	0|0|-8|00.2|00.2|1																																		
835207	AddBuff	835207																																		
835207000	SetCameraPositionOffset	0|0|-5|00.2|00.2|1																																		
835210	AddBuff	835210																																		
835210000	AddBehavior	835210																																		
835211	AddBuff	835211																																		
835211000	AddProtector	31|0|1|2500|1																																		
835212	AddBuff	835212																																		
835213	AddBuff	835213																																		
835214	AddBuff	835214																																		
835214000	AddBehavior	835214																																		
835215	ChangeDamageAdditive	32|3000|0																																		
835216	ChangeDamageAdditive	32|4000|0																																		
835217	ChangeDamageAdditive	32|5000|0																																		
835218	AddBuff	835218																																		
835220	AddBuff	835220																																		
