Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
101409062	ShakeCamera	5|00.05|0|10|00.1|10																													
101409072	ShakeCamera	5|00.05|0|10|00.1|12																													
101409082	ShakeCamera	5|00.05|0|10|00.1|14																													
101409092	ShakeCamera	5|00.05|0|10|00.1|16																													
101409102	ShakeCamera	5|00.05|0|10|00.1|18																													
101409112	ShakeCamera	5|00.05|0|10|00.1|20																													
101410062	ShakeCamera	5|00.05|0|10|00.1|10																													
101410072	ShakeCamera	5|00.05|0|10|00.1|12																													
101410082	ShakeCamera	5|00.05|0|10|00.1|14																													
101410092	ShakeCamera	5|00.05|0|10|00.1|16																													
101410102	ShakeCamera	5|00.05|0|10|00.1|18																													
101410112	ShakeCamera	5|00.05|0|10|00.1|20																													
101411062	ShakeCamera	5|00.05|0|10|00.1|10																													
101411072	ShakeCamera	5|00.05|0|10|00.1|12																													
101411082	ShakeCamera	5|00.05|0|10|00.1|14																													
101411092	ShakeCamera	5|00.05|0|10|00.1|16																													
101411102	ShakeCamera	5|00.05|0|10|00.1|18																													
101411112	ShakeCamera	5|00.05|0|10|00.1|20																													
101412082	ShakeCamera	5|00.8|-2|10|00.2|4																													
101413082	ShakeCamera	5|00.8|-2|10|00.2|4																													
101414082	ShakeCamera	5|00.8|-2|10|00.2|4																													
101418162	ShakeCamera	3|00.15|12|20|00.05|5																													
101418172	ShakeCamera	3|00.45|8|20|00.05|6																													
101418182	ShakeCamera	5|00.4|1|20|00.05|7																													
101425022	ShakeCamera	5|00.2|0|10|00.1|10																													
110201012	ShakeCamera	3|00.15|-00.5|10|00.15|0																													
110202012	ShakeCamera	4|00.3|-00.75|10|00.15|0																													
110202022	ShakeCamera	2|00.3|-1|10|00.2|1																													
110203012	ShakeCamera	4|00.3|-00.75|10|00.15|0																													
110203042	ShakeCamera	4|00.35|-00.75|10|00.15|2																													
110203052	ShakeCamera	4|00.35|-00.75|10|00.25|3																													
110204012	ShakeCamera	3|00.2|-00.75|10|00.2|0																													
110204032	ShakeCamera	3|00.2|-00.75|10|00.2|1																													
110204052	ShakeCamera	2|00.45|-00.75|10|00.45|2																													
110205012	ShakeCamera	3|00.15|-00.5|10|00.15|0																													
110205022	ShakeCamera	4|00.3|-00.75|10|00.15|0																													
110205032	ShakeCamera	2|00.25|-00.75|10|00.2|0																													
110206012	ShakeCamera	3|00.15|-00.5|10|00.15|0																													
110206022	ShakeCamera	4|00.3|-00.75|10|00.15|0																													
110206032	ShakeCamera	2|00.25|-00.75|10|00.2|0																													
110207012	ShakeCamera	3|00.15|-00.5|10|00.15|0																													
110207022	ShakeCamera	4|00.3|-00.75|10|00.15|0																													
110207032	ShakeCamera	2|00.25|-00.75|10|00.2|0																													
110211012	ShakeCamera	5|00.08|-1|10|00.1|5																													
110212012	ShakeCamera	5|00.08|-1|10|00.1|5																													
110213012	ShakeCamera	5|00.08|-1|10|00.1|5																													
110223012	ShakeCamera	5|00.08|-1|10|00.1|5																													
110224252	ShakeCamera	2|00.3|-1.25|10|00.2|0																													
110225252	ShakeCamera	3|00.3|-1.25|10|00.2|2																													
110225262	ShakeCamera	2|00.3|-1.25|10|00.2|2																													
110226252	ShakeCamera	3|00.3|-1.25|10|00.2|3																													
110226262	ShakeCamera	3|00.3|-1.25|10|00.2|4																													
110227252	ShakeCamera	3|00.3|-1.25|10|00.2|5																													
110227262	ShakeCamera	2|00.3|-1.25|10|00.2|6																													
110229012	ShakeCamera	3|00.15|-00.5|10|00.15|0																													
