Info	Key	X	Y
12021103	PB1	2969	3362
12021103	S1	2969	3518
12021103	B101	2663	3887
12021103	B102	3290	3887
12021103	B103	2843	4199
12021103	B104	3071	4199
12021103	JS	2970	4424
12021002	PB1	1608	2501
12021002	S1	1608	2637
12021002	B101	1603	3085
12021002	B102	1457	2953
12021002	B103	1773	2958
12021002	S2	1933	3639
12021002	B201	1773	4053
12021002	B202	2118	4062
12021002	B203	1860	4656
12021002	B204	2006	4656
12021002	JS	1480	4802
10020403	PB1	3044	2578
10020403	PB2	0	0
10020403	PB3	0	0
10020403	PB4	0	0
10020403	PB5	0	0
10020403	B201	3043	3888
10020403	B112	1749	4461
10020403	B113	1926	4463
10020403	S1	3054	2411
10020403	B102	2737	2968
10020403	B202	1780	3830
10020403	B203	1974	3822
10020403	S2	3054	2408
10020403	B103	3298	2972
10020403	B302	1747	3472
10020403	B303	2038	3469
10020403	B304	1828	3561
10020403	B305	1957	3564
10020403	S3	3051	2411
10020403	S4	3056	2411
10020403	B101	3026	3003
10020403	B402	1727	2954
10020403	B403	1567	2961
10020403	B404	1649	2895
10020403	S5	3048	2780
10020403	B501	2764	4000
10020403	B502	3273	3604
10020403	B503	1483	2569
10020403	B504	1761	2569
10020403	CCJT1	2483	3121
10020403	CCJT2	3456	3116
30150164	PB1	2967	2500
30150164	S1	2971	2600
30150164	S2	2977	3000
30150164	S3	2974	3200
30150164	B101	2904	3000
30150164	B102	3053	3000
30150164	B103	2810	3100
30150164	B104	3152	3100
30150164	B201	2898	3400
30150164	B202	3058	3400
30150164	B203	2817	3500
30150164	B204	3152	3500
30150164	B301	2900	3911
30150164	B302	3055	3909
30150164	B303	2820	4003
30150164	B304	3152	3994
30150191	PB1	2978	3458
30150191	S1	2982	3769
30150191	B101	2985	4142
30150191	B102	2982	3969
30150182	PB1	2939	2800
30150182	S1	2941	3000
30150182	S2	2946	3600
30150182	B101	2813	3300
30150182	B102	3079	3300
30150182	B201	2849	3900
30150182	B202	3036	3900
