Info	Key	X	Y
10100110	PB1	9863	4969
10100110	B101	9984	2585
10100110	S1	10002	4446
10100110	ZG01	8904	3982
10100110	ZG02	11080	3972
10100110	LengJingLeft	10664	5087
10100110	LengJingRight	9246	5087
10100110	DangBanLeft	9463	4534
10100110	DangBanRight	10500	4733
10100110	HeartPoint	9940	4266
10100110	LengJingLeftS1	10531	5374
10100110	LengJingRightS1	9176	4937
10100110	LengJingmubiao	10321	4328
10100110	ZG03	11151	4081
10100110	ZG04	8798	4066
10100110	MS01	9977	5130
10100110	PB2	9981	5555
10100110	ZG05	8615	5643
10100110	ZG06	11339	5705
10100110	ZG07	8613	5397
10100110	ZG08	11344	5437
10100110	LipPoint01	9860	4855
10100110	LipPoint02	10084	4855
10100110	End1	9064	4776
12100301	PB1	9990	870
12100301	S1	9990	1471
12100301	B101	9854	2212
12100301	B102	10097	2212
12100301	S2	9990	1870
12100301	B201	9785	2946
12100301	B202	10190	2940
12100301	JS	9990	3553
