Info	Key	X	Y
	PB1	3387	2656
	S1	2767	2662
	B101	1574	2649
10110203	PB1	4246	2976
10110203	S1	3717	2971
10110203	B101	3217	3479
10110203	B102	3211	2457
10110203	S11	3624	3477
10110203	S12	3614	2442
10110203	B201	2862	2929
10110203	B202	1513	2633
10110203	S2	1252	2628
11110103	PB1	4623	2912
11110103	S1	4034	2912
11110103	B101	3845	3553
11110103	B102	3834	2291
11110103	B103	3571	2912
11110103	B201	3697	3543
11110103	B202	3666	2291
11110103	B203	3403	2670
11110103	B204	3403	3175
11110103	B301	3750	2438
11110103	B302	3771	3385
11110103	B303	3434	2912
30150258	PB1	2680	2690
30150258	S1	2275	2690
30150258	B101	1628	2685
30150258	B201	2974	2756
30150258	B202	2997	2673
30150258	B102	1526	2688
30150258	PB2	2499	2687
30150258	ZX1	3051	2802
30150191	PB1	3500	2770
30150191	S1	3300	2770
30150191	B101	2700	2770
30150259	PB1	3211	2642
30150259	S1	2470	2649
30150259	B101	1500	2832
99920076	PB1	5551	2794
99920076	S1	5286	2783
99920076	S2	5028	2790
99920076	S3	4805	2790
99920076	B101	4468	2921
99920076	B102	4465	2585
99920076	B103	4472	3109
99920076	B104	4465	2415
99920076	B201	3430	3109
99920076	B202	3430	3286
99920076	B203	3437	2461
99920076	B204	3438	2298
99920076	B301	2850	2995
99920076	B302	2850	2815
99920076	B303	2850	2641
99920076	B304	2850	2472
14010231	PB1	5000	2800
14010231	S1	4700	2800
14010231	S2	3900	2800
14010231	B101	4000	2800
14010231	B102	3900	2400
14010231	B103	3900	3200
14010231	B201	3200	2900
14010231	B202	3200	2700
14010231	JS	3700	2800
14010231	JS1	2400	2800
80008350	PB1	3211	2642
80008350	S1	2470	2649
80008350	B101	1500	2832
80008350	B102	844	2832
99920072	PB1	4335	2785
99920072	B101	2922	2838
99920072	S1	3544	2822
99920072	T101	3244	2822
12110304	PB1	2726	2637
12110304	S1	2223	2634
12110304	B101	1636	2655
12110304	ZX1	3056	2802
12110304	JS	3056	2802
99980001	PB1	3104	2575
99980001	B101	2758	2725
99980001	B102	2785	2415
99980001	B103	3090	2935
99980001	B104	3113	2215
99980001	B105	3455	2780
99980001	B106	3451	2411
99920015	PB1	4195	2748
99920015	PB2	4306	2937
99920015	PB3	4310	2560
99920015	ZX1	2096	2783
99920015	B101	3209	2801
99920015	B1	3408	2797
95000129	PB1	4385	2683
95000129	S1	2875	2703
12110204	PB1	2726	2637
12110204	S1	2223	2634
12110204	B101	1636	2655
12110204	ZX1	3056	2802
12110204	JS	1636	2655
99920088	PB1	4335	2785
99920088	B101	2922	2838
99920088	S1	3544	2822
99920088	B102	3061	3188
99920088	B103	3065	2529
99920088	B104	3206	2402
99920088	B105	3206	3266
99920088	ZX1	2950	2820
31150209	PB1	2726	2637
31150209	S1	2223	2634
31150209	B101	1636	2655
31150209	ZX1	3056	2802
31150209	JS	1636	2655
11110101	PB1	4162	3986
11110101	S1	4841	3992
11110101	B101	4567	3708
11110101	B102	4564	4256
11110101	B103	4663	3995
11110101	B111	5191	3722
11110101	B112	5186	4264
11110101	B113	5015	3992
11110101	B201	4646	4539
11110101	B202	5067	4539
11110101	S2	4866	4470
11110101	B211	4635	3436
11110101	B212	5023	3442
11110101	S3	4841	3500
11110101	Ready	4337	5654
11110101	PB2	5466	3997
11110204	PB1	2726	2637
11110204	S1	2223	2634
11110204	B101	1636	2655
11110204	ZX1	3056	2802
10110204	PB1	2680	2690
10110204	S1	2275	2690
10110204	B101	1628	2685
10110204	B201	2974	2756
10110204	B202	2997	2673
10110204	B102	1526	2688
10110204	PB2	2499	2687
10110204	ZX1	3051	2802
