Info	Key	X	Y
99920078	PB1	3720	6853
99920078	S1	3712	6631
99920078	S2	3678	6397
99920078	B101	3500	6521
99920078	B102	3836	6511
99920078	B103	3347	6377
99920078	B104	4039	6382
99920078	B201	3520	4766
99920078	B202	3970	4746
99920078	B203	3357	4563
99920078	B204	4202	4533
10130107	PB1	3843	391
10130107	B101	3880	2415
10130107	S1	3839	1319
10130107	B102	3650	2675
10130107	B103	4079	2652
10130107	B201	4063	3349
10130107	B202	3826	3134
10130107	B203	3994	3724
10130107	S2	4484	3142
10130107	B301	3638	6810
10130107	B302	3255	6963
10130107	B303	4148	6955
10130107	S3	3701	6400
10130107	S4	1370	3577
10130107	B401	1079	3577
10130107	B402	952	3823
10130107	B403	897	3359
10130107	YS1	3552	2462
10130107	YS2	3065	6729
10130107	KZT1	3701	2768
10130107	KZT2	3762	3778
10130107	DTKZ1	2997	2266
10130107	DTKZ2	1650	3994
99920030	PB1	3748	4641
99920030	S1	3747	4434
99920030	A101	3010	4222
99920030	A102	3011	4149
99920030	A103	3085	4224
99920030	A104	3090	4147
99920030	A201	3327	3898
99920030	A202	3409	3895
99920030	A203	3329	3813
99920030	A204	3409	3813
99920030	A301	3684	3617
99920030	A302	3764	3615
99920030	A304	3686	3531
99920030	A401	4094	3789
99920030	A402	3999	3786
99920030	A403	3997	3898
99920030	A404	4084	3900
99920030	A501	4274	4129
99920030	A502	4276	4198
99920030	A503	4372	4194
99920030	A504	4370	4119
99920030	A601	3003	3646
99920030	A602	3068	3646
99920030	A603	3003	3555
99920030	A604	3082	3552
99920030	A701	4319	3640
99920030	A702	4404	3643
99920030	A703	4327	3558
99920030	A704	4417	3551
99920030	A303	3769	3523
99920077	PB1	3709	4559
99920077	S1	3713	4148
99920077	B101	3709	3490
99920079	PB1	6868	6765
99920079	S1	6868	6583
99920079	B101	6658	5939
99920079	B102	7050	5939
99920079	B103	6567	5743
99920079	B104	7267	5729
99920079	JS	6938	4956
99920053	PB1	3852	2058
99920053	S1	3840	2218
99920053	B101	3636	2714
99920053	B102	4052	2716
30140050	PB1	6910	5676
30140050	S1	6918	6051
30140050	B101	6709	6210
30140050	B102	7127	6210
30140050	B103	6810	6377
30140050	B104	7008	6377
30140050	B105	6918	6348
30140050	B106	6922	6188
10130110	PB1	450	3562
10130110	B101	3686	3496
10130110	S1	2937	3549
10130110	B102	3972	3652
10130110	B103	3967	3281
10130110	B201	5213	4236
10130110	B202	5441	4233
10130110	S2	5340	3996
10130110	B301	6867	5801
10130110	B302	6879	5525
10130110	S3	6500	5545
10130110	S4	7006	3956
10130110	B401	6983	3512
10130110	B402	6817	3294
10130110	B403	7133	3274
10130110	C1	3693	3782
10130110	DT1	5048	2999
10130110	DTKZ2	1652	3994
10130110	GRQKZ	7277	3410
10130110	C2	4537	5198
30140051	PB1	3190	6532
30140051	S1	3604	6532
30140051	B101	3791	6705
30140051	B102	3796	6355
30140051	B103	3934	6606
30140051	B104	3944	6424
30140051	B105	3914	6523
30140051	B106	3761	6527
30140052	PB1	826	3596
30140052	S1	826	3597
30140052	B101	645	4008
30140052	B102	978	4008
30140052	B103	725	4130
30140052	B104	905	4134
30140052	B105	819	4103
30140052	B106	819	3941
