Info	Key	X	Y
30090103	PB1	7665	1783
30090103	B101	8082	2542
30090103	S1	8427	3697
30090103	JD1	8304	1761
30090103	B102	8598	2569
30090103	B202	6784	2138
30090103	B201	6798	1602
30090103	B301	6897	1721
30090103	B302	6917	2277
30090103	B401	8016	2873
30090103	B402	8598	2840
30090103	S2	8287	1748
30090103	S3	8267	1787
30090103	S4	8274	1774
14020812	PB1	1671	2063
14020812	S1	2993	2063
14020812	B101	6518	2034
14020812	JS	5287	2031
14010123	PB1	8200	2780
14010123	S1	8200	2500
14010123	B101	8100	2300
14010123	B102	8300	2300
14010123	JS	8200	1900
30150193	PB1	3150	2050
30150193	S1	2800	2050
30150193	B101	2200	2050
30090104	PB1	7665	1783
30090104	B101	8082	2542
30090104	S1	8368	1715
30090104	JD1	8304	1761
30090104	B102	8598	2569
30090104	B202	6784	2138
30090104	B201	6798	1602
30090104	B301	6897	1721
30090104	B302	6917	2277
30090104	B401	8016	2873
30090104	B402	8598	2840
30090104	S2	8287	1748
30090104	S3	8267	1787
30090104	S4	8274	1774
30150170	PB1	6820	2080
30150170	S1	6600	2080
30150170	S2	6000	2080
30150170	S3	5000	2080
30150170	B101	6200	2180
30150170	B102	6200	1980
30150170	B103	6100	2300
30150170	B104	6100	1860
30150170	B201	5400	2300
30150170	B202	5300	2080
30150170	B203	5400	1860
30150170	B301	4800	2300
30150170	B302	4600	2080
30150170	B303	4800	1860
30090301	PB1	8312	3309
30090301	S2	7113	2005
30090301	B201	6744	2007
30090301	B202	6474	1772
30090301	B203	6481	2249
30090301	S3	6339	1985
30090301	B401	4340	2071
30090301	S4	5208	2071
30090301	S1	8296	2961
30090301	B101	8117	2433
30090301	B102	7975	2220
30090301	B103	8252	2199
30090301	B301	5464	2213
30090301	B302	5464	1872
30090301	B402	3970	2234
30090301	B403	3963	1978
14020811	PB1	1005	2105
14020811	S1	1329	2105
14020811	B101	2079	2316
14020811	B102	2082	1946
14020811	B103	2571	2698
14020811	B104	2597	1641
14020811	JS	3188	2125
14020814	PB1	8194	1957
14020814	S1	8189	2422
14020814	B101	8197	2784
14020814	B102	7903	2426
14020814	B103	8458	2426
14020814	JS	8200	3230
14020814	B201	8029	2968
14020814	B202	8339	2968
14020814	S2	8187	2507
30090101	PB1	8312	3309
30090101	S2	7113	2005
30090101	B201	6744	2007
30090101	B202	6557	1865
30090101	B203	6571	2153
30090101	S3	6339	1985
30090101	B401	2556	2051
30090101	S4	3141	2022
30090101	S1	8296	2961
30090101	B101	8117	2433
30090101	B102	7975	2220
30090101	B103	8252	2199
30090101	B301	4557	2127
30090101	B302	4568	1943
30090101	B402	2398	2296
30090101	B403	2382	1807
31150104	PB1	2778	2077
31150104	S1	2402	2077
31150104	B101	2230	2262
31150104	B102	2234	1900
31150104	B103	2100	2163
31150104	B104	2105	2008
99980008	PB1	6487	2054
99980008	S1	5885	2024
99980008	B101	5290	2054
99980008	B102	5077	2261
99980008	B103	5095	1817
30150185	PB1	8250	3450
30150185	S1	8250	3200
30150185	S2	8250	2500
30150185	B101	8250	2800
30150185	B102	8000	2700
30150185	B103	8500	2700
30150185	B201	8250	2200
30150185	B202	8000	2100
30150185	B203	8500	2100
