Info	Key	X	Y
80020302	PB1	500	500
80020302	Battle01	2000	2000
80020302	Battle02	3500	3500
80020302	Battle03	5000	5000
80020302	Battle04	6500	6500
80020302	Boss	10043	10372
80020301	PB1	8153	7016
80020301	Battle01	2000	2000
80020301	Battle02	3500	3500
80020301	Battle03	5000	5000
80020301	Battle04	6500	6500
80020301	Boss	8460	11537
80020301	Area1	10961	8215
80020301	Area2	8199	10321
80020301	Area3	6315	8068
80020301	Area4	6594	9764
80020301	Area5	9796	9729
80020301	Area401	5586	10679
80020301	Area402	5342	10336
80020301	Area403	5898	10857
80020301	Area301	4979	8688
80020301	Area302	5005	7928
80020301	Area303	5582	8308
80020301	Area304	5573	8035
80020301	Area404	5814	10060
80020301	Area405	6099	10313
80020301	Area406	6326	10546
80020301	Area407	5535	10280
80020301	Area408	5911	10591
80020301	Area409	6210	10792
80020301	Area410	7033	10364
80020301	Area101	11901	8617
80020301	Area102	12856	8060
80020301	Area103	11963	7689
80020301	Area501	10297	10347
80020301	Area502	11324	9908
80020301	Area503	11155	11005
80020301	Area504	12621	10297
80020301	Area505	12052	11065
80020301	Area506	12282	9838
80020301	Area507	11135	9429
80020301	Area508	10397	11005
80020301	End	12880	10796
80020301	Area104	12203	8116
80020301	Area111	12731	8419
80020301	Area112	12544	8163
80020301	Area113	12676	7821
80020301	Area114	12211	8365
80020301	Area115	12340	7874
80020301	Area116	11882	8313
80020301	Area117	12154	8107
80020301	Area118	12018	7886
80020301	Box	8157	7378
80020301	Area150	10998	7110
80020301	Area151	12242	6861
