Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
20010001	20010001	剑圣			0.15		15	11	9	200100010			0|0|0			0|0|0		
20010002	20010002	提法			0.15		15	22	9	200100020			0|0|0			0|0|0		
20010003	20010003	狗头			0.15		15	25	12	200100030			0|0|0			0|0|0		
20010004	20010004	修女			0.15		15	33	12	200100040			0|0|0			0|0|0		
20010005	20010005	剑圣			0.15		15	11	9	200100050			0|0|0			0|0|0		
20010006	20010006	提法			0.15		15	22	9	200100060			0|0|0			0|0|0		
20010007	20010007	狗头			0.15		15	25	12	200100070			0|0|0			0|0|0		
20010008	20010008	修女			0.15		15	33	12	200100080			0|0|0			0|0|0		
20010011	20010011	小怪1			0.15		15	65	9	200100110			0|0|0			0|0|0		
20010012	20010012	小怪2			0.15		15	22	9	200100120			0|0|0			0|0|0		
20010013	20010013	小怪3			0.15		15	77	9	200100130			0|0|0			0|0|0		
20010014	20010014	小怪4			0.15		15	77	9	200100140			0|0|0			0|0|0		
20010015	20010015	小怪1			0.15		15	65	9	200100150			0|0|0			0|0|0		
20010016	20010016	小怪2			0.15		15	22	9	200100160			0|0|0			0|0|0		
20010017	20010017	小怪3			0.15		15	77	9	200100170			0|0|0			0|0|0		
20010018	20010018	小怪4			0.15		15	77	9	200100180			0|0|0			0|0|0		
20010019	20010019	火焰地带			0.15		15	11	9	200100190			0|0|0			0|0|0		
20010020	20010020	生死时速			0.15		15	11	9	200100200			0|0|0			0|0|0		
20010021	20010021	联机华胥			0.15		15	11	9	200100210			0|0|0			0|0|0		
20010022	20010022	联机加百列			0.15		15	11	9	200100220			0|0|0			0|0|0		
20010023	20010023	联机人马天劫雷火			0.15		15	41	12	200100230			0|0|0			0|0|0		
20010024	20010024	欧西里斯2难度简单			0.15		15	25	12	200100240			0|0|0			0|0|0		
20010025	20010025	火焰地带（镜像）			0.15		15	11	9	200100250			0|0|0			0|0|0		
20010026	20010026	生死时速（镜像）			0.15		15	11	9	200100260			0|0|0			0|0|0		
20010027	20010027	联机华胥（镜像）			0.15		15	11	9	200100270			0|0|0			0|0|0		
20010028	20010028	联机加百列（镜像）			0.15		15	11	9	200100280			0|0|0			0|0|0		
20010029	20010029	联机5人马天劫雷火（镜像）			0.15		15	41	12	200100290			0|0|0			0|0|0		
20010030	20010030	欧西里斯2难度简单（镜像）			0.15		15	25	12	200100300			0|0|0			0|0|0		
20010031	20010031	火焰地带（镜像）			0.15		15	11	9	200100310			0|0|0			0|0|0		
20010032	20010032	生死时速（镜像）			0.15		15	11	9	200100320			0|0|0			0|0|0		
20010033	20010033	联机华胥（镜像）			0.15		15	11	9	200100330			0|0|0			0|0|0		
20010034	20010034	联机加百列（镜像）			0.15		15	11	9	200100340			0|0|0			0|0|0		
20010035	20010035	联机5人马天劫雷火（镜像）			0.15		15	41	12	200100350			0|0|0			0|0|0		
20010036	20010036	欧西里斯2难度简单（镜像）			0.15		15	25	12	200100360			0|0|0			0|0|0		
20010037	20010037	火焰地带（镜像）			0.15		15	11	9	200100370			0|0|0			0|0|0		
20010038	20010038	生死时速（镜像）			0.15		15	11	9	200100380			0|0|0			0|0|0		
20010039	20010039	联机华胥（镜像）			0.15		15	11	9	200100390			0|0|0			0|0|0		
20010040	20010040	联机加百列（镜像）			0.15		15	11	9	200100400			0|0|0			0|0|0		
20010041	20010041	联机5人马天劫雷火（镜像）			0.15		15	41	12	200100410			0|0|0			0|0|0		
20010042	20010042	欧西里斯2难度简单（镜像）			0.15		15	25	12	200100420			0|0|0			0|0|0		
