Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
99960001	99960001	老版本关卡行为树			0.15		15	1	9	999600010			0|0|0			0|0|0		
99960002	99960002	行为树教学关			0.15		15	25	9	999600020			0|0|0			0|0|0		
99960003	99960003	木桩测试关			0.15		15	25	9	999600030			0|0|0			0|0|0		
99960004	99960004	无限塔测试			0.15		15	1	9	999600040			0|0|0			0|0|0		
99960005	99960005	炮台测试关			0.15		15	1	9	999600050			0|0|0			0|0|0		
99960006	99960006	绕圈测试关			0.15		15	1	9	999600060			0|0|0			0|0|0		
99960007	99960007	运营关1			0.15		15	1	9	999600070			0|0|0			0|0|0		
99960008	99960008	运营关2			0.15		15	1	9	999600080			0|0|0			0|0|0		
99960011	99960011	桥1			0.15		15	43	9	999600110			0|0|0			0|0|0		
99960012	99960012	震屏测试关			0.15		15	1	9	999600120			0|0|0			0|0|0		
10120106	10120106	天花板下压			0.15		15	11	9	101201060			0|0|0			0|0|0		
10120107	10120107	滚球铁网			0.15		15	11	9	101201070			0|0|0			0|0|0		
10120125	10120125	曲			0.15		15	11	15	101201250			0|0|0			0|0|0		
11120104	11120104	三头犬守城			0.15		15	11	9	111201040			0|0|0			0|0|0		
11120107	11120107	加百列			0.15		15	11	10	111201070			0|0|0			0|0|0		
10130152	10130152	准备过冬			0.15		15	6	9	101301520			0|0|0			0|0|0		
