Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
13010115	13010115	【剧情】-熄灭的灯火【战斗】			0.15		15	1	9	130101150			0|0|0			0|0|0		
13010116	13010116	【剧情】-重生红莲【战斗】【彩蛋】			0.15		15	1	9	130101160			0|0|0			0|0|0		
13010214	13010214	【剧情】-灰姑娘的战场【战斗】【彩蛋】			0.15		15	30	9	130102140			0|0|0			0|0|0		
13010216	13010216	【剧情】-泯灭与重生【战斗】			0.15		15	1	9	130102160			0|0|0			0|0|0		
13010314	13010314	【剧情】-某日的病变【战斗】			0.15		15	1	9	130103140			0|0|0			0|0|0		
13010316	13010316	【剧情】-某日的失去【战斗】【彩蛋】			0.15		15	73	9	130103160			0|0|0			0|0|0		
13010412	13010412	【剧情】-凋零的双生子【战斗】			0.15		15	1	9	130104120			0|0|0			0|0|0		
13010415	13010415	【剧情】-选择题【战斗】【彩蛋】			0.15		15	28	9	130104150			0|0|0			0|0|0		
13010514	13010514	【剧情】-突变【战斗】【彩蛋前置】			0.15		15	1	9	130105140			0|0|0			0|0|0		
13010516	13010516	【剧情】-蛰伏成蛹【战斗】【彩蛋】			0.15		15	1	9	130105160			0|0|0			0|0|0		
13010614	13010614	【剧情】-枪口之下【战斗】			0.15		15	29	9	130106140			0|0|0			0|0|0		
13010615	13010615	【剧情】-拯救行动【战斗】【彩蛋】			0.15		15	29	9	130106150			0|0|0			0|0|0		
13010715	13010715	【剧情】-信仰与坚持【战斗】			0.15		15	29	9	130107150			0|0|0			0|0|0		
13010716	13010716	【剧情】-血色信仰【战斗】【彩蛋】			0.15		15	29	9	130107160			0|0|0			0|0|0		
13010814	13010814	【剧情】-厮杀【战斗】			0.15		15	11	9	130108140			0|0|0			0|0|0		
13010815	13010815	【剧情】-人类的命令【战斗】【彩蛋】			0.15		15	11	9	130108150			0|0|0			0|0|0		
