Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
13011312	13011312	【剧情】-托比托孤【战斗】			0.15		15	1	9	130113120			0|0|0			0|0|0		
13011315	13011315	【剧情】-幕后黑手【战斗】【彩蛋】			0.15		15	1	9	130113150			0|0|0			0|0|0		
13011414	13011414	【剧情】-惊梦【战斗】【彩蛋】	Scene01001b	Test	0.15		15	63	9	130114140			0|0|0			0|0|0		
13011416	13011416	【剧情】-女王【战斗】【彩蛋】			0.15		15	11	9	130114160			0|0|0			0|0|0		
13011515	13011515	【剧情】-陷入【战斗】【彩蛋】			0.15		15	1	9	130115150			0|0|0			0|0|0		
13011516	13011516	【剧情】-又见神庙【战斗】【彩蛋】			0.15		15	1	9	130115160			0|0|0			0|0|0		
13011614	13011614	【剧情】-α【战斗】			0.15		15	1	9	130116140			0|0|0			0|0|0		
13011615	13011615	【剧情】-意志双剑【战斗】			0.15	1	15	25	9	130116150			0|0|0			0|0|0		
13011713	13011713	【剧情】-撤离【战斗】			0.15		15	1	9	130117130			0|0|0			0|0|0		
13011716	13011716	【剧情】-在苦闷之间【战斗】【彩蛋】			0.15		15	1	9	130117160			0|0|0			0|0|0		
13011814	13011814	【剧情】-焚毁【战斗】【彩蛋】			0.15		15	1	9	130118140			0|0|0			0|0|0		
13011816	13011816	【剧情】-复仇者【战斗】			0.15		15	1	9	130118160			0|0|0			0|0|0		
