Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
30190010	30190010	[公会BOSS]-罗塞塔			0.15		15	41	10	301900100			0|0|0			0|0|0		
30190020	30190020	[公会BOSS]-华胥			0.15		15	11	10	301900200			0|0|0			0|0|0		
30190030	30190030	[公会BOSS]-加百列			0.15		15	11	10	301900300			0|0|0			0|0|0		
30190040	30190040	[公会BOSS]-剑圣			0.15		15	25	10	301900400			0|0|0			0|0|0		
30190050	30190050	[公会BOSS]-孤儿			0.15		15	25	11	301900500			0|0|0			0|0|0		
30190060	30190060	[公会BOSS]-罗兰			0.15		15	1	10	301900600			0|0|0			0|0|0		
30190070	30190070	[公会BOSS]-提法			0.15		15	25	11	301900700			0|0|0			0|0|0		
30190080	30190080	[公会BOSS]-阿尔法			0.15		15	1	10	301900800			0|0|0			0|0|0		
30190090	30190090	[公会BOSS]-沙虫			0.15		15	1	11	301900900			0|0|0			0|0|0		
30190100	30190100	[公会BOSS]-蔷薇之剑			0.15		15	1	10	301901000			0|0|0			0|0|0		
30190110	30190110	[公会BOSS]-卡穆			0.15		15	77	10	301901100			0|0|0			0|0|0		
30190011	30190011	[公会BOSS]-复用罗塞塔			0.15		15	41	10	301900110			0|0|0			0|0|0		
30190012	30190012	[公会BOSS]-复用罗塞塔			0.15		15	41	10	301900120			0|0|0			0|0|0		
30190013	30190013	[公会BOSS]-复用罗塞塔			0.15		15	41	10	301900130			0|0|0			0|0|0		
30190014	30190014	[公会BOSS]-复用罗塞塔			0.15		15	41	10	301900140			0|0|0			0|0|0		
30190015	30190015	[公会BOSS]-复用罗塞塔			0.15		15	41	10	301900150			0|0|0			0|0|0		
30190021	30190021	[公会BOSS]-复用华胥			0.15		15	11	10	301900210			0|0|0			0|0|0		
30190022	30190022	[公会BOSS]-复用华胥			0.15		15	11	10	301900220			0|0|0			0|0|0		
30190023	30190023	[公会BOSS]-复用华胥			0.15		15	11	10	301900230			0|0|0			0|0|0		
30190024	30190024	[公会BOSS]-复用华胥			0.15		15	11	10	301900240			0|0|0			0|0|0		
30190025	30190025	[公会BOSS]-复用华胥			0.15		15	11	10	301900250			0|0|0			0|0|0		
30190031	30190031	[公会BOSS]-复用加百列			0.15		15	11	10	301900310			0|0|0			0|0|0		
30190032	30190032	[公会BOSS]-复用加百列			0.15		15	11	10	301900320			0|0|0			0|0|0		
30190033	30190033	[公会BOSS]-复用加百列			0.15		15	11	10	301900330			0|0|0			0|0|0		
