Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
14010111	14010111	占城区域一0101			0.15		15	1	9	140101110			0|0|0			0|0|0		
14010112	14010112	占城区域一0102			0.15		15	1	9	140101120			0|0|0			0|0|0		
14010113	14010113	占城区域一0103			0.15		15	1	9	140101130			0|0|0			0|0|0		
14010121	14010121	占城区域一0201			0.15		15	43	9	140101210			0|0|0			0|0|0		
14010122	14010122	占城区域一0202			0.15		15	43	9	140101220			0|0|0			0|0|0		
14010123	14010123	占城区域一0203			0.15		15	43	9	140101230			0|0|0			0|0|0		
14010131	14010131	占城区域一0301			0.15		15	1	9	140101310			0|0|0			0|0|0		
14010132	14010132	占城区域一0302			0.15		15	1	9	140101320			0|0|0			0|0|0		
14010133	14010133	占城区域一0303			0.15		15	1	9	140101330			0|0|0			0|0|0		
14010211	14010211	占城区域二0101			0.15		15	11	9	140102110			0|0|0			0|0|0		
14010212	14010212	占城区域二0102			0.15		15	11	9	140102120			0|0|0			0|0|0		
14010213	14010213	占城区域二0103			0.15		15	11	9	140102130			0|0|0			0|0|0		
14010221	14010221	占城区域二0201			0.15		15	11	9	140102210			0|0|0			0|0|0		
14010222	14010222	占城区域二0202			0.15		15	11	9	140102220			0|0|0			0|0|0		
14010223	14010223	占城区域二0203			0.15		15	11	9	140102230			0|0|0			0|0|0		
14010231	14010231	占城区域二0301			0.15		15	11	9	140102310			0|0|0			0|0|0		
14010232	14010232	占城区域二0302			0.15		15	11	9	140102320			0|0|0			0|0|0		
14010233	14010233	占城区域二0303			0.15		15	11	9	140102330			0|0|0			0|0|0		
14010234	14010234	占城区域二0304			0.15		15	11	9	140102340			0|0|0			0|0|0		
14010311	14010311	占城区域三0101			0.15		15	4	9	140103110			0|0|0			0|0|0		
14010312	14010312	占城区域三0102			0.15		15	4	9	140103120			0|0|0			0|0|0		
14010313	14010313	占城区域三0103			0.15		15	4	9	140103130			0|0|0			0|0|0		
14010321	14010321	占城区域三0201			0.15		15	1	9	140103210			0|0|0			0|0|0		
14010322	14010322	占城区域三0202			0.15		15	1	9	140103220			0|0|0			0|0|0		
14010323	14010323	占城区域三0203			0.15		15	1	9	140103230			0|0|0			0|0|0		
14010331	14010331	占城区域三0301			0.15		15	1	9	140103310			0|0|0			0|0|0		
14010332	14010332	占城区域三0302			0.15		15	1	9	140103320			0|0|0			0|0|0		
14010333	14010333	占城区域三0303			0.15		15	1	9	140103330			0|0|0			0|0|0		
14010334	14010334	占城区域三0304			0.15		15	1	9	140103340			0|0|0			0|0|0		
14010411	14010411	占城区域四0101			0.15		15	4	9	140104110			0|0|0			0|0|0		
14010412	14010412	占城区域四0102			0.15		15	4	9	140104120			0|0|0			0|0|0		
14010413	14010413	占城区域四0103			0.15		15	4	9	140104130			0|0|0			0|0|0		
14010421	14010421	占城区域四0201			0.15		15	1	9	140104210			0|0|0			0|0|0		
14010422	14010422	占城区域四0202			0.15		15	1	9	140104220			0|0|0			0|0|0		
14010423	14010423	占城区域四0203			0.15		15	1	9	140104230			0|0|0			0|0|0		
14010424	14010424	占城区域四0204			0.15		15	1	9	140104240			0|0|0			0|0|0		
14010431	14010431	占城区域四0301			0.15		15	1	9	140104310			0|0|0			0|0|0		
14010432	14010432	占城区域四0302			0.15		15	1	9	140104320			0|0|0			0|0|0		
14010433	14010433	占城区域四0303			0.15		15	1	9	140104330			0|0|0			0|0|0		
14010434	14010434	占城区域四0304			0.15		15	1	9	140104340			0|0|0			0|0|0		
