Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
80010205	80010205	互动传送测试			0.15		15	26	9	800102050			0|0|0			0|0|0		
80010206	80010206	黑入-孤儿			0.15		15	1	9	800102060			0|0|0			0|0|0		
80010209	80010209	沙虫测试			0.15		15	10	9	800102090			0|0|0			0|0|0		
80010301	80010301	逃生-大电球			0.15		15	1	9	800103010			0|0|0			0|0|0		
80010302	80010302	行为类型测试			0.15		15	1	9	800103020			0|0|0			0|0|0		
80010303	80010303	行为类型测试			0.15		15	1	9	800103030			0|0|0			0|0|0		
80010401	80010401	竞技玩法测试-5			0.15		15	47	9	800104010			0|0|0			0|0|0		
80010402	80010402	竞技玩法测试-2			0.15		15	1	9	800104020			0|0|0			0|0|0		
80020101	80020101	控制孤儿测试			0.15		15	16	9	800201010			0|0|0			0|0|0		
80020102	80020102	自走棋测试			0.15		15	25	9	800201020			0|0|0			0|0|0		
80020200	80020200	大世界测试			0.15		15	1	9	800202000			0|0|0			0|0|0		
80020201	80020201	子战斗测试01-旋转棱镜			0.15		15	1	9	800202010			0|0|0			0|0|0		
80020202	80020202	子战斗测试02-boss			0.15		15	1	9	800202020			0|0|0			0|0|0		
80020203	80020203	子战斗测试03-黎明			0.15		15	1	9	800202030			0|0|0			0|0|0		
80020204	80020204	子战斗测试04-怪物			0.15		15	1	9	800202040			0|0|0			0|0|0		
80020205	80020205	子战斗测试05-潜行			0.15		15	1	9	800202050			0|0|0			0|0|0		
