Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
97900301	97900301				0.15		15	25	9	979003010			0|0|0			0|0|0		
97900302	97900302				0.15		15	25	9	979003020			0|0|0			0|0|0		
97900303	97900303				0.15		15	25	9	979003030			0|0|0			0|0|0		
97900304	97900304				0.15		15	25	9	979003040			0|0|0			0|0|0		
97900305	97900305				0.15		15	25	9	979003050			0|0|0			0|0|0		
97900306	97900306				0.15		15	25	9	979003060			0|0|0			0|0|0		
97900901	97900901				0.15		15	25	9	979009010			0|0|0			0|0|0		
97900902	97900902				0.15		15	25	9	979009020			0|0|0			0|0|0		
97901001	97901001				0.15		15	25	9	979010010			0|0|0			0|0|0		
97901002	97901002				0.15		15	25	9	979010020			0|0|0			0|0|0		
97901101	97901101				0.15		15	25	9	979011010			0|0|0			0|0|0		
97901102	97901102				0.15		15	25	9	979011020			0|0|0			0|0|0		
97901103	97901103				0.15		15	25	9	979011030			0|0|0			0|0|0		
97901201	97901201				0.15		15	25	9	979012010			0|0|0			0|0|0		
97901202	97901202				0.15		15	25	9	979012020			0|0|0			0|0|0		
97901203	97901203				0.15		15	25	9	979012030			0|0|0			0|0|0		
97901301	97901301				0.15		15	25	9	979013010			0|0|0			0|0|0		
97901302	97901302				0.15		15	25	9	979013020			0|0|0			0|0|0		
97901303	97901303				0.15		15	25	9	979013030			0|0|0			0|0|0		
97901304	97901304				0.15		15	25	9	979013040			0|0|0			0|0|0		
97901401	97901401				0.15		15	25	9	979014010			0|0|0			0|0|0		
97901402	97901402				0.15		15	25	9	979014020			0|0|0			0|0|0		
97901501	97901501				0.15		15	25	9	979015010			0|0|0			0|0|0		
97901502	97901502				0.15		15	25	9	979015020			0|0|0			0|0|0		
97901503	97901503				0.15		15	25	9	979015030			0|0|0			0|0|0		
97901504	97901504				0.15		15	25	9	979015040			0|0|0			0|0|0		
97901505	97901505				0.15		15	25	9	979015050			0|0|0			0|0|0		
97901601	97901601				0.15		15	25	9	979016010			0|0|0			0|0|0		
97901602	97901602				0.15		15	25	9	979016020			0|0|0			0|0|0		
97901701	97901701				0.15		15	25	9	979017010			0|0|0			0|0|0		
97901702	97901702				0.15		15	25	9	979017020			0|0|0			0|0|0		
97901703	97901703				0.15		15	25	9	979017030			0|0|0			0|0|0		
97901704	97901704				0.15		15	25	9	979017040			0|0|0			0|0|0		
97901705	97901705				0.15		15	25	9	979017050			0|0|0			0|0|0		
97901706	97901706				0.15		15	25	9	979017060			0|0|0			0|0|0		
97901801	97901801				0.15		15	25	9	979018010			0|0|0			0|0|0		
97901802	97901802				0.15		15	25	9	979018020			0|0|0			0|0|0		
97901803	97901803				0.15		15	25	9	979018030			0|0|0			0|0|0		
97901804	97901804				0.15		15	25	9	979018040			0|0|0			0|0|0		
97901901	97901901				0.15		15	25	9	979019010			0|0|0			0|0|0		
97901902	97901902				0.15		15	25	9	979019020			0|0|0			0|0|0		
97901903	97901903				0.15		15	25	9	979019030			0|0|0			0|0|0		
97901904	97901904				0.15		15	25	9	979019040			0|0|0			0|0|0		
97901905	97901905				0.15		15	25	9	979019050			0|0|0			0|0|0		
97901906	97901906				0.15		15	25	9	979019060			0|0|0			0|0|0		
97901907	97901907				0.15		15	25	9	979019070			0|0|0			0|0|0		
97901908	97901908				0.15		15	25	9	979019080			0|0|0			0|0|0		
97901909	97901909				0.15		15	25	9	979019090			0|0|0			0|0|0		
97901910	97901910				0.15		15	25	9	979019100			0|0|0			0|0|0		
97901911	97901911				0.15		15	25	9	979019110			0|0|0			0|0|0		
97901912	97901912				0.15		15	25	9	979019120			0|0|0			0|0|0		
97902001	97902001				0.15		15	25	9	979020010			0|0|0			0|0|0		
97902002	97902002				0.15		15	25	9	979020020			0|0|0			0|0|0		
97902003	97902003				0.15		15	25	9	979020030			0|0|0			0|0|0		
97902101	97902101				0.15		15	25	9	979021010			0|0|0			0|0|0		
97902102	97902102				0.15		15	25	9	979021020			0|0|0			0|0|0		
97902103	97902103				0.15		15	25	9	979021030			0|0|0			0|0|0		
97902104	97902104				0.15		15	25	9	979021040			0|0|0			0|0|0		
97902105	97902105				0.15		15	25	9	979021050			0|0|0			0|0|0		
97902106	97902106				0.15		15	25	9	979021060			0|0|0			0|0|0		
97902107	97902107				0.15		15	25	9	979021070			0|0|0			0|0|0		
97902108	97902108				0.15		15	25	9	979021080			0|0|0			0|0|0		
97902109	97902109				0.15		15	25	9	979021090			0|0|0			0|0|0		
97902110	97902110				0.15		15	25	9	979021100			0|0|0			0|0|0		
97902501	97902501				0.15		15	25	9	979025010			0|0|0			0|0|0		
97902502	97902502				0.15		15	25	9	979025020			0|0|0			0|0|0		
97902503	97902503				0.15		15	25	9	979025030			0|0|0			0|0|0		
97902504	97902504				0.15		15	25	9	979025040			0|0|0			0|0|0		
97902505	97902505				0.15		15	25	9	979025050			0|0|0			0|0|0		
97902506	97902506				0.15		15	25	9	979025060			0|0|0			0|0|0		
97902507	97902507				0.15		15	25	9	979025070			0|0|0			0|0|0		
97903601	97903601				0.15		15	25	9	979036010			0|0|0			0|0|0		
97903602	97903602				0.15		15	25	9	979036020			0|0|0			0|0|0		
97903603	97903603				0.15		15	25	9	979036030			0|0|0			0|0|0		
97903604	97903604				0.15		15	25	9	979036040			0|0|0			0|0|0		
97903605	97903605				0.15		15	25	9	979036050			0|0|0			0|0|0		
97903606	97903606				0.15		15	25	9	979036060			0|0|0			0|0|0		
97903607	97903607				0.15		15	25	9	979036070			0|0|0			0|0|0		
97903608	97903608				0.15		15	25	9	979036080			0|0|0			0|0|0		
97904201	97904201				0.15		15	25	9	979042010			0|0|0			0|0|0		
97904202	97904202				0.15		15	25	9	979042020			0|0|0			0|0|0		
97904203	97904203				0.15		15	25	9	979042030			0|0|0			0|0|0		
97904204	97904204				0.15		15	25	9	979042040			0|0|0			0|0|0		
97904205	97904205				0.15		15	25	9	979042050			0|0|0			0|0|0		
97904206	97904206				0.15		15	25	9	979042060			0|0|0			0|0|0		
97903501	97903501				0.15		15	25	9	979035010			0|0|0			0|0|0		
97903502	97903502				0.15		15	25	9	979035020			0|0|0			0|0|0		
97903503	97903503				0.15		15	25	9	979035030			0|0|0			0|0|0		
97903504	97903504				0.15		15	25	9	979035040			0|0|0			0|0|0		
97903505	97903505				0.15		15	25	9	979035050			0|0|0			0|0|0		
97903506	97903506				0.15		15	25	9	979035060			0|0|0			0|0|0		
97903507	97903507				0.15		15	25	9	979035070			0|0|0			0|0|0		
97903508	97903508				0.15		15	25	9	979035080			0|0|0			0|0|0		
97903509	97903509				0.15		15	25	9	979035090			0|0|0			0|0|0		
97903510	97903510				0.15		15	25	9	979035100			0|0|0			0|0|0		
97903511	97903511				0.15		15	25	9	979035110			0|0|0			0|0|0		
97903512	97903512				0.15		15	25	9	979035120			0|0|0			0|0|0		
97903513	97903513				0.15		15	25	9	979035130			0|0|0			0|0|0		
97904001	97904001				0.15		15	25	9	979040010			0|0|0			0|0|0		
97904002	97904002				0.15		15	25	9	979040020			0|0|0			0|0|0		
97904003	97904003				0.15		15	25	9	979040030			0|0|0			0|0|0		
97904004	97904004				0.15		15	25	9	979040040			0|0|0			0|0|0		
97904005	97904005				0.15		15	25	9	979040050			0|0|0			0|0|0		
97904006	97904006				0.15		15	25	9	979040060			0|0|0			0|0|0		
97904007	97904007				0.15		15	25	9	979040070			0|0|0			0|0|0		
97904008	97904008				0.15		15	25	9	979040080			0|0|0			0|0|0		
97904009	97904009				0.15		15	25	9	979040090			0|0|0			0|0|0		
97904010	97904010				0.15		15	25	9	979040100			0|0|0			0|0|0		
97904011	97904011				0.15		15	25	9	979040110			0|0|0			0|0|0		
97904012	97904012				0.15		15	25	9	979040120			0|0|0			0|0|0		
97904013	97904013				0.15		15	25	9	979040130			0|0|0			0|0|0		
97904101	97904101				0.15		15	25	9	979041010			0|0|0			0|0|0		
97904102	97904102				0.15		15	25	9	979041020			0|0|0			0|0|0		
97904103	97904103				0.15		15	25	9	979041030			0|0|0			0|0|0		
97904104	97904104				0.15		15	25	9	979041040			0|0|0			0|0|0		
97904105	97904105				0.15		15	25	9	979041050			0|0|0			0|0|0		
97904106	97904106				0.15		15	25	9	979041060			0|0|0			0|0|0		
97904107	97904107				0.15		15	25	9	979041070			0|0|0			0|0|0		
97904108	97904108				0.15		15	25	9	979041080			0|0|0			0|0|0		
97904109	97904109				0.15		15	25	9	979041090			0|0|0			0|0|0		
97904110	97904110				0.15		15	25	9	979041100			0|0|0			0|0|0		
97904401	97904401				0.15		15	25	9	979044010			0|0|0			0|0|0		
97904402	97904402				0.15		15	25	9	979044020			0|0|0			0|0|0		
97904403	97904403				0.15		15	25	9	979044030			0|0|0			0|0|0		
97904404	97904404				0.15		15	25	9	979044040			0|0|0			0|0|0		
97904405	97904405				0.15		15	25	9	979044050			0|0|0			0|0|0		
97904406	97904406				0.15		15	25	9	979044060			0|0|0			0|0|0		
97904407	97904407				0.15		15	25	9	979044070			0|0|0			0|0|0		
97904408	97904408				0.15		15	25	9	979044080			0|0|0			0|0|0		
97904409	97904409				0.15		15	25	9	979044090			0|0|0			0|0|0		
97904410	97904410				0.15		15	25	9	979044100			0|0|0			0|0|0		
97904411	97904411				0.15		15	25	9	979044110			0|0|0			0|0|0		
97904412	97904412				0.15		15	25	9	979044120			0|0|0			0|0|0		
97904413	97904413				0.15		15	25	9	979044130			0|0|0			0|0|0		
97904414	97904414				0.15		15	25	9	979044140			0|0|0			0|0|0		
97902201	97902201				0.15		15	25	9	979022010			0|0|0			0|0|0		
97902202	97902202				0.15		15	25	9	979022020			0|0|0			0|0|0		
97902203	97902203				0.15		15	25	9	979022030			0|0|0			0|0|0		
97902204	97902204				0.15		15	25	9	979022040			0|0|0			0|0|0		
