Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
15010160	Scene01302mtlxzm	10130105	PB1					B101												
15010161	Scene01302gscxzm	10130105	PB1					B101												
15010162	Scene01302rqq	10130112	PB1					B101												
15010163	Scene01303pt	10130106	PB1					B101												
150101060	Scene01302xzm	10130106	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
150101070	Scene01303xingzoumian	10130107	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
150101100	Scene01303xingzoumian	10130110	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
150101120	Scene01302xzm	10130112	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
150101140	Scene01302xzm	10130114	PB1	PB2	PB3	PB4	PB5	NPC1	S1	S1	S1	S1								
150101170	Scene01304	10130401	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
