Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
999190370	Scene00303a	90090001	PB1	PB1	PB1	PB1	PB1	B101	B101	B101	B101	B101								
999199010	Scene07004CH1	20010109	PB1	PB1	PB1	PB1	PB1	S3	B101	B101	B101	B101	AWM1				AWM11	AWM12		
999199020	Scene90101	99919917	PB1	PB1	PB1	PB1	PB1	B101	B101	B101	B101	B101								
999199030	SceneDLC00111	30130101	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199040	Scene07005	99940002	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199050	Scene01107	99919907	PB1	PB1	PB1	PB1	PB1	B101	B101	B101	B101	B101								
999199060	Scene00904a	10090101	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199070	Scene01204	99919907	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199080	Scene01101	10110102	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199090	Scene01203	10120008	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199100	Scene01007	10120113	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199110	Scene01203	11120103	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199120	Scene01203	10120111	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199130	Scene01203	11120103	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199140	Scene01100	10110100	PB3	PB2	PB3	PB4	PB5	S4	S1	S1	S1	S1								
999199150	Scene10002	99919917	PB1	PB1	PB1	PB1	PB1	B101	B101	B101	B101	B101								
999199160	Scene00101b	12020201	PB1	PB1	PB1	PB1	PB1	B101	B101	B101	B101	B101								
999199170	Scene07005	30050201	PB1	PB1	PB1	PB1	PB1	B101	B101	B101	B101	B101								
999199180	Scene07004	20010109	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199190	Scene07005	30070101	PB1	PB1	PB1	PB1	PB1	B101	B101	B101	B101	B101								
999199200	Scene01102a	10110104	PB1	PB1	PB1	PB1	PB1	S1	B101	B101	B101	B101								
999199210	Scene01006	11100104	PB1	PB1	PB1	PB1	PB1	C1	B101	B101	B101	B101								
