Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
301501010	Scene00502b	30150161	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501020	Scene00501a	30150162	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501030	Scene00501a	30150162	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501040	Scene00104b	30150164	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501050	Scene00402b	30150165	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501060	Scene00001a	30150166	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501070	Scene00103a	30150167	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501080	Scene00103a	30150168	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501090	Scene00203d	30150169	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501100	SceneDLC00104	30150170	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501110	SceneDLC00104	30150170	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501120	SceneDLC00104	30150170	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501130	Scene00401a	30150173	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501140	Scene00403a	30150174	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501150	Scene00503b	30150175	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501160	Scene00501d	30150176	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501170	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501180	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501190	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501200	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501210	Scene00501a	30150181	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501220	Scene00104b	30150182	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501230	Scene00001a	30150183	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501240	Scene00001a	30150184	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501250	SceneDLC00104	30150185	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501260	SceneDLC00104	30150185	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501270	Scene00403b	30150187	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501280	Scene00503b	30150188	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501290	Scene01104	30150129	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501300	Scene01104	30150129	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501310	Scene00403a	30150131	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501320	Scene92101a	30150192	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501330	SceneDLC00104	30150193	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501340	Scene00503d	30150194	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501350	Scene00504b	14010133	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501360	Scene00501a	30150196	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501370	Scene00403b	30150137	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301501380	Scene00004b	14010332	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501390	Scene00004b	14010332	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501400	Scene00203a	10030401	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501410	SceneDLC00104	14010123	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501420	Scene00004b	14010334	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501430	Scene00504b	14010131	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501440	Scene00103a	30150129	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501450	Scene01104	14010222	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501460	SceneDLC00104	30150185	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501470	Scene00403b	30150187	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501480	Scene01104	30150129	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501490	Scene00502b	30150161	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501500	Scene00501a	30150162	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501510	Scene00501a	30150162	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501520	Scene00104b	30150164	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501530	Scene00402b	30150165	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501540	Scene00001a	30150166	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501550	Scene00103a	30150167	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501560	Scene00103a	30150168	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501570	Scene00203d	30150169	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501580	SceneDLC00104	30150170	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501590	SceneDLC00104	30150170	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501600	SceneDLC00104	30150170	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501610	Scene00401a	30150173	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501620	Scene00403a	30150174	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501630	Scene00503b	30150175	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501640	Scene00501d	30150176	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501650	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501660	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501670	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501680	Scene01101	30150117	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501690	Scene00501a	30150181	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501700	Scene00104b	30150182	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501710	Scene00001a	30150183	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501720	Scene00001a	30150184	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501730	SceneDLC00104	30150185	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501740	SceneDLC00104	30150185	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501750	Scene00403b	30150187	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501760	Scene00503b	30150188	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501770	Scene01104	30150129	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501780	Scene01104	30150129	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501790	Scene00403a	30150131	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501800	Scene92101a	30150192	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501810	SceneDLC00104	30150193	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501820	Scene00503d	30150194	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501830	Scene00504b	14010133	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501840	Scene00501a	30150196	PB1	PB1	PB1	PB1	PB1	S1	S2	S3										
301501850	Scene00403b	30150137	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501860	Scene00004b	14010332	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501870	Scene00004b	14010332	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501880	Scene00203a	10030401	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301501890	SceneDLC00104	14010123	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
301501900	Scene00004b	14010334	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4									
