Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
121101010	Scene01100	12110101	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121101020	Scene01100	12110102	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121101030	Scene01101	12110103	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121101040	Scene01105	12110104	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121102010	Scene01102a	12110201	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121102020	Scene01102a	12110202	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121102030	Scene01105	12110203	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121102040	Scene01106	12110204	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121103010	Scene01101	12110301	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121103020	Scene01104	12110302	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121103030	Scene01104	12110303	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
121103040	Scene01106	12110304	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
