Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
140206110	Sceneice00102	14020611	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206120	Sceneice00102	14020611	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206130	Sceneice00102	14020613	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206140	Sceneice00102	14020614	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206210	Scene00402f	14020621	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206220	Scene00402f	14020622	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206230	Scene00402f	14020623	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206240	Scene00402f	14020624	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206310	Scene00503d	14020631	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206320	Scene00503d	14020632	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206330	Scene00503d	14020632	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140206340	Scene00503d	14020634	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
