Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
997199		0											5						-1						FxDeath01		-1			1																																							1										
905099		0											5						-1						FxMe1BioMd006010Death		-1			1																																							1										
997499		0											5						-1						FxMe1BioMd006010Attack07Dandao01Hit		-1			1																																							1										
904799		0											5						-1					Root	FxMo1BraveMd010031Death		-1			1																																							1										
904899		0											5						-1					Root	FxMo1BioMd030051Death		-1			1																																							1										
904999		0											5						-1					Root	FxMoCaMd030010AttackDeath		-1			1																																							1										
906099		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																							1										
906199		0											5						-1					Root	FxMe1BioMd007010Death		-1			1																																							1										
906299		0											5						-1					Root	FxMe1BioMd007030Death		-1			1																																							1										
906399		0											5						-1					Hip	FxMe1BioMd007030Death		-1			1																																							1										
906499		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																							1										
906599		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																							1										
906799		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																							1										
906899		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																							1										
836099		0											5						-1					Root			-1			1																																							1										
