Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
11030308		2	0.3				0			4			10						999						FxR2WeilaAttack0301Dilie		-1			1																						0																											
11030409		2	0.3				0			4			10						999						FxR2WeilaAttack0403		-1			1																						0																											
11030613		2	0.3				0			4			10						999						FxR2WeilaAttack1101		-1			1																						0																											
11030614		2	0.3				0			4			10						999						FxR2WeilaAttack1102		-1			1																						0																											
11030615		2	0.3				0			4			10						999						FxR2WeilaAttack1103		-1			1																						0																											
11030616		2	0.3				0			4			10						999						FxR2WeilaAttack1104		-1			1																						0																											
11030617		2	0.3				0			4			10						999						FxR2WeilaAttack1105		-1			1																						0																											
11030618		2	0.3				0			4			10						999						FxR2WeilaAttack1101Tuowei		-1			1																						0																											
11030619		2	0.3				0			4			10						999						FxR2WeilaAttack1102Tuowei		-1			1																						0																											
11030620		2	0.3				0			4			10						999						FxR2WeilaAttack1103Tuowei		-1			1																						0																											
11030713		2	0.3				0			4			10						999						FxR2WeilaAttack1101		-1			1																						0																											
11030714		2	0.3				0			4			10						999						FxR2WeilaAttack1102		-1			1																						0																											
11030715		2	0.3				0			4			10						999						FxR2WeilaAttack1103		-1			1																						0																											
11030716		2	0.3				0			4			10						999						FxR2WeilaAttack1104		-1			1																						0																											
11030717		2	0.3				0			4			10						999						FxR2WeilaAttack1105		-1			1																						0																											
11030718		2	0.3				0			4			10						999						FxR2WeilaAttack1101Tuowei		-1			1																						0																											
11030719		2	0.3				0			4			10						999						FxR2WeilaAttack1102Tuowei		-1			1																						0																											
11030720		2	0.3				0			4			10						999						FxR2WeilaAttack1103Tuowei		-1			1																						0																											
11030813		2	0.3				0			4			10						999						FxR2WeilaAttack1301		-1			1																						0																											
11030814		2	0.3				0			4			10						999						FxR2WeilaAttack1302		-1			1																						0																											
11030815		2	0.3				0			4			10						999						FxR2WeilaAttack1303		-1			1																						0																											
11030816		2	0.3				0			4			10						999						FxR2WeilaAttack1304		-1			1																						0																											
11030817		2	0.3				0			4			10						999						FxR2WeilaAttack1305		-1			1																						0																											
11030818		2	0.3				0			4			10						999						FxR2WeilaAttack1301Tuowei		-1			1																						0																											
11030819		2	0.3				0			4			10						999						FxR2WeilaAttack1302Tuowei		-1			1																						0																											
11030820		2	0.3				0			4			10						999						FxR2WeilaAttack1303Tuowei		-1			1																						0																											
11030904		2	0.3				0			4			10						999						FxR2WeilaAttack21Dilie		-1			1																						0																											
11031004		2	0.3				0			4			10						999						FxR2WeilaAttack21Dilie		-1			1																						0																											
11031104		2	0.3				0			4			10						999						FxR2WeilaAttack23Dilie		-1			1																						0																											
11031212		2	0.3				0			4			10						999						FxR2WeilaAttack31Dandao		-1			1																						0																											
11031312		2	0.3				0			4			10						999						FxR2WeilaAttack31Dandao		-1			1																						0																											
11031412		2	0.3				0			4			10						999						FxR2WeilaAttack31Dandao		-1			1																						0																											
11031503		2	0.3			1.8	0			3			10						999						FxR2WeilaQte		-1			1																						0																											
11031504		2	0.3				0			4			10						999						FxQte		-1			1																						0																											
11032413		2	0.3				0			4			10						999						FxR2WeilaAttack1301		-1			1																						0																											
11032414		2	0.3				0			4			10						999						FxR2WeilaAttack1302		-1			1																						0																											
11032415		2	0.3				0			4			10						999						FxR2WeilaAttack1303		-1			1																						0																											
11032416		2	0.3				0			4			10						999						FxR2WeilaAttack1304		-1			1																						0																											
11032417		2	0.3				0			4			10						999						FxR2WeilaAttack1305		-1			1																						0																											
11032418		2	0.3				0			4			10						999						FxR2WeilaAttack1301Tuowei		-1			1																						0																											
11032419		2	0.3				0			4			10						999						FxR2WeilaAttack1302Tuowei		-1			1																						0																											
11032420		2	0.3				0			4			10						999						FxR2WeilaAttack1303Tuowei		-1			1																						0																											
11033207		2	0.3				0			4			10						999						FxR2WeilaAttack1002		-1			1																						0																											
