Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	ModelId	BaseHeight	ColliderType	PolygonId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	MissileScale	UiResId	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	LieOnFloorTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	CatchType	NoThreat	NotToThreatTarget	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	WalkMotionOffset	RunMotionOffset	CollisionPriority	UseShadowMesh	ShadowQuadScale	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
20060	9037	9303	3	1	High-level Aerial Monster	1				1		1.1	1.1	0.1			1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							900064	900065	900056	905068	700501	700017	701022	710076																																																																																																							
20061	9021	9203	3	1	Mid-level Aerial Monster	1				1		1.1	1.1	0.1			1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							900064	900065	900056	905068	700501	700017	701022	710076																																																																																																							
20062	9536	9100	3	1	Low-level Aerial Monster	1				1		1.1	1.1	0.1			1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							900064	900065	900056	905068	700501	700017	701022	710076																																																																																																							
90000	90000	90000	3	1	Pillar Dweller (Monster)	1				1		1.1	1.1	0.1			1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							760610	760611	760612	760613	760614	760615	760616	760626				902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90001	9021	9021	3	1	TP Point	1		Mo1LiebianyuanchongMd000001		1		1.1	1.1	0.1			1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1	90210097						800041	800042	800043	800044	800045	800046	800047	800011	741002			902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90002	90002	90002	3	1	Signature Move Monster (Lee 3	1				1		1.1	1.1	0.1	1	1	1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							760610	760611	760612	760613	760614	760616	101181					902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90003	90003	90004	3	1	Pillar Dweller (Character)	1				1		1.1	1.1	0.1	1	1	1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							760610	760611	760612	760613	760614	760616						902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90004	90004	90004	3	1	Healing Drone	1				1		1.1	1.1	0.1	1	1	1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							760610	760611	760612	760613	760614	760616						902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90007	90007	90007	3	1	Signature Move Monster (Sophia)	1				1		1.1	1.1	0.1	1	1	1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							760610	760611	760612	760613	760614	760616						902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90008	90008	90004	3	1	Stealth Reference Monster	1				1		1.1	1.1	0.1	1	1	1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							760610	760611	760612	760614	760616							902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
90009	90009	90004	3	1	Stealth Noisy	1				1		1.1	1.1	0.1	1	1	1	1			0	3	0.8	2	1.5		0.3	20	0								0						3		1.1							760610	760611	760612	760614	760616							902301	902302	902303	902304	902305	902306	902307	902308	902309	902310																																																																																										
