Role	Animation	Layer	TotalFrame	TailLength	OffsetX[1]	OffsetZ[1]	OffsetX[2]	OffsetZ[2]	OffsetX[3]	OffsetZ[3]	OffsetX[4]	OffsetZ[4]	OffsetX[5]	OffsetZ[5]	OffsetX[6]	OffsetZ[6]	OffsetX[7]	OffsetZ[7]	OffsetX[8]	OffsetZ[8]	OffsetX[9]	OffsetZ[9]	OffsetX[10]	OffsetZ[10]	OffsetX[11]	OffsetZ[11]	OffsetX[12]	OffsetZ[12]	OffsetX[13]	OffsetZ[13]	OffsetX[14]	OffsetZ[14]	OffsetX[15]	OffsetZ[15]	OffsetX[16]	OffsetZ[16]	OffsetX[17]	OffsetZ[17]	OffsetX[18]	OffsetZ[18]	OffsetX[19]	OffsetZ[19]	OffsetX[20]	OffsetZ[20]	OffsetX[21]	OffsetZ[21]	OffsetX[22]	OffsetZ[22]	OffsetX[23]	OffsetZ[23]	OffsetX[24]	OffsetZ[24]	OffsetX[25]	OffsetZ[25]	OffsetX[26]	OffsetZ[26]	OffsetX[27]	OffsetZ[27]	OffsetX[28]	OffsetZ[28]	OffsetX[29]	OffsetZ[29]	OffsetX[30]	OffsetZ[30]	OffsetX[31]	OffsetZ[31]	OffsetX[32]	OffsetZ[32]	OffsetX[33]	OffsetZ[33]	OffsetX[34]	OffsetZ[34]	OffsetX[35]	OffsetZ[35]	OffsetX[36]	OffsetZ[36]	OffsetX[37]	OffsetZ[37]	OffsetX[38]	OffsetZ[38]	OffsetX[39]	OffsetZ[39]	OffsetX[40]	OffsetZ[40]	OffsetX[41]	OffsetZ[41]	OffsetX[42]	OffsetZ[42]	OffsetX[43]	OffsetZ[43]	OffsetX[44]	OffsetZ[44]	OffsetX[45]	OffsetZ[45]	OffsetX[46]	OffsetZ[46]	OffsetX[47]	OffsetZ[47]	OffsetX[48]	OffsetZ[48]	OffsetX[49]	OffsetZ[49]	OffsetX[50]	OffsetZ[50]	OffsetX[51]	OffsetZ[51]	OffsetX[52]	OffsetZ[52]	OffsetX[53]	OffsetZ[53]	OffsetX[54]	OffsetZ[54]	OffsetX[55]	OffsetZ[55]	OffsetX[56]	OffsetZ[56]	OffsetX[57]	OffsetZ[57]	OffsetX[58]	OffsetZ[58]	OffsetX[59]	OffsetZ[59]	OffsetX[60]	OffsetZ[60]	OffsetX[61]	OffsetZ[61]	OffsetX[62]	OffsetZ[62]	OffsetX[63]	OffsetZ[63]	OffsetX[64]	OffsetZ[64]	OffsetX[65]	OffsetZ[65]	OffsetX[66]	OffsetZ[66]	OffsetX[67]	OffsetZ[67]	OffsetX[68]	OffsetZ[68]	OffsetX[69]	OffsetZ[69]	OffsetX[70]	OffsetZ[70]	OffsetX[71]	OffsetZ[71]	OffsetX[72]	OffsetZ[72]	OffsetX[73]	OffsetZ[73]	OffsetX[74]	OffsetZ[74]	OffsetX[75]	OffsetZ[75]	OffsetX[76]	OffsetZ[76]	OffsetX[77]	OffsetZ[77]	OffsetX[78]	OffsetZ[78]	OffsetX[79]	OffsetZ[79]	OffsetX[80]	OffsetZ[80]	OffsetX[81]	OffsetZ[81]	OffsetX[82]	OffsetZ[82]	OffsetX[83]	OffsetZ[83]	OffsetX[84]	OffsetZ[84]	OffsetX[85]	OffsetZ[85]	OffsetX[86]	OffsetZ[86]	OffsetX[87]	OffsetZ[87]	OffsetX[88]	OffsetZ[88]	OffsetX[89]	OffsetZ[89]	OffsetX[90]	OffsetZ[90]	OffsetX[91]	OffsetZ[91]	OffsetX[92]	OffsetZ[92]	OffsetX[93]	OffsetZ[93]	OffsetX[94]	OffsetZ[94]	OffsetX[95]	OffsetZ[95]	OffsetX[96]	OffsetZ[96]	OffsetX[97]	OffsetZ[97]	OffsetX[98]	OffsetZ[98]	OffsetX[99]	OffsetZ[99]	OffsetX[100]	OffsetZ[100]	OffsetX[101]	OffsetZ[101]	OffsetX[102]	OffsetZ[102]	OffsetX[103]	OffsetZ[103]	OffsetX[104]	OffsetZ[104]	OffsetX[105]	OffsetZ[105]	OffsetX[106]	OffsetZ[106]	OffsetX[107]	OffsetZ[107]	OffsetX[108]	OffsetZ[108]	OffsetX[109]	OffsetZ[109]	OffsetX[110]	OffsetZ[110]	OffsetX[111]	OffsetZ[111]	OffsetX[112]	OffsetZ[112]	OffsetX[113]	OffsetZ[113]	OffsetX[114]	OffsetZ[114]	OffsetX[115]	OffsetZ[115]	OffsetX[116]	OffsetZ[116]	OffsetX[117]	OffsetZ[117]	OffsetX[118]	OffsetZ[118]	OffsetX[119]	OffsetZ[119]	OffsetX[120]	OffsetZ[120]	OffsetX[121]	OffsetZ[121]	OffsetX[122]	OffsetZ[122]	OffsetX[123]	OffsetZ[123]	OffsetX[124]	OffsetZ[124]	OffsetX[125]	OffsetZ[125]	OffsetX[126]	OffsetZ[126]	OffsetX[127]	OffsetZ[127]	OffsetX[128]	OffsetZ[128]	OffsetX[129]	OffsetZ[129]	OffsetX[130]	OffsetZ[130]	OffsetX[131]	OffsetZ[131]	OffsetX[132]	OffsetZ[132]	OffsetX[133]	OffsetZ[133]	OffsetX[134]	OffsetZ[134]	OffsetX[135]	OffsetZ[135]	OffsetX[136]	OffsetZ[136]	OffsetX[137]	OffsetZ[137]	OffsetX[138]	OffsetZ[138]	OffsetX[139]	OffsetZ[139]	OffsetX[140]	OffsetZ[140]	OffsetX[141]	OffsetZ[141]	OffsetX[142]	OffsetZ[142]	OffsetX[143]	OffsetZ[143]	OffsetX[144]	OffsetZ[144]	OffsetX[145]	OffsetZ[145]	OffsetX[146]	OffsetZ[146]	OffsetX[147]	OffsetZ[147]	OffsetX[148]	OffsetZ[148]	OffsetX[149]	OffsetZ[149]	OffsetX[150]	OffsetZ[150]	OffsetX[151]	OffsetZ[151]	OffsetX[152]	OffsetZ[152]	OffsetX[153]	OffsetZ[153]	OffsetX[154]	OffsetZ[154]	OffsetX[155]	OffsetZ[155]	OffsetX[156]	OffsetZ[156]	OffsetX[157]	OffsetZ[157]	OffsetX[158]	OffsetZ[158]	OffsetX[159]	OffsetZ[159]	OffsetX[160]	OffsetZ[160]	OffsetX[161]	OffsetZ[161]	OffsetX[162]	OffsetZ[162]	OffsetX[163]	OffsetZ[163]	OffsetX[164]	OffsetZ[164]	OffsetX[165]	OffsetZ[165]	OffsetX[166]	OffsetZ[166]	OffsetX[167]	OffsetZ[167]	OffsetX[168]	OffsetZ[168]	OffsetX[169]	OffsetZ[169]	OffsetX[170]	OffsetZ[170]	OffsetX[171]	OffsetZ[171]	OffsetX[172]	OffsetZ[172]	OffsetX[173]	OffsetZ[173]	OffsetX[174]	OffsetZ[174]	OffsetX[175]	OffsetZ[175]	OffsetX[176]	OffsetZ[176]	OffsetX[177]	OffsetZ[177]	OffsetX[178]	OffsetZ[178]	OffsetX[179]	OffsetZ[179]	OffsetX[180]	OffsetZ[180]	OffsetX[181]	OffsetZ[181]	OffsetX[182]	OffsetZ[182]	OffsetX[183]	OffsetZ[183]	OffsetX[184]	OffsetZ[184]	OffsetX[185]	OffsetZ[185]	OffsetX[186]	OffsetZ[186]	OffsetX[187]	OffsetZ[187]	OffsetX[188]	OffsetZ[188]	OffsetX[189]	OffsetZ[189]	OffsetX[190]	OffsetZ[190]	OffsetX[191]	OffsetZ[191]	OffsetX[192]	OffsetZ[192]	OffsetX[193]	OffsetZ[193]	OffsetX[194]	OffsetZ[194]	OffsetX[195]	OffsetZ[195]	OffsetX[196]	OffsetZ[196]	OffsetX[197]	OffsetZ[197]	OffsetX[198]	OffsetZ[198]	OffsetX[199]	OffsetZ[199]	OffsetX[200]	OffsetZ[200]
R3LifuMd010011	Attack01	0	34	0.016667	0	0	0	0.003	0	0.005	0	0.011	0	0.011	0	0.0225	0	0.003	0	-0.0305	0	-0.055	0	-0.0595	0	-0.058	0	-0.0525	0	-0.046	0	-0.0405	0	-0.037	0	-0.0375	0	-0.041	0	-0.0475	0	-0.055	0	-0.0605	0	-0.064	0	-0.0635	0	-0.061	0	-0.0595	0	-0.058	0	-0.0575	0	-0.056	0	-0.055	0	-0.052	0	-0.046	0	-0.039	0	-0.0295	0	-0.019	0	-0.0085	0	-0.005																																																																																																																																																																																																																																																																																																																																										
R3LifuMd010011	Attack02	0	34	0.016667	0	0	0	0.001	0	-0.018	0	-0.0155	0	0.035	0	0.1255	0	0.168	0	0.1825	0	0.194	0	0.2035	0	0.212	0	0.219	0	0.223	0	0.2205	0	0.215	0	0.2095	0	0.206	0	0.2025	0	0.201	0	0.2	0	0.199	0	0.196	0	0.193	0	0.1895	0	0.185	0	0.1785	0	0.171	0	0.1595	0	0.145	0	0.128	0	0.11	0	0.091	0	0.073	0	0.0555	0	0.05																																																																																																																																																																																																																																																																																																																																										
R3LifuMd010011	Attack03	0	34	0.016667	0	0	0	0.063	0	0.114	0	0.1075	0	0.083	0	0.0235	0	-0.085	0	-0.269	0	-0.393	0	-0.4845	0	-0.544	0	-0.566	0	-0.568	0	-0.5585	0	-0.543	0	-0.5225	0	-0.498	0	-0.47	0	-0.438	0	-0.4015	0	-0.361	0	-0.321	0	-0.286	0	-0.261	0	-0.243	0	-0.23	0	-0.219	0	-0.2105	0	-0.202	0	-0.196	0	-0.19	0	-0.185	0	-0.179	0	-0.173	0	-0.171																																																																																																																																																																																																																																																																																																																																										
R3LifuMd010011	Attack04	0	39	0.033333	0	0	0	-0.035	0	-0.064	0	-0.062	0	-0.033	0	0.001	0	0.042	0	0.1315	0	0.253	0	0.3545	0	0.395	0	0.386	0	0.371	0	0.389	0	0.416	0	0.442	0	0.463	0	0.4775	0	0.491	0	0.501	0	0.508	0	0.5115	0	0.512	0	0.508	0	0.501	0	0.4925	0	0.482	0	0.4715	0	0.461	0	0.4495	0	0.44	0	0.431	0	0.423	0	0.4175	0	0.412	0	0.4085	0	0.405	0	0.402	0	0.399	0	0.397																																																																																																																																																																																																																																																																																																																																
R3LifuMd010011	Attack11	0	29	0	0	0	0	-0.1155	0	-0.125	0	-0.0715	0	-0.018	0	0.04	0	0.07	0	0.072	0	0.071	0	0.0665	0	0.062	0	0.0565	0	0.048	0	0.041	0	0.035	0	0.0275	0	0.02	0	0.0125	0	0.005	0	-0.0005	0	-0.004	0	-0.004	0	-0.004	0	-0.002	0	0.001	0	0.004	0	0.007	0	0.0105	0	0.014	0	0.014																																																																																																																																																																																																																																																																																																																																																				
R3LifuMd010011	Attack21	0	27	0.033333	0	0	0	0.0195	0	0.06	0	0.0935	0	0.109	0	0.041	0	-0.124	0	-0.262	0	-0.35	0	-0.4105	0	-0.456	0	-0.486	0	-0.507	0	-0.519	0	-0.527	0	-0.5335	0	-0.538	0	-0.542	0	-0.543	0	-0.538	0	-0.525	0	-0.504	0	-0.477	0	-0.445	0	-0.411	0	-0.3755	0	-0.341	0	-0.319																																																																																																																																																																																																																																																																																																																																																								
R3LifuMd010011	Attack31	0	31	0	0	0	0	-0.0075	0	-0.007	0	0.051	0	0.126	0	0.1565	0	0.192	0	0.188	0	0.171	0	0.173	0	0.18	0	0.186	0	0.194	0	0.2045	0	0.216	0	0.2275	0	0.24	0	0.2525	0	0.262	0	0.2655	0	0.263	0	0.254	0	0.24	0	0.223	0	0.203	0	0.183	0	0.162	0	0.1425	0	0.124	0	0.108	0	0.094	0	0.094																																																																																																																																																																																																																																																																																																																																																
R3LifuMd010011	Attack51	0	146	0.016667	0	0	0	0.021	0	0.036	0	0.0185	0	-0.005	0	-0.006	0	-0.001	0	0.005	0	0.009	0	0.0155	0	0.023	0	0.031	0	0.039	0	0.045	0	0.05	0	0.051	0	0.049	0	0.041	0	0.024	0	-0.0155	0	-0.062	0	-0.1005	0	-0.121	0	-0.106	0	-0.07	0	-0.0165	0	0.046	0	0.0895	0	0.108	0	0.122	0	0.118	0	0.0605	0	0.017	0	0.0035	0	0.009	0	0.0095	0	0.006	0	-0.0015	0	-0.01	0	-0.017	0	-0.02	0	-0.0195	0	-0.017	0	-0.0145	0	-0.012	0	0	0	0.023	0	0.053	0	0.08	0	0.0975	0	0.073	0	-0.0075	0	-0.069	0	-0.07	0	-0.043	0	-0.023	0	-0.028	0	-0.0355	0	-0.014	0	0.044	0	0.091	0	0.0865	0	0.041	0	-0.0175	0	-0.04	0	-0.0365	0	-0.039	0	-0.0685	0	-0.085	0	-0.0415	0	0.02	0	0.051	0	0.069	0	0.085	0	0.104	0	0.121	0	0.127	0	0.124	0	0.119	0	0.098	0	0.058	0	0.0065	0	-0.039	0	-0.075	0	-0.099	0	-0.102	0	-0.094	0	-0.0825	0	-0.072	0	-0.062	0	-0.054	0	-0.0475	0	-0.043	0	-0.0395	0	-0.036	0	-0.0315	0	-0.025	0	-0.014	0	0	0	0.016	0	0.03	0	0.0405	0	0.046	0	0.0445	0	0.036	0	0.022	0	0.008	0	-0.0075	0	-0.025	0	-0.035	0	-0.04	0	-0.0405	0	-0.039	0	-0.036	0	-0.031	0	-0.025	0	-0.02	0	-0.0155	0	-0.013	0	-0.012	0	-0.011	0	-0.01	0	-0.009	0	-0.0075	0	-0.006	0	-0.0045	0	-0.003	0	-0.0015	0	0	0	0.001	0	0.002	0	0.0025	0	0.003	0	0.004	0	0.005	0	0.0055	0	0.006	0	0.007	0	0.006	0	0.0055	0	0.004	0	0.003	0	0.002	0	0.001	0	0	0	0	0	0																																																																																																										
R3LifuMd010011	AttackQte	0	45	0.033333	0	0	0	-0.0135	0	0.026	0	0.1025	0	0.118	0	0.08	0	0.029	0	0.038	0	0.061	0	0.0465	0	0.025	0	0.0155	0	0.013	0	0.0155	0	0.019	0	0.0205	0	0.014	0	0.037	0	0.051	0	0.046	0	0.043	0	0.049	0	0.055	0	0.062	0	0.068	0	0.0715	0	0.074	0	0.076	0	0.078	0	0.081	0	0.083	0	0.085	0	0.087	0	0.088	0	0.087	0	0.085	0	0.081	0	0.076	0	0.069	0	0.061	0	0.052	0	0.0405	0	0.029	0	0.017	0	0.006	0	-0.001																																																																																																																																																																																																																																																																																																																				
R3LifuMd010011	Behitfly	0	11	0	0	0	0	0.193	0	0.19	0	0.1725	0	0.197	0	0.219	0	0.235	0	0.2435	0	0.262	0	0.2625	0	0.21	0	0.21																																																																																																																																																																																																																																																																																																																																																																																								
R3LifuMd010011	Born	0	67	0.033333	0	0	0	-0.015	0	-0.032	0	-0.0535	0	-0.081	0	-0.1125	0	-0.133	0	-0.136	0	-0.132	0	-0.122	0	-0.11	0	-0.0975	0	-0.088	0	-0.081	0	-0.074	0	-0.068	0	-0.062	0	-0.057	0	-0.051	0	-0.0445	0	-0.037	0	-0.028	0	-0.017	0	-0.0045	0	0.009	0	0.0255	0	0.044	0	0.0635	0	0.083	0	0.093	0	0.089	0	0.069	0	0.046	0	0.028	0	0.014	0	0.0005	0	-0.013	0	-0.0265	0	-0.039	0	-0.051	0	-0.062	0	-0.07	0	-0.076	0	-0.0775	0	-0.075	0	-0.0695	0	-0.062	0	-0.0545	0	-0.048	0	-0.042	0	-0.037	0	-0.0325	0	-0.027	0	-0.0225	0	-0.019	0	-0.0145	0	-0.011	0	-0.008	0	-0.005	0	-0.002	0	0	0	0.003	0	0.006	0	0.0085	0	0.011	0	0.014	0	0.017	0	0.019																																																																																																																																																																																																																																																																								
