Role	Layer	State	Target	TransitionDuration
Mo1DiaorensanxingMd000001	0	Attack01	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Stand2	0.2
