Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed
110301011	2	1	0				1	0		2	-2.7	3	0
110301021	6	1	0				1			2	-2.7	3	0
110302011	1	1	0				1	0		2	-2.7	1.8	0
110302021	5	1	0				1			2	2.7	2.8	0
110303021	2	1	0				1	0		1	-1.5	5	0
110303031	2	1	0				1	0		1	-1.5	5	0
110303041	2	1	0				1	0		2	-2	0	20
110303051	6	1	0				1			2	-2	0	20
110304011	1	1	0				1	0		0	-1	3	1
110304021	2	1	0.1				1	0		0	-1	1.5	1
110304031	1	1	0.1				1	0		0	-1	1.5	1
110304041	2	1	0				1	0		0	-1	1.5	1
110304051	5	1	0				1			0	-1	2	1
110304061	6	1	0				1			0	-1	3.2	1
110305011	5	1	0				1			2	-2.7	3	0
110305021	5	1	0				1			4	-2.7	2	0
110306011	5	1	0				1			0	-1	0.3	1
110306021	1	1	0				1	0		0	-1	0.1	1
110306031	6	1	0				1			0	-1	0.3	1
110306041	2	1	0				1	0		0	-1	0.1	1
110306051	5	1	0				1			0	-1	0.3	1
110306061	1	1	0				1	0		2	-2.7	2	0
110306071	2	1	0				1	0		2	-2.7	3	0
110306081	6	1	0				1			3	-2.7	4	0
110307011	5	1	0				1			0	-1	0.3	1
110307021	1	1	0				1	0		0	-1	0.1	1
110307031	6	1	0				1			0	-1	0.3	1
110307041	2	1	0				1	0		0	-1	0.1	1
110307051	5	1	0				1			0	-1	0.3	1
110307061	1	1	0				1	0		2	-2.7	2	0
110307071	2	1	0				1	0		2	-2.7	3	0
110307081	6	1	0				1			3	-2.7	4	0
110308011	5	1	0				1			0	-1	0.3	1
110308021	1	1	0				1	0		0	-1	0.1	1
110308031	6	1	0				1			0	-1	0.3	1
110308041	2	1	0				1	0		0	-1	0.1	1
110308051	5	1	0				1			0	-1	0.3	1
110308061	1	1	0				1	0		2	-2.7	2	0
110308071	2	1	0				1	0		2	-2.7	3	0
110308081	6	1	0				1			3	-2.7	4	0
110309011	1	1	0				1	0		2	-2.7	2.2	0
110310011	2	1	0				1	0		2	-2.7	2.2	0
110311011	1	1	0				1	0		2	-2.7	2.2	0
110312011	5	1	0				1			2	-2	2	0
110312021	6	1	0				1			2	-2	2	0
110312031	5	1	0				1			2	-2	2	0
110312041	6	1	0				1			2	-2	2	0
110312051	5	1	0				1			3	-2	3	0
110312111	2	1	0				1	0		1.5	-2	3	0
110313011	5	1	0				1			2	-2	2	0
110313021	6	1	0				1			2	-2	2	0
110313031	5	1	0				1			2	-2	2	0
110313041	6	1	0				1			2	-2	2	0
110313051	5	1	0				1			3	-2	3	0
110313111	2	1	0				1	0		1.5	-2	3	0
110314011	5	1	0				1			2	-2	2	0
110314021	6	1	0				1			2	-2	2	0
110314031	5	1	0				1			2	-2	2	0
110314041	6	1	0				1			2	-2	2	0
110314051	5	1	0				1			3	-2	3	0
110314111	2	1	0				1	0		1.5	-2	3	0
110315021	1	1	0				1	0		0	-1	0	30
110318011	5	1	0				1			2	-2.7	1	0
110324011	5	1	0				1			0	-1	0.2	1
110324021	1	1	0				1	0		0	-1	0	1
110324031	6	1	0				1			0	-1	0.2	1
110324041	2	1	0				1	0		0	-1	0	1
110324051	5	1	0				1			0	-1	0.2	1
110324061	1	1	0				1	0		2	-2.7	2	0
110324071	2	1	0				1	0		2	-2.7	3	0
110324081	6	1	0				1			3	-2.7	4	0
110325011	6	1	0				1			1.5	-2	3	0
110325111	6	1	0				1			1.5	-2	3	0
110326011	5	1	0				1			1.5	-2	3	0
110326021	5	1	0				1			1.5	-2	3	0
110326061	5	1	0				1			1.5	-2	3	0
110326071	5	1	0				1			1.5	-2	3	0
110327011	5	1	0				1			1.5	-2	3	0
110327051	5	1	0				1			1.5	-2	3	0
110328011	6	1	0				1			1.5	-2	3	0
110328051	6	1	0				1			1.5	-2	3	0
110329011	5	1	0				1			1.5	-2	3	0
110329021	6	1	0				1			1.5	-2	3	0
110329061	5	1	0				1			1.5	-2	3	0
110329071	6	1	0				1			1.5	-2	3	0
110330011	2	1	0				1	0		2	-2.7	3	0
110330021	6	1	0				1			2	-2.7	3	0
110332011	1	1	0				1	0		0	-1	3	1
110332021	2	1	0.1				1	0		0	-1	1.5	1
110332031	1	1	0				1	0		0	-1	1.5	1
110332041	2	1	0				1	0		0	-1	2	1
110332051	6	1	0				1			0	-1	3.2	1
