Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
123201011	2	1	0.3									1	0	
123202011	5	1	0.3									1		
123203011	5	1	0.3		6	0.1						1		-60
123204011	2	1	0.3									1	0	
123204021	1	1	0.3									1	0	
123204031	2	1	0.3									1	0	
123204041	1	1	0.3									1	0	
123205011	6	1	0.3									1		
123205021	6	1	0.3		10	0.15						1		-60
123206011	2	1	0.3									1	0	
123206021	1	1	0.3									1	0	
123206031	2	1	0.3									1	0	
123206041	5	1	0.3		10	0.15						1		-60
123207011	2	1	0.3									1	0	
123207021	1	1	0.3									1	0	
123207031	2	1	0.3									1	0	
123207041	5	1	0.3		10	0.15						1		-60
123208011	2	1	0.3									1	0	
123208021	1	1	0.3									1	0	
123208031	2	1	0.3									1	0	
123208041	5	1	0.3		10	0.15						1		-60
123208111	2	1	0.3									1	0	
123208121	1	1	0.3									1	0	
123208131	2	1	0.3									1	0	
123208141	1	1	0.3									1	0	
123209011	1	1	0.3		1.5	0.1						1	0	
123209021	4	1	0.3	2	12	0.2						1	3	-50
123210011	1	1	0.3		1.5	0.1						1	0	
123210021	4	1	0.3	2	12	0.2						1	3	-50
123211011	1	1	0.3		1.5	0.1						1	0	
123211021	4	1	0.3	2	12	0.2						1	3	-50
123212011	2	1	0.3									1	0	
123212021	3	1	0.3		5	1	1.2	0.1	0.2	0.6	0.2	1	3	-5
123213011	2	1	0.3									1	0	
123213021	3	1	0.3		5	1	1.2	0.1	0.2	0.6	0.2	1	3	-5
123214011	2	1	0.3									1	0	
123214021	3	1	0.3		5	1	1.2	0.1	0.2	0.6	0.2	1	3	-5
123224011	2	1	0.3									1	0	
