Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
832001011	1	0.7	0.2									1	0	
832002021	1	0.7	0.2									1	0	
832003011	1	0.7	0.2									1	0	
832004011	1	0.4	0.2									1	0	
832004041	3	0.7	0.2		5		1	0.25	0.1	0.4	0.2	1	1	
832005011	7	0.4	0.2									1		
832006011	3	0.8	0.5				1.5	0.25	0.1	0.5	0.2	1	1	
832006041	3	0.8	0.7				2	0.25	0.1	0.5	0.2	1	1	
832007011	5	0.8	0.5									1		
832007021	6	0.8	0.5									1		
832007031	5	0.8	0.5									1		
832007041	6	0.8	0.5									1		
832007051	5	0.8	0.5									1		
832008021	4	0.7	0.2	2	15	0.5						1	3	-10
832011021	4	0.7	0.2	2	15	0.5						1	3	-10
832016011	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832016021	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832016031	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832017031	1	0.5	0.2									1	0	
832017041	2	0.5	0.2									1	0	
832019011	3	0.6	0.2				1	0.25	0.1	0.3	0.2	1	1	
832019021	3	0.6	0.2				1	0.25	0.1	0.3	0.2	1	1	
832019031	3	0.6	0.3		30	0.5	1	0.25	0.1	0.3	0.2	1	1	
832031081	4	0.7	0.2	2	15	0.5						1	3	-10
832032081	4	0.7	0.2	2	15	0.5						1	3	-10
832201011	5	0.7	0.2		15	0.2						1		-8
832201021	3	0.7	0.2		30	0.7	1.5	0.25	0.1	0.4	0.2	1	1	-30
832202011	5	1	0.2									1		
832202021	2	0.7	0.2									1	0	
832203011	6	0.7	0.2									1		
832203021	5	0.7	0.2									1		
832203031	4	0.7	0.2	2	15	0.7						1	3	-8
832204011	6	0.7	0.2									1		
832204021	5	0.7	0.2									1		
832204031	6	0.7	0.2									1		
832204041	4	0.7	0.2	2	20	0.7						1	3	-20
832204051	6	0.7	0.2									1		
832204061	6	0.7	0.2									1		
832205011	5	0.7	0.2		6	0.1						1		-6
832205021	2	0.7	0.2		6	0.1						1	0	-6
832205031	1	0.7	0.2		6	0.1						1	0	-6
832205041	2	0.7	0.2		6	0.1						1	0	-6
832205051	4	0.7	0.2	2	15	0.7						1	3	-8
832206241	5	0.7	0.2		15	0.2						1		-8
832207041	5	0.7	0.2									1		
832207051	2	0.7	0.2		6	0.1						1	0	-6
832211011	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832211021	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832211031	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832212011	5	0.8	0.5									1		
832212021	6	0.8	0.5									1		
832212031	5	0.8	0.5									1		
832212041	6	0.8	0.5									1		
832212051	5	0.8	0.5									1		
832214011	5	0.7	0.2									1		
832215011	5	0.7	0.2									1		
832215021	2	0.7	0.2									1	0	
832215031	4	0.7	0.2	2	15	0.7						1	3	-8
832216011	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832216021	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832216031	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
832231011	5	1	0.2									1		
832231021	2	0.7	0.2									1	0	
832232011	6	0.7	0.2									1		
832232021	5	0.7	0.2									1		
832232031	6	0.7	0.2									1		
832232041	4	0.7	0.2	2	20	0.7						1	3	-20
832232051	6	0.7	0.2									1		
832232061	6	0.7	0.2									1		
832233011	5	0.7	0.2									1		
832233021	2	0.7	0.2									1	0	
832233031	4	0.7	0.2	2	15	0.7						1	3	-8
833301051	5	0.7	0.2									1		
833314011	5	0.8	0.5									1		
835001011	5	0.8	0.2									1		
835001021	2	0.5	0.2									1	0	
835001031	1	0.5	0.2									1	0	
835001041	2	0.5	0.2									1	0	
835001051	1	0.5	0.2		-20	0.3						1	0	
835002011	2	0.3	0.2									1	0	
835002021	1	0.3	0.2									1	0	
835002031	2	0.4	0.2									1	0	
835002041	1	0.5	0.2									1	0	
835002051	6	0.5	0.2									1		
835002061	5	0.5	0.2									1		
835002071	6	0.5	0.2									1		
835002081	3	0.8	0.2		30	0.8	1	0.25	0.1	0.5	0.2	1	1	-10
835005011	1	0.2	0.2									1	0	
835005021	2	0.2	0.2									1	0	
835005031	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835006011	5	0.6	0.2									1		
835006031	3	0.5	0.2		10	0.5	0.5	0.25	0.1	0.2	0.2	1	1	5
835011011	5	0.6	0.2									1		
