Id	Name	SkillType	CastTime	AfterTime	Animation	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
113201	普攻1	1	0.5	2.3	Attack01				10	2		2	0	0	
113202	普攻2	1	0.5	1.8	Attack02				10	2		2	0	0	
113203	普攻3	1	0.75	2	Attack03		113262		10	2		2	0	0	
113204	普攻4	1	1.25	1.95	Attack04				10	2		2	0	0	
113205	普攻5	1	0.9	2.8	Attack05		113262		10	2		2	0	0	
113206	红球1消	11	1.2	1.5	Attack11		113262		10	2		2	0	0	
113207	红球2消	12	1.2	1.5	Attack11		113262		10	2		2	0	0	
113208	红球3消	13	1.2	1.5	Attack11		113262		10	2		2	0	0	
113209	蓝球1消	21	1	2.2	Attack21		113262		10	2		2	0	0	
113210	蓝球2消	22	1	2.2	Attack21		113262		10	2		2	0	0	
113211	蓝球3消	23	1	2.2	Attack21		113262		10	2		2	0	0	
113212	黄球1消	31	0.7	2.7	Attack31	113223	113262|113265		10	2		0	0	5	
113213	黄球2消	32	0.7	2.7	Attack31	113223	113262|113265		10	2		0	0	5	
113214	黄球3消	33	0.7	2.7	Attack31	113223	113262|113265		10	2		0	0	5	
113215	QTE技能	7	1.95	0	AttackQte				10	2		2	0	0	
113216	闪避	5	0.4	1.85	Move1		113262		10	2		2	0	0	0.4
113217	默认向后闪避	6	0.4	1.6	Move2		113262		10	2		2	0	0	0.4
113218	大招	2	0.4	5.55	Attack51				10	2		2	0	0	
113219	胜利1	8	100	1					10	2		2	0	0	
113220	胜利2	8	100	1					10	2		2	0	0	
113221	出生技能	4	0	3.8	Born				10	2		2	0	0	
113222	交互动作	9	1	1	Save				10	2		2	0	0	
113223	出场技	3	1.25	1.95	Attack21		113262		10	2		2	0	0	
113224	普攻1（突进）	1	0.5	2.3	Attack01				10	2		0	0	1	
113225	等待	9	999	0	Attack54				10	2		2	0	0	
