Id	Name	SkillType	CastTime	AfterTime	Animation	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
998101	华韬的技能1	1	1.95	0	Attack01			2	10	2		2			
998102	华韬的技能2	1	2.35	0	Attack02			2	10	2		2			
998103	华韬的技能3	1	2.5	0	Attack03			2	10	2		2			
998104	华韬的技能4	1	2	0	Attack04			2	10	2		2			
998201	野猪骑士的技能1	1	2.15	0	Attack01			2	10	2		2			
998202	野猪骑士的技能2	1	1.85	0.35	Attack02			2	10	2		2			
998203	野猪骑士的技能3	1	3.15	0	Attack03			2	10	2		2			
998204	野猪骑士的技能4	1	1	0	Attack04			2	10	2		2			
998301	孤儿-测试的技能1	1	1.65	0	Attack01			2	10	2		2			
998302	孤儿-测试的技能2	1	1.35	0	Attack02			2	10	2		2			
998303	孤儿-测试的技能3	1	1.75	0	Attack03			2	10	2		2			
998304	孤儿-测试的技能4	1	2.05	0	Attack05			2	10	2		2			
815201	三段普攻		3.55	0	Attack01			2	10	2		2		4	
815202	踩地		3.35	0	Attack02			2	10	2		2			
815203	飞天		2.4	0	Attack03			2	10	2		2			
815204	下落		2.2	0	Attack04			2	10	2		2			
815205	扔罐子		4.35	0	Attack05			2	10	2		2		4	
815206	预备冲锋		2.25	0	Attack06			2	10	2		2		4	
815207	循环冲锋		10	0	Attack07			2	10	4		2			
815208	没冲到		2.3	0	Attack08			2	10	2		2			
815209	冲到后阻		1.95	0	Attack09			2	10	2		2			
815210	嘲笑1		3.35	0	Attack10			2	10	2		2			
815211	嘲笑2		3.15	0	Attack11			2	10	2		2			
815212	喷涂机械-预备冲锋		2.25	0	Attack06			2	10	2		2		4	
815213	喷涂机械-循环冲锋		10	0	Attack07			2	10	4		2			
815214	喷涂机械-冲击后阻		1.95	0	Attack09			2	10	2		2			
815215	喷涂机械-没冲到		2.3	0	Attack08			2	10	2		2			
834001	轨道异形者-左爪		10.55	0	Attack01			2	10	2		2			
834002	轨道异形者-中抓		11.1	0	Attack02			2	10	2		2			
834003	轨道异形者-右爪		10.55	0	Attack03			2	10	2		2			
834004	轨道异形者-召唤		5.65	0	Attack07			2	10	0		0		4	
834005	轨道异形者-导弹		6.35	0	Attack08			2	10	2		2	1		
834006	轨道异形者-左爪爆炸		6	0	Attack04			2	10	2		2			
834007	轨道异形者-中抓爆炸		6	0	Attack05			2	10	2		2			
834008	轨道异形者-右爪爆炸		6	0	Attack06			2	10	2		2			
834009	轨道异形者-激光左右		6.35	0	Attack09			2	10	2		2		4	
834010	轨道异形者-激光右左		6.35	0	Attack10			2	10	2		2			
834011	轨道异形者-激光瞄准		6.35	0	Attack11			2	10	2		2			
834012	眼球待机		1.65	0	Attack27			2	10	2		2			
834013	咆哮倒地		4	0	Attack12			2	10	2		2			
834014	倒地循环抽搐		999	0	Attack13			0	10	2		2			
834015	嘴巴左爪攻击		8.65	0	Attack14			2	10	2		2			
834016	嘴巴右爪攻击		8.65	0	Attack15			2	10	2		2			
834017	嘴巴左爪死亡		3.35	0	Attack16			2	10	2		2			
834018	嘴巴右爪死亡		3.35	0	Attack17			2	10	2		2			
834019	左边挡板冲击波		2	0	Attack19			2	10	2		2			
834020	右边挡板冲击波		2	0	Attack20			2	10	2		2			
834021	轨道异形者左边喷吐		3.85	0	Attack24			2	10	2		2			
834022	轨道异形者中间喷吐		3.85	0	Attack26			2	10	2		2			
834023	轨道异形者右边喷吐		3.85	0	Attack25			2	10	2		2			
834024	轨道异形者-召唤（给关卡用）		5.65	0	Attack07			2	10	2		2			
834025	棱镜出来		2	0	Attack01			2	10	2		2		4	
834026	棱镜循环		999	0	Attack02			2	10	2		2			
834027	棱镜左转		1	0	Attack02			2	10	2		2		4	
834028	棱镜发射激光		1	0	Attack04			2	10	2		2			
834029	棱镜下降		1.967	0	Attack05			2	10	2		2			
834030	棱镜死亡		999	0	Death			2	10	2		2			
834031	四阶段发射激光		4.2	0	Attack23			2	10	2		2			
