Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
907001	至尊防御-普攻1（寸劲）		3.5	0	Attack01			10	2		2		4	
907002	至尊通用-普攻2（摆拳）		1.9	0	Attack04			10	2		2		1	
907003	至尊防御-蓄力in		0.6	0	Attack06			10	0		2		0	
907004	至尊防御-蓄力loop		999	0	Attack07			10	0		2		0	
907005	至尊防御-蓄力out		1.6	0	Attack08			10	1		2		0	
907006	至尊防御-冲锋		2.3	0	Attack09			10	2		3		4	
907007	至尊转阶段		1.66	0	Attack10			10	0		2		0	
907008	至尊进攻-蓄力out		1.6	0	Attack08			10	1		2		0	
907009	至尊进攻-普攻1(寸劲）		2.167	0	Attack02			10	2		2		4	
907010	至尊进攻-普攻1(寸劲短前摇）		1.833	0	Attack03			10	2		2		4	
907011	至尊进攻-普攻2(摆拳回旋踢）		2.4	0	Attack05			10	1		2		4	
907012	至尊进攻-胸口		3.467	0	Attack11			10	1		2		4	
907013	至尊进攻-Z0		0.867	0	Attack12			10	1		2		2	
907014	至尊进攻-Z1		0.6	0	Attack13			10	2		2		1	
907015	至尊进攻-Z2		0.6	0	Attack14			10	2		2		1	
907016	至尊进攻-Z3		1	0	Attack15			10	2		2		1	
907017	至尊进攻-石像		9999	0	Born1			10	0		2		0	
907018	至尊进攻-石像转战斗		1.167	0	Born2			10	0		2		0	
