Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
832001	扫		2.167	0	Attack01				6		0		0	
832002	戳		1.833	0	Attack02				6		0		4	
832003	扫 花哨		2.533	0	Attack03				6		0		4	
832004	戳 花哨		2.9	0	Attack04				6		0		4	
832005	前跳		1.567	0	Attack05				6		0		4	
832006	扫 提		1.9	0	Attack06				6		0		4	
832007	离子弹 追踪		2.833	0	Attack07				6		0		0	
832008	虚空突刺		4.67	0	Attack08	832010			6		0		4	
832009	离子弹 聚能		2.7	0	Attack09				6		0		0	
832011	虚空闪现		1.2	0	Attack08	800043			6		0		4	
832012	后跳		1.333	0	Attack12				6		0		4	
832016	地裂斩		2.067	0	Attack16				6		0		4	
832017	跑动中挥砍		13.3	0	Attack17				6		0		0	
832018	强力劈砍		2.1	0	Attack18				6		0		4	
832019	十字斩		2.96	0	Attack19				6		0		0	
832021	受击 小		1.2	0	Attack22				6		0		4	
832022	受击 勒马		1.2	0	Attack23				6		0		4	
832023	瘫痪 In		7.1	0	Attack14				6		0		4	
832024	瘫痪 Out		1	0	Attack15				6		0		0	
832030	出生动作		4	0	Born				6		0		0	
832031	跑停 右		2.23	0	Attack31				6		0		4	
832032	跑停 左		2.23	0	Attack32				6		0		4	
832033	转向 左		1	0	Attack33				6		0		4	
832034	转向 右		1	0	Attack34				6		0		4	
832201	空中戳		3.167	0	Attack01	800171|800043			6		0		4	
832202	盾击突刺		3.1	0	Attack02	800171|800043			6		0		4	
832203	快速三连		2.27	0	Attack03	800171|800043			6		0		4	
832204	丢盾四连		2.833	0	Attack04	800171|800043			6		0		4	
832205	抽枪		2.7	0	Attack05	800171|800043			6		0		4	
832206	飞天		1.33	0	Attack06				6		0		4	
832207	落地		2.27	0	Attack07	800171			5		0		4	
832208	格挡		3.17	0	Attack08	800171|800043			5		0		4	
832209	格挡突击		3.17	0	Attack08	800171|800043			5		0		4	
832211	移动剑风		1.67	0	Attack11	800171|800043			5		0		4	
832212	追踪离子弹		3.33	0	Attack12	800171|800043			6		0		4	
832213	区域随机生成离子弹		4.13	0	Attack13	800171|800043			6		0		4	
832214	引爆		2	0	Attack14	800171|800043			6		0		4	
832215	旋转连击		3.83	0	Attack15	800171|800043			5		0		4	
832216	地裂斩		1.97	0	Attack16	800171|800043			6		0		4	
832221	前		0.5	0	Attack21	800171|800043			5		0		4	
832222	后		0.5	0	Attack22	800171|800043			5		0		4	
832223	左		0.5	0	Attack23	800171|800043			5		0		4	
832224	右		0.5	0	Attack24	800171|800043			5		0		4	
832225	后跳		0.5	0	Attack25	800171|800043			6		0		4	
832226	BOSS出场		7.3	0	Attack26				6		0		4	
832231	シールド突き		3.1	0	Attack02	800171|800043			6		0		4	
832232	シールド破棄四連撃		2.833	0	Attack04	800171|800043			6		0		4	
832233	回転連撃		3.83	0	Attack15	800171|800043			5		0		4	
833301	高空喷射		2.43	0	Attack01				6		0		4	
833311	下降		1.33	0	Attack11				6		0		4	
833312	循环		999	0	Attack12				6		0		4	
833313	上升		1.33	0	Attack13				6		0		4	
833314	喷射		0.5	0	Attack14				6		0		4	
833315	持续激光		3.9	0	Attack15				6		0		4	
835000	出現動作		5.3	0	Born	800033			6		0		4	
835001	武侠 一式		5.4	0	Attack01	800171|800043			6		0		4	
835002	武侠 二式		5.933	0	Attack02	800171|800043			6		0		4	
835005	武侠 召喚		3.333	0	Attack05	800171|800043			6		0		4	
835006	武侠 追加斬撃		2.8	0	Attack06	800171|800043			6		0		4	
835011	蓄力重击 左		3.667	0	Attack11	800171|800043			6		0		4	
835012	蓄力重击 右		4	0	Attack12	800171|800043			6		0		4	
835013	蓄力重击 二连		4.333	0	Attack13	800171|800043			6		0		4	
835014	溜め重撃 召喚（暫定廃棄）		4.667	0	Attack14	800171|800043			6		0		4	
835021	刀气		2.267	0	Attack21	800171|800043			6		0		4	
835022	刀气 召唤		3.533	0	Attack22	800171|800043			6		0		4	
835023	刀气 三连		4.567	0	Attack23	800171|800043			6		0		4	
835030	孔雀の余韻		3.667	0	Attack11	800171|800043			6		0		4	
835031	剪断		3.333	0	Attack31	800171|800043			6		0		4	
835032	前劈 二连		3.667	0	Attack32	800171|800043			6		0		4	
835033	前劈 空中连击		3.333	0	Attack33	800171|800043			6		0		4	
835041	左闪 反击		1.833	0	Attack41	800171|800043			6		0		4	
835042	右闪 反击		1.833	0	Attack42	800171|800043			6		0		4	
835043	后闪 反击		2.333	0	Attack43	800171|800043			6		0		4	
835044	左回避 反撃剣波		1.833	0	Attack41	800171|800043			6		0		4	
835045	左回避 反撃剣波		1.833	0	Attack42	800171|800043			6		0		4	
835046	左回避 反撃剣波		2.333	0	Attack43	800171|800043			6		0		4	
835051	被召喚 ダッシュ攻撃		3.3	0	Attack51	800171|800043			6		0		4	
835052	被召喚·連撃		1.967	0	Attack52	800171|800043			6		0		4	
835053	被召喚·空中打撃		1	0	Attack52	800171|800043			6		0		4	
