Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
113201	4|Cast|11320101	0|Effect|FxR4LuxiyaAttack01A||1|																																																																														
113202	3|Cast|11320201	3|Cast|11320202	0|Effect|FxR4LuxiyaAttack02A||1|																																																																													
113203	8|Cast|11320301	0|Magic|113261|1	12|Magic|113262|1	8|Shake|3|0.5|-1.5|15|0.25|0	8|Cast|11320305	8|Cast|11320306	0|Effect|FxR4LuxiyaAttack03AXuli||1|																																																																									
113204	3|Cast|11320401	8|Cast|11320402	11|Cast|11320403	15|Cast|11320404	16|Cast|11320405	0|Effect|FxR4LuxiyaAttack04A||1|																																																																										
113205	2|Cast|11320501	7|Cast|11320502	0|Magic|113261|1	13|Magic|113262|1	7|Cast|11320505	0|Effect|FxR4LuxiyaAttack05A||1|																																																																										
113206	4|Cast|11320601	9|Cast|11320602	12|Cast|11320603	16|Cast|11320604	16|Shake|2|0.4|-0.75|15|0.3|3	16|Magic|113261|1	19|Magic|113262|1	16|Cast|11320609	0|Effect|FxR4LuxiyaAttack11A||1|																																																																							
113207	4|Cast|11320701	9|Cast|11320702	12|Cast|11320703	16|Cast|11320704	16|Shake|2|0.4|-0.75|15|0.3|3	16|Magic|113261|1	19|Magic|113262|1	18|Cast|11320709	0|Effect|FxR4LuxiyaAttack11A||1|																																																																							
113208	4|Cast|11320801	9|Cast|11320802	12|Cast|11320803	16|Cast|11320804	16|Shake|2|0.4|-0.75|15|0.3|3	16|Magic|113261|1	19|Magic|113262|1	0|Effect|FxR4LuxiyaAttack11MeshA||1|	18|Cast|11320809	0|Effect|FxR4LuxiyaAttack11A||1|	1|Cast|11320811	5|Cast|11320812	9|Cast|11320813	13|Cast|11320814																																																																		
113209	3|Cast|11320901	14|Cast|11320902	3|Shake|4|0.2|0.6|15|0.35|0	14|Shake|3|0.45|-1|15|0.3|1	14|Cast|11320905	0|Effect|FxR4LuxiyaAttack21A||1|	3|Cast|11320907	14|Cast|11320908	10|Magic|113261|1	15|Magic|113262|1																																																																						
113210	3|Cast|11321001	14|Cast|11321002	3|Shake|4|0.2|0.6|15|0.35|0	14|Shake|3|0.45|-1|15|0.3|1	14|Cast|11321005	0|Effect|FxR4LuxiyaAttack21A||1|	3|Cast|11321007	14|Cast|11321008	10|Magic|113261|1	15|Magic|113262|1																																																																						
113211	3|Cast|11321101	14|Cast|11321102	3|Shake|4|0.2|0.6|15|0.35|0	14|Shake|3|0.45|-1|15|0.3|1	14|Cast|11321105	0|Effect|FxR4LuxiyaAttack21A||1|	3|Cast|11321107	14|Cast|11321108	10|Magic|113261|1	15|Magic|113262|1																																																																						
113212	5|Cast|11321201	10|Cast|11321202	0|Cast|11321203	10|Shake|3|0.35|-1.5|10|0.25|2	1|Turn|450|0.2|1	5|Magic|113261|1	10|Magic|113262|1	0|Effect|FxR4LuxiyaAttack31A||1|	5|Cast|11321209	10|Cast|11321210	0|Magic|113263|0	0|Magic|113264|0	4|Magic|113265|0	0|Shake|4|0.3|-2|10|0.1|2	0|Cast|11321215	0|Move|45|0.15|																																																																
113213	5|Cast|11321301	10|Cast|11321302	0|Cast|11321303	10|Shake|3|0.35|-1.5|10|0.25|2	1|Turn|450|0.2|1	5|Magic|113261|1	10|Magic|113262|1	0|Effect|FxR4LuxiyaAttack31A||1|	5|Cast|11321309	10|Cast|11321310	0|Magic|113263|0	0|Magic|113264|0	4|Magic|113265|0	0|Shake|4|0.3|-2|10|0.1|2	0|Cast|11321315	0|Move|45|0.15|																																																																
113214	5|Cast|11321401	10|Cast|11321402	0|Cast|11321403	10|Shake|3|0.35|-1.5|10|0.25|2	1|Turn|450|0.2|1	5|Magic|113261|1	10|Magic|113262|1	0|Effect|FxR4LuxiyaAttack33A||1|	5|Cast|11321409	10|Cast|11321410	0|Magic|113263|0	0|Magic|113264|0	4|Magic|113265|0	0|Shake|4|0.3|-2|10|0.1|2	0|Cast|11321415	0|Move|45|0.15|																																																																
113215																																																																																
113216	0|Magic|113261|0	6|Magic|113262|0	0|Effect|FxR4Luxiyamove01||1|																																																																													
113217	0|Magic|113261|0	6|Magic|113262|0	0|Effect|FxR4Luxiyamove02||1|																																																																													
113218																																																																																
113219																																																																																
113220																																																																																
113221																																																																																
113222																																																																																
113223																																																																																
113224	4|Cast|11322401	2|Move|20|0.1|0	0|Effect|FxR4LuxiyaAttack01A||1|	2|Turn|7200|0.02|1																																																																												
113225																																																																																
