ChallengeId	Name	ArenaLv	MinLv	MaxLv	DistributeId	JoinNum	DanUpRank	DanKeepRank	DanDownRank	UpRewardId	KeepRewardId	DownRewardId	DayUnlockNum	WeekEndUnlockNum	AreaId[1]	AreaId[2]	AreaId[3]	AreaId[4]	AreaId[5]	AvgFightTime	FailNormalTime	FailDifficultyTime	BaseTeamRank	DifShowRate
1	Backup Squad	1	1	54	4	21	15	21	0	10100	10101	0	1	2	1	3	4	5		70	150	120	30	75
2	Backup Squad	1	55	79	5	21	15	21	0	10103	10104	0	1	2	1	3	4	5	2	70	150	120	30	75
3	Backup Squad	1	80	120	6	21	15	21	0	10106	10107	0	1	2	1	3	4	5	2	70	150	120	30	75
4	Recon Squad	2	1	54	4	18	6	12	18	10109	10110	10111	1	2	1	3	4	5		70	150	120	30	75
5	Recon Squad	2	55	79	5	18	6	12	18	10112	10113	10114	1	2	1	3	4	5	2	70	150	120	30	75
6	Recon Squad	2	80	120	6	18	6	15	18	10115	10116	10117	1	2	1	3	4	5	2	70	150	120	30	75
7	Vanguard Squad	3	1	54	4	15	3	9	15	10118	10119	10120	1	2	1	3	4	5		70	150	120	30	75
8	Vanguard Squad	3	55	79	5	18	6	12	18	10121	10122	10123	1	2	1	3	4	5	2	70	150	120	30	75
9	Vanguard Squad	3	80	120	6	18	6	15	18	10124	10125	10126	1	2	1	3	4	5	2	70	150	120	30	75
10	Elite Squad	4	1	54	4	15	0	6	15	0	10128	10129	1	2	1	3	4	5		70	150	120	30	75
11	Elite Squad	4	55	79	5	15	3	9	15	10130	10131	10132	1	2	1	3	4	5	2	70	150	120	30	75
12	Elite Squad	4	80	120	6	15	3	9	15	10133	10134	10135	1	2	1	3	4	5	2	70	150	120	30	75
13	Leader Squad	5	55	79	4	15	0	6	15	0	10140	10141	1	2	1	3	4	5	2	70	150	120	30	75
14	Leader Squad	5	80	120	5	15	3	9	15	10142	10143	10144	1	2	1	3	4	5	2	70	150	120	30	75
15	Hero Squad	6	80	120	6	15	0	6	15	0	10152	10153	1	2	1	3	4	5	2	70	150	120	30	75
