Id	Name	Sort	Difficulty[1]	Difficulty[2]	Difficulty[3]	BgIcon	NameIcon	EnduranceCost	ConditionDesc	ActiveBuffId	BottomCount	ShowDropId	ShowBottomId	SkillTitle[1]	SkillDesc[1]	SkillTitle[2]	SkillDesc[2]	SkillTitle[3]	SkillDesc[3]	SkillTitle[4]	SkillDesc[4]	EventId[1]	EventId[2]	EventId[3]	EventId[4]	EventId[5]	EventId[6]	EventId[7]	EventId[8]	EventId[9]	EventId[10]
20010001	TFZ-01	1	10058	10082	10106	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	Defeat the final Boss	1	12	140100	140100	Boss:	Musashi IX							760413	760283	760273							
20010011	TFZ-02	2	10059	10083	10107	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	Defeat all enemies	1	12	140100	140100	Enemies:	Hetero Deconstruct Unit, Hetero Repair Unit, Hetero Fire Unit, Hetero Explore Unit							760133	760343	760333	760263	760293	760202	760313	760253	760353	760283
20010101	TFZ-03	3	10060	10084	10108	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	Defeat the final Boss	1	12	140100	140100	Split:	There are two roads leading to the Boss.	Gather:	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter:	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour:	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
20010002	TSZ-01	1	10061	10085	10109	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	Defeat the final Boss	1	12	140100	140100	Boss:	Iron Maiden							760293	760373	760133	760253	760201	760281	760243			
20010012	TSZ-02	2	10062	10086	10110	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	Defeat all enemies	1	12	140100	140100	Enemies:	Blubber VI, Kemuri I							760353	760343	760373	760293	760263	760253				
20010103	TSZ-03	3	10063	10087	10111	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	Defeat the final Boss	1	12	140100	140100	Split:	There are two roads leading to the Boss.	Gather:	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter:	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour:	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
20010003	TFZ-01	1	10064	10088	10112	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	Defeat the final Boss	1	12	140100	140100	Boss:	Osiris							760411	760133								
20010013	TFZ-02	2	10065	10089	10113	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	Defeat all enemies	1	12	140100	140100	Enemies:	Executor, Ronin IV, Excavator, Explorer							760243	760253	760133	760303	760343	760353				
20010102	TFZ-03	3	10066	10090	10114	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	Defeat the final Boss	1	12	140100	140100	Assistance:	A buff is dropped each time an enemy wave is defeated. Pick up to activate the buff.	Wave 1: 	Healing: Teammates within the range gain HP over time.	Wave 2: 	Radiation: Enemies within the range lose HP over time.	Wave 3: 	Booster: Personal attack bonus.	760253	760262	760243	760343	760133	760283	760293	760373		
20010004	TSZ-01	1	10067	10091	10115	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	Defeat the final Boss	1	12	140100	140100	Boss:	Sister							760291	760251								
20010014	TSZ-02	2	10068	10092	10116	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	Defeat all enemies	1	12	140100	140100	Boss:	Envoy, Gardener, Ronin IV, Bio-Salamander							760243	760251	760133	760343	760353	760303	760293			
20010104	TSZ-03	3	10069	10093	10117	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	Defeat the final Boss	1	12	140100	140100	Assistance:	A buff is dropped each time an enemy wave is defeated. Pick up to activate the buff.	Wave 1: 	Healing: Teammates within the range gain HP over time.	Wave 2: 	Radiation: Enemies within the range lose HP over time.	Wave 3: 	Booster: Personal attack bonus.	760253	760262	760243	760343	760133	760283	760293	760373		
20010005	TFZ-01	1	10070	10094	10118	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	Defeat the final Boss	1	12	140101	140101	Boss:	Musashi IX							760413	760283	760273							
