GroupId	GroupName	Icon	Desc	PreGroupId	ChallengeNum	BaseStage	StageId[1]	StageId[2]	StageId[3]	FightInfoId[1]	FightInfoId[2]	FightInfoId[3]	TeamFightSeq	LogisticsInfoId[1]	LogisticsInfoId[2]	LogisticsInfoId[3]	GroupOrderId
101	1st		Description		3	12010102	12010101	12010102		12010101	12010102		1|2				1
102	2nd		Description	101	3	12010202	12010201	12010202		12010201	12010202		1|2				2
103	3rd		Description	102	3	12010302	12010301	12010302		12010301	12010302		1|2				3
201	1st		Description	103	3	12020103	12020101	12020102	12020103	12020101	12020102	12020103	1|2|3				1
202	2nd		Description	201	3	12020203	12020201	12020202	12020203	12020201	12020202	12020203	1|2|3				2
203	3rd		Description	202	3	12020303	12020301	12020302	12020303	12020301	12020302	12020303	1|2|3				3
301	1st		Description	203	3	12030103	12030101	12030102	12030103	12030101	12030102	12030103	1|2|3				1
302	2nd		Description	301	3	12030203	12030201	12030202	12030203	12030201	12030202	12030203	1|2|3				2
303	3rd		Description	302	3	12030303	12030301	12030302	12030303	12030301	12030302	12030303	1|2|3				3
401	1st		Description	303	3	12040103	12040101	12040102	12040103	12040101	12040102	12040103	1|2|3				1
402	2nd		Description	401	3	12040203	12040201	12040202	12040203	12040201	12040202	12040203	1|2|3				2
403	3rd		Description	402	3	12040303	12040301	12040302	12040303	12040301	12040302	12040303	1|2|3				3
501	1st		Description	403	3	12050103	12050101	12050102	12050103	12050101	12050102	12050103	1|2|3				1
502	2nd		Description	501	3	12050203	12050201	12050202	12050203	12050201	12050202	12050203	1|2|3				2
503	3rd		Description	502	3	12050303	12050301	12050302	12050303	12050301	12050302	12050303	1|2|3				3
601	1st		Description	503	3	12060103	12060101	12060102	12060103	12060101	12060102	12060103	1|2|3				1
602	2nd		Description	601	3	12060203	12060201	12060202	12060203	12060201	12060202	12060203	1|2|3				2
603	3rd		Description	602	3	12060303	12060301	12060302	12060303	12060301	12060302	12060303	1|2|3				3
