Id	BuffId	RequireAbility	NeedCharacter	Condition
12010101		4000	3	
12010201		4000	2	
12010301		4000	3	
12020101		4400	1	
12020201		4400	1	
12020301		4400	1	
12030101		4800	2	
12030201		4800	2	
12030301		4800	2	
12040101		5200	2	
12040201		5200	2	
12040301		5200	2	
12050101		5400	2	
12050201		5400	3	
12050301		5400	1	
12060101		5600	1	
12060201		5600	3	
12060301		5600	3	
12070101		5800	3	
12070201		5800	3	
12070301		5800	2	
12080101		6000	3	
12080201		6000	3	
12080301		6000	3	
12090101		6000	3	
12090201		6000	3	
12090301		6000	3	
12100101		6000	1	
12100201		6000	2	
12100301		6000	3	
12110101		6000	3	
12110201		6000	3	
12110301		6000	3	
12120101		6000	3	
12120201		6000	3	
12120301		6000	3	
12010102		4000	1	
12010202		4000	2	
12010302		4000	1	
12020102		4400	1	
12020202		4400	2	
12020302		4400	2	
12030102		4800	2	
12030202		4800	2	
12030302		4800	2	
12040102		5200	1	
12040202		5200	1	
12040302		5200	2	
12050102		5400	3	
12050202		5400	1	
12050302		5400	2	
12060102		5600	3	
12060202		5600	1	
12060302		5600	3	
12070102		5800	3	
12070202		5800	3	
12070302		5800	3	
12080102		6000	3	
12080202		6000	3	
12080302		6000	3	
12090102		6000	3	
12090202		6000	3	
12090302		6000	3	
12100102		6000	3	
12100202		6000	3	
12100302		6000	3	
12110102		6000	3	
12110202		6000	3	
12110302		6000	3	
12120102		6000	3	
12120202		6000	3	
12120302		6000	3	
12020103		4400	2	
12020203		4400	1	
12020303		4400	1	
12030103		4800	1	
12030203		4800	1	
12030303		4800	1	
12040103		5200	2	
12040203		5200	2	
12040303		5200	1	
12050103		5400	1	
12050203		5400	2	
12050303		5400	3	
12060103		5600	3	
12060203		5600	3	
12060303		5600	1	
12070103		5800	2	
12070203		5800	2	
12070303		5800	3	
12080103		6000	3	
12080203		6000	3	
12080303		6000	3	
12090103		6000	3	
12090203		6000	3	
12090303		6000	3	
12100103		6000	3	
12100203		6000	3	
12100303		6000	3	
12110103		6000	3	
12110203		6000	3	
12110303		6000	3	
12120103		6000	3	
12120203		6000	3	
12120303		6000	3	
12100104		6000	3	
12100204		6000	3	
12100304		6000	3	
12110104		6000	3	
12110204		6000	3	
12110304		6000	3	
12120104		6000	3	
12120204		6000	3	
12120304		6000	3	
