Id	SubIndex	Name	Order	Description	StartTime	EndTime
1		Training Stage	100	No Serum cost. No clear rewards.\nMonsters will always revive in training stages.\nMonster levels depend on player level.		
2		Tank War	105	No Serum cost. No clear rewards.		
3		Nightmare Rescue	106	No Serum cost. No clear rewards.		
4		Nightmare Story	107	No Serum cost. No clear rewards.		
5	4	Nightmare Chapter I	108	No Serum cost. No clear rewards.		
6	4	Nightmare Chapter II	109	No Serum cost. No clear rewards.		
7		Nightmare Boss	110	No Serum cost. No clear rewards.		
8	7	Camu	111	No Serum cost. No clear rewards.		
9	7	Riot	112	No Serum cost. No clear rewards.		
10	7	Rosetta	113	No Serum cost. No clear rewards.		
11		Nightmare Co-op	200	No Serum cost. No clear rewards.		
12	11	Sister	201	No Serum cost. No clear rewards.		
13	11	Osiris	202	No Serum cost. No clear rewards.		
