Id	GroupID	Name	RecommendLevel	Order	Type	ConditionId[1]	ConditionId[2]	ShowPass	Ico	TrialID	TrialStatus	SingStageId	MultStageId	SingleDescription	MultDescription	DetailBackGroundIco
1	1	Dummy Training	1	100	3				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenmuzhaung1.png	1	2	30030301	30030401	No Stamina cost\nMonsters will not attack\nMonsters will always revive after death	No Stamina cost\nMonsters will not attack\nMonsters will always revive after death	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenmuzhuang001.png
2	1	Combat Training	1	101	3				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenduizhan1.png	2	2	30030302	30030402	No Stamina cost\nMonsters will always revive after death	No Stamina cost\nMonsters will always revive after death	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenduizhan001.png
3	2	Tank War	1	102	2				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubentanke1.png	1	2		30030501		No Stamina cost\nCo-op mode	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubentanke001.png
4	5	3-2 Terminal	60	1000	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian1.png			10030402		No Stamina cost\nFight with overclocked monsters\nHassen gave you a priority mission. Before joining Strike Hawk, you need to retrieve the Constructs in the subway station with Gray Raven.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian001.png
5	5	3-3 Driven by Instinct	60	1001	1	30500	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian2.png			10030403		No Stamina cost\nFight with overclocked monsters\nTifa was also one of the "new variants". How the Corrupted suddenly gained the ability to think was still unknown, but they quickly occupied the subway station after she was gone.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian002.png
6	5	3-4 Good Samaritan	60	1002	1	30501	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian3.png			10030404		No Stamina cost\nFight with overclocked monsters\nThe Corrupted significantly impacted the retrieval of Constructs. Gray Raven decided to split into two groups; one would continue working on the retrieval, while the other would focus on fighting the Corrupted.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian003.png
7	5	3-5 Trespassing	60	1003	1	30502	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian4.png			10030501		No Stamina cost\nFight with overclocked monsters\nOperation Portal was run by Strike Hawk. After joining forces with them, Gray Raven was assigned the task of scouting in the Estate where the portal was located.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian004.png
8	5	3-6 Traps	60	1004	1	30503	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian5.png			10030502		No Stamina cost\nFight with overclocked monsters\nAfter scouting, Gray Raven's next task is night patrol.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian005.png
9	5	3-7 Final Warning	60	1005	1	30504	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian6.png			10030503		No Stamina cost\nFight with overclocked monsters\nOperation Portal is about to start. Gray Raven and Strike Hawk will launch a joint attack on the Estate.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian006.png
10	5	3-8 Take Caution	60	1006	1	30505	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian7.png			10030504		No Stamina cost\nFight with overclocked monsters\nA new variant, along with many Corrupted reinforcements, suddenly appeared in the Estate. Defeat the new variant and evacuate ASAP.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian007.png
