Id	Name	Priority	FunctionOpenId	SkipId	StagePrefix	BannerBg	ChapterType	MainBackgound	FubenPrefab	GridFubenPrefab	GridStoryPrefab	TitleIcon	TitleBg	ChapterBgm	BeginTimeStr	EndTimeStr	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]	StageId[7]	StageId[8]	StageId[9]	StageId[10]	StageId[11]	StageId[12]	StageId[13]	StageName[1]	StageName[2]	StageName[3]	StageName[4]
1	Night on Christmas	1	10306		M-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner07.png	21	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasBg.png	Assets/Product/Ui/ComponentPrefab/FubenChristmas/FuBenChristmasStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageChristmasDay.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJunqingChristmasDay.prefab	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasImg1.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasTitleBg.png		2021/12/23 7:00	2021/12/30 6:59	30130101	30130102	30130103	30130104	30130105	30130106	30130107	30130108	30130109								
2	Frozen Darkness	2	10306		PR-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner06.png	22	Assets/Product/Texture/Image/UiFubenMainMapTab/MainLineActive01A.png	Assets/Product/Ui/ComponentPrefab/FubenBriefMainLine/FubenBriefLineStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightBrief.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageStoryBrief.prefab	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasImg2.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasTitleBg2.png	6	2019/12/24 11:00	2020/1/1 5:00	30110101	30110102	30110103	30110104	30110105	30110106	30110107	30110108	30110109	30110110	30110111	30110112	30110113				
3	Year's End	3	10306		NYA-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner05.png	24	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasBg5.png	Assets/Product/Ui/ComponentPrefab/FubenNewYear/FubenLineNewYear.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewYearFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewYearStory.prefab	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasImg1.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasTitleBg.png	11	2022/1/29 7:00	2022/2/12 6:59	30090310	30090311	30090312	30090313	30090314	30090315	30090316	30090317	30090318	30090307	30090308	30090309					
4	April Cabin	4	10306		AFD-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner10.png	27	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieBg.png	Assets/Product/Ui/ComponentPrefab/FubenYurenjie/FuBenYurenjieStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYurenjie.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJunqingYurenjie.prefab	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieImg01.png	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieBg01.png	205	2020/3/12 5:00	2020/4/1 5:00	30130201	30130202	30130203	30130204	30130205	30130206	30130207	30130208	30130209	30130210	30130211						
5	Unforgotten Holiday	5	10306		DBF-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner14.png	27	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanBg.png	Assets/Product/Ui/ComponentPrefab/FubenDuanWu/FuBenDuanWuStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightDuanwu.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJunqingDuanwu.prefab	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanwuImg01.png	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanwuBg01.png	5	2020/6/12 5:00	2020/6/13 5:00	30130301	30130302	30130303	30130304	30130305	30130306	30130307										
6	Stranded	6	10306		BBS-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner10.png	27	Assets/Product/Texture/Image/UiFubenYureSummer/YuReSummerBg.png	Assets/Product/Ui/ComponentPrefab/FubenYureSummer/FuBenYureSummerStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightSummer.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingSummer.prefab	Assets/Product/Texture/Image/UiFubenYureSummer/UiFubenYuReSummerImg01.png	Assets/Product/Texture/Image/UiFubenYureSummer/UiFubenYuReSummerBg01.png	27	2022/1/19 7:00	2022/1/26 1:59	10130150	10130151	10130152														
7	Summer Pockets	7	10306		SDW-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner15.png	27	Assets/Product/Texture/Image/UiFubenSwimming/FubenSwimmingBg.png	Assets/Product/Ui/ComponentPrefab/FubenSwimming/FuBenSwimmingStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightSwimming.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingSwimming.prefab	Assets/Product/Texture/Image/UiFubenSwimming/FubenSwimmingImg01.png	Assets/Product/Texture/Image/UiFubenSwimming/FubenSwimmingBg01.png	32	2022/1/26 2:00	2022/2/9 6:59	30130401	30130402	30130403	30130404	30130405	30130406	30130407										
8	Moonlit Night	8	10306		DSF-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner14.png	27	Assets/Product/Texture/Image/UiFubenQiXi/FubenQiXiBg.png	Assets/Product/Ui/ComponentPrefab/FubenQiXi/FuBenQiXiStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightSwimming.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingSwimming.prefab	Assets/Product/Texture/Image/UiFubenQiXi/FubenQiXiImg01.png	Assets/Product/Texture/Image/UiFubenQiXi/FubenQiXiBg01.png	5	2020/6/12 5:00	2020/6/18 5:00	30130501	30130502	30130503	30130504										DSF-1	DSF-2	DSF-3	SNM
9	Fist of the Taoist	9	10306	20029	ZYG-	Assets/Product/Texture/Image/UiFubenDuanwu/FubenActivityBanner15.png	27	Assets/Product/Texture/Image/UiFubenZhongYuan/fubenZhongYuanGamebg.png	Assets/Product/Ui/ComponentPrefab/FubenZhongYuan/FuBenZhongYuanStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightZhongYuan.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingZhongYuan.prefab	Assets/Product/Texture/Image/UiFubenZhongYuan/FubenZhongYuanImg01.png	Assets/Product/Texture/Image/UiFubenZhongYuan/FubenZhongYuanBg01.png	205	2020/8/27 5:00	2020/9/3 5:00	30130701	30130702	30130703	30130704	30130705	30130706											
10	Snow Tracks	10	10306		RTP-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner10.png	27	Assets/Product/Texture/Image/UIFubenYure/FubenYureBg01.png	Assets/Product/Ui/ComponentPrefab/FubenYure/FuBenYureLuosaita.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightLuosaita.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingLuosaita.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UIFubenYure/FubenYureTitle01.png	8	2022/2/23 7:00	2022/3/2 1:59	15020150	15020151	15020152														
