Id	Auto	MaxRebootCount	RebootItemId	ConsumeCount	HpRetain	MagicIds[1]	MagicIds[2]	RebootCondition[1]	RebootCondition[2]	RebootCondition[3]
1	1	3	3	0	1	100028	100039			
2		3	3	25	1	100028	100039			
3	1	99999	3	0	1	100028	100039			
4		1	1	100	1	100028	100039			
5		3	3	0	1	100028	100039			
6	1	3	3	25	1	100028	100039			
7		99999	3	0	1	100028	100039			
8	1	1	1	100	1	100028	100039			
9		10	1	5000	1	100028	100039	843001		
10		10	1	5000	1	100028	100039	843002		
11		10	1	5000	1	100028	100039	843003		
12		99999	1	5000	1	100028	100039			
13		10	1	5000	1	100028	100039	843004		
14		10	1	5000	1	100028	100039	843005		
15		10	1	5000	1	100028	100039	843006		
