Id	PoolId	Weight	Type	Params[1]	Params[2]	Params[3]	Description	Name	Icon
1	999	100	201	50			All team members restore 50% HP.	HP Recovery	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreEventShop01.png
2	999	100	101	7			Gain a random add-on unit.	Add-On Unit	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreEventShop02.png
3	999	100	502	99			Remove 	Cleansing	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreEventShop03.png
4	10001	80	302	45			Obtain 45 Aberrant Cubes [80%]		
5	10001	15	302	-60			Lose 60 Aberrant Cubes [15%]		
6	10001	5	302	75			Obtain 75 Aberrant Cubes [5%]		
7	10002	55	303	45	75		Obtain 45-75 Aberrant Cubes [55%]		
8	10002	40	302	45			Obtain 45 Aberrant Cubes [40%]		
9	10002	5	302	-45			Lose 45 Aberrant Cubes [5%]		
10	10003	30	301	100			Your Aberrant Cubes x2 [30%]		
11	10003	70	301	-100			Lose all Aberrant Cubes [70%]		
12	10004	60	502	1			Remove a random negative effect [60%]		
13	10004	30	502	99			Remove all negative effects [30%]		
14	10004	10	501	1			Obtain a negative effect [10%]		
15	10005	70	101	1			Obtain a low-grade Add-On Unit [70%]		
16	10005	20	302	-60			Lose 60 Aberrant Cubes [20%]		
17	10005	10	101	3			Obtain a high-grade Add-On Unit [10%]		
18	10006	70	101	2			Obtain a mid-grade Add-On Unit [70%]		
19	10006	20	302	-75			Lose 75 Aberrant Cubes [20%]		
20	10006	10	101	3			Obtain a high-grade Add-On Unit [10%]		
21	10007	65	101	1			Obtain a low-grade Add-On Unit [65%]		
22	10007	30	201	-50			All team members lose 50% HP [30%]		
23	10007	5	101	3			Obtain a high-grade Add-On Unit [5%]		
24	10008	65	101	2			Obtain a mid-grade Add-On Unit [65%]		
25	10008	30	201	-60			All team members lose 60% HP [30%]		
26	10008	5	101	3			Obtain a high-grade Add-On Unit [5%]		
27	10009	65	101	2			Obtain a mid-grade Add-On Unit [65%]		
28	10009	30	401	-1			Lose 1 Action Point [30%]		
29	10009	5	101	3			Obtain a high-grade Add-On Unit [5%]		
30	10010	80	201	-80			All team members lose 80% HP [80%]		
31	10010	15	401	-3			Lose 3 Action Points [15%]		
32	10010	5	101	4			Obtain a high-grade Add-On Unit at max level [5%]		
33	10011	80	301	-100			Lose all Aberrant Cubes [80%]		
34	10011	15	401	-3			Lose 3 Action Points [15%]		
35	10011	5	101	4			Obtain a high-grade Add-On Unit at max level [5%]		
36	10012	50	101	1			Obtain a low-grade Add-On Unit [50%]		
37	10012	30	101	2			Obtain a mid-grade Add-On Unit [30%]		
38	10012	20	101	3			Obtain a high-grade Add-On Unit [20%]		
39	10013	50	202	50			A random team member restores 50% HP [50%]		
40	10013	40	201	30			All team members restore 30% HP [40%]		
41	10013	10	201	-10			All team members lose 10% HP [10%]		
42	10014	60	301	-50			Lose 50% of your Aberrant Cubes [60%]		
43	10014	30	401	1			Gain 1 Action Point [30%]		
44	10014	10	101	1			Obtain a low-grade Add-On Unit [10%]		
45	10015	60	201	30			All team members restore 30% HP [60%]		
46	10015	20	401	-1			Lose 1 Action Point [20%]		
47	10015	20	101	2			Obtain a mid-grade Add-On Unit [20%]		
48	10016	60	201	50			All team members restore 50% HP [60%]		
49	10016	20	401	-1			Lose 1 Action Point [20%]		
50	10016	20	101	3			Obtain a high-grade Add-On Unit [20%]		
51	10017	60	202	80			A random team member restores 80% HP [60%]		
52	10017	40	201	50			All team members restore 50% HP [40%]		
53	10018	20	201	-10			All team members lose 10% HP [20%]		
54	10018	20	302	60			Lose 60 Aberrant Cubes [20%]		
55	10018	60	301	50			Gain 50% of your Aberrant Cubes [60%]		
56	10019	40	202	-50			A random team member loses 50% HP [40%]		
57	10019	40	302	60			Obtain 60 Aberrant Cubes [40%]		
58	10019	20	401	1			Gain 1 Action Point [20%]		
59	10020	50	303	40	60		Obtain 40-60 Aberrant Cubes [50%]		
60	10020	40	101	1			Obtain a low-grade Add-On Unit [40%]		
61	10020	10	501	1			Obtain a negative effect [10%]		
62	10021	50	303	50	75		Obtain 50-75 Aberrant Cubes [50%]		
63	10021	40	101	2			Obtain a mid-grade Add-On Unit [40%]		
64	10021	10	501	1			Obtain a negative effect [10%]		
65	10022	50	303	60	85		Obtain 60-85 Aberrant Cubes [50%]		
66	10022	40	101	3			Obtain a high-grade Add-On Unit [40%]		
67	10022	10	501	1			Obtain a negative effect [10%]		
68	20001	100	101	1			<color=#34AFF9><size=20>Dismantle forcefully</size></color>\n→Obtain a low-grade Add-On Unit		
69	20001	100	201	-10			\n→All team members lose 10% HP		
70	20001	100	101	1			<color=#34AFF9><size=20>Open alone</size></color>\n→Obtain a low-grade Add-On Unit		
71	20001	100	202	-20			\n→A random team member loses 20% HP		
72	20002	100	101	2			<color=#34AFF9><size=20>Dismantle forcefully</size></color>\n→Obtain a mid-grade Add-On Unit		
73	20002	100	201	-20			\n→All team members lose 20% HP		
74	20002	100	101	2			<color=#34AFF9><size=20>Open alone</size></color>\n→Obtain a mid-grade Add-On Unit		
75	20002	100	202	-30			\n→A random team member loses 30% HP		
76	20003	100	101	3			<color=#34AFF9><size=20>Dismantle forcefully</size></color>\n→Obtain a high-grade Add-On Unit		
77	20003	100	201	-60			\n→All team members lose 60% HP		
78	20003	100	101	3			<color=#34AFF9><size=20>Decipher alone</size></color>\n→Obtain a high-grade Add-On Unit		
79	20003	100	202	-80			\n→A random team member loses 80% HP		
80	20004	100	101	1			<color=#34AFF9><size=20>Apply minimal effort</size></color>\n→Obtain a low-grade Add-On Unit		
81	20004	100	301	-20			\n→Lose 20% of your Aberrant Cubes		
82	20004	100	101	2			<color=#34AFF9><size=20>Apply appropriate effort</size></color>\n→Obtain a mid-grade Add-On Unit		
83	20004	100	301	-40			\n→Lose 40% of your Aberrant Cubes		
84	20004	100	101	3			<color=#34AFF9><size=20>Apply full effort</size></color>\n→Obtain a high-grade Add-On Unit		
85	20004	100	301	-60			\n→Lose 60% of your Aberrant Cubes		
86	20005	100	101	1			<color=#34AFF9><size=20>Apply minimal effort</size></color>\n→Obtain a low-grade Add-On Unit		
87	20005	100	302	-45			\n→Lose 45 Aberrant Cubes		
88	20005	100	101	2			<color=#34AFF9><size=20>Apply appropriate effort</size></color>\n→Obtain a mid-grade Add-On Unit		
89	20005	100	302	-60			\n→Lose 60 Aberrant Cubes		
90	20005	100	101	3			<color=#34AFF9><size=20>Apply full effort</size></color>\n→Obtain a high-grade Add-On Unit		
91	20005	100	302	-75			\n→Lose 75 Aberrant Cubes		
92	20006	100	101	2			<color=#34AFF9><size=20>Dismantle circumspectly</size></color>\n→Obtain a mid-grade Add-On Unit		
93	20006	100	501	1			\n→Obtain a negative effect		
94	20006	100	101	2			<color=#34AFF9><size=20>Crudely dismantle</size></color>\n→Obtain a mid-grade Add-On Unit		
95	20006	100	401	-1			\n→Lose 1 Action Point		
96	20007	100	101	3			<color=#34AFF9><size=20>Dismantle circumspectly</size></color>\n→Obtain a high-grade Add-On Unit		
97	20007	100	501	1			\n→Obtain a negative effect		
98	20007	100	101	3			<color=#34AFF9><size=20>Crudely dismantle</size></color>\n→Obtain a high-grade Add-On Unit		
99	20007	100	401	-1			\n→Lose 1 Action Point		
100	20008	100	201	50			<color=#34AFF9><size=20>Comprehensive maintenance</size></color>\n→All team members restore 50% HP		
101	20008	100	401	-1			\n→Lose 1 Action Point		
102	20008	100	202	50			<color=#34AFF9><size=20>Individual maintenance</size></color>\n→A random team member restores 50% HP		
103	20008	100	301	-20			\n→Lose 20% of your Aberrant Cubes		
104	20009	100	201	20			<color=#34AFF9><size=20>Apply minimal effort</size></color>\n→All team members restore 20% HP		
105	20009	100	301	-20			\n→Lose 20% of your Aberrant Cubes		
106	20009	100	202	50			<color=#34AFF9><size=20>Apply appropriate effort</size></color>\n→A random team member restores 50% HP		
107	20009	100	301	-20			\n→Lose 20% of your Aberrant Cubes		
108	20009	100	201	50			<color=#34AFF9><size=20>Apply full effort</size></color>\n→All team members restore 50% HP		
109	20009	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
110	20010	100	201	30			<color=#34AFF9><size=20>Pay money</size></color>\n→All team members restore 30% HP		
111	20010	100	301	-20			\n→Lose 20% of your Aberrant Cubes		
112	20010	100	303	40	60		<color=#34AFF9><size=20>Take damage</size></color>\n→Obtain 40-60 Aberrant Cubes		
113	20010	100	201	-30			\n→All team members lose 30% HP		
114	20010	100	101	1			<color=#34AFF9><size=20>Open alone</size></color>\n→Obtain a low-grade Add-On Unit		
115	20010	100	202	-20			\n→A random team member loses 20% HP		
116	20011	100	201	30			<color=#34AFF9><size=20>Pay money</size></color>\n→All team members restore 30% HP		
117	20011	100	301	-30			\n→Lose 30% of your Aberrant Cubes		
118	20011	100	303	50	75		<color=#34AFF9><size=20>Take damage</size></color>\n→Obtain 50~75 Aberrant Cubes		
119	20011	100	201	-30			\n→All team members lose 30% HP		
120	20011	100	101	2			<color=#34AFF9><size=20>Withstand inhibition</size></color>\n→Obtain a mid-grade Add-On Unit		
121	20011	100	202	-30			\n→A random team member loses 30% HP		
122	20012	100	201	50			<color=#34AFF9><size=20>Pay money</size></color>\n→All team members restore 50% HP		
123	20012	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
124	20012	100	303	60	85		<color=#34AFF9><size=20>Take damage</size></color>\n→Obtain 60-85 Aberrant Cubes		
125	20012	100	201	-50			\n→All team members lose 50% HP		
126	20012	100	101	3			<color=#34AFF9><size=20>Withstand inhibition</size></color>\n→Obtain a high-grade Add-On Unit		
127	20012	100	202	-80			\n→A random team member loses 80% HP		
128	20013	100	302	40			<color=#34AFF9><size=20>Probe to extract</size></color>\n→Earn 40 Aberrant Cubes		
129	20013	100	201	-20			\n→All team members lose 20% HP		
130	20013	100	302	50			<color=#34AFF9><size=20>Draw 1 time</size></color>\n→Earn 50 Aberrant Cubes		
131	20013	100	201	-30			\n→All team members lose 30% HP		
132	20013	100	302	70			<color=#34AFF9><size=20>Draw multiple times</size></color>\n→Obtain 70 Aberrant Cubes		
133	20013	100	201	-40			\n→All team members lose 40% HP		
