Id	ChapterName	ChapterEn	Icon	OrderId	ChapterId[1]	ChapterId[2]	BfrtId
1001	Chapter 1	Graffiti Art	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic01.png	1	1001	1101	1001
1002	Chapter 2	Journey of Torture	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic02.png	2	1002	1102	1002
1003	Chapter 3	Final Exhibition	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic03.png	3	1003	1103	1003
1004	Chapter 4	Forgotten Sand	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic04.png	4	1004	1104	1004
1005	Chapter 5	Shattered Illusion	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic05.png	5	1005	1105	1005
1006	Chapter 6	Alloy Contamination	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic06.png	6	1006	1106	1006
1007	Chapter 7	Inver-Collapse	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic07.png	7	1007	1107	1007
1008	Chapter 8	Consumed by Darkness	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic08.png	8	1008	1108	1008
1009	Chapter 9	Fallen Star	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic09.png	9	1009	1109	1009
1010	Chapter 10	Eternal Engine	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic10.png	10	1010	1110	1010
1011	Chapter 11	Nona Ouroboros	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic11.png	11	1011	1111	1011
1012	Chapter 12	Kowloong Metropolis	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic12.png	12	1012	1112	1012
